sep=,
"Time","Global Solar","Generic flat plate PV Solar Altitude","Generic flat plate PV Solar Azimuth","Generic flat plate PV Angle of Incidence","Generic flat plate PV Incident Solar","Generic flat plate PV Power Output","AC Primary Load","AC Primary Load Served","Generic Medium Genset (size-your-own) Power Output","Generic Medium Genset (size-your-own) Operating Status","Generic Medium Genset (size-your-own) Fuel","Total Electrical Load Served","Renewable Penetration","Excess Electrical Production","Unmet Electrical Load","Capacity Shortage","Total Renewable Power Output","Inverter Power Input","Inverter Power Output","Rectifier Power Input","Rectifier Power Output","Generic 1kWh Li-Ion Maximum Charge Power","Generic 1kWh Li-Ion Maximum Discharge Power","Generic 1kWh Li-Ion Charge Power","Generic 1kWh Li-Ion Discharge Power","Generic 1kWh Li-Ion Input Power","Generic 1kWh Li-Ion Energy Content","Generic 1kWh Li-Ion State of Charge","Generic 1kWh Li-Ion Energy Cost","AC Required Operating Capacity","DC Required Operating Capacity","AC Operating Capacity","DC Operating Capacity"
,"kW/m2","°","°","°","kW/m2","kW","kW","kW","kW","status","L","kW","%","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kWh","%","$/kWh","kW","kW","kW","kW"
"1/1/2007 12:00:00 AM","0","0","6.329071","90","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","318.7582","0","0","0","420.0009","100","0","0","0","0","318.7582"
"1/1/2007 1:00:00 AM","0","0","-40.63449","90","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","318.7582","0","0","0","420.0009","100","0","0","0","0","318.7582"
"1/1/2007 2:00:00 AM","0","0","-59.18059","90","0","0","56.85568","56.85568","0","-1","0","56.85568","0","0","0.000000000000007105427","0","0","59.84808","56.85568","0","0","0","318.7582","0","59.84808","-59.84808","356.9154","84.97969","0","62.54124","0","0","318.7582"
"1/1/2007 3:00:00 AM","0","0","-65.89561","90","0","0","104.5834","68.7","0","-1","0","68.7","0","0","35.88341","46.34175","0","72.31579","68.7","0","0","66.49787","258.9102","0","72.31579","-72.31579","280.6879","66.83031","0","115.0417","0","0","258.9102"
"1/1/2007 4:00:00 AM","0","0","-68.29882","90","0","0","105.64","68.7","0","-1","0","68.7","0","0","36.93999","47.50399","0","72.31579","68.7","0","0","146.8487","186.5944","0","72.31579","-72.31579","204.4604","48.68094","0","116.204","0","0","186.5944"
"1/1/2007 5:00:00 AM","0","0","-68.56945","90","0","0","96.5084","96.5084","27.8084","0","9.303525","96.5084","0","0","0.00000000000001421085","0","0","72.31579","68.7","0","0","227.1996","114.2786","0","72.31579","-72.31579","128.2328","30.53156","0","106.1592","0","81","114.2786"
"1/1/2007 6:00:00 AM","0.0008882491","0","-67.38521","90","0","0","32.52505","32.52505","81","0","22.761","32.52505","0","0","0","0","0","0","0","48.47495","46.0512","307.5505","41.96278","46.0512","0","46.0512","171.9208","40.93345","0.2959064","35.77755","0","81","41.96278"
"1/1/2007 7:00:00 AM","0.06397346","8.503396","-64.83955","77.75762","0.06572942","7.203945","34.91939","34.91939","81","0","22.761","34.91939","20.63022","0","0","0","7.203945","0","0","46.08061","43.77658","261.4993","83.40886","50.98053","0","50.98053","220.2852","52.44875","0.2937644","38.41133","5.763156","81","90.61281"
"1/1/2007 8:00:00 AM","0.1468058","21.68848","-60.63478","64.11838","0.1475045","16.16649","35.78367","35.78367","81","0","22.761","35.78367","45.1784","0","0","0","16.16649","0","0","45.21633","42.95551","210.5188","129.2913","59.122","0","59.122","276.3733","65.80302","0.2915885","39.36204","12.93319","81","145.4578"
"1/1/2007 9:00:00 AM","0.2838784","34.18584","-54.00429","50.85844","0.2876509","31.52654","74.28604","68.7","0","-1","0","68.7","45.89015","0","5.586044","13.01465","31.52654","72.31579","68.7","0","0","151.3968","182.5011","0","40.78925","-40.78925","233.3776","55.56599","0.2915885","81.71465","25.22123","0","214.0277"
"1/1/2007 10:00:00 AM","0.07039502","45.37495","-43.45202","38.46822","0.07009917","7.682869","22.36072","22.36072","0","0","0","22.36072","34.35878","0","0","0","7.682869","23.5376","22.36072","0","0","196.7182","141.7119","0","15.85473","-15.85473","216.6653","51.58686","0.2915885","24.59679","6.146295","0","149.3947"
"1/1/2007 11:00:00 AM","0.05697239","53.98555","-26.68318","28.19816","0.05671744","6.216231","89.98386","89.98386","81","0","22.761","89.98386","6.908163","0","0","0","6.216231","9.456695","8.98386","0","0","214.3345","125.8572","0","3.240463","-3.240463","213.2495","50.77359","0.2915885","98.98225","4.972985","81","132.0734"
"1/1/2007 12:00:00 PM","0.3085695","57.85535","-2.905519","23.12783","0.3081189","33.76983","78.06743","78.06743","81","0","22.761","78.06743","43.25726","-0.0000000000000004440892","0","0","33.76983","0","0","2.932572","2.785944","217.935","122.6167","36.55577","0","36.55577","247.9294","59.03068","0.2873519","85.87417","27.01587","81","156.3865"
"1/1/2007 1:00:00 PM","0.2728486","55.35163","21.88712","26.4557","0.2722346","29.83691","59.27082","59.27082","81","0","22.761","59.27082","50.33996","0","0","0","29.83691","0","0","21.72918","20.64272","181.3793","155.5169","50.47963","0","50.47963","295.8185","70.43285","0.2855878","65.1979","23.86953","81","185.3538"
"1/1/2007 2:00:00 PM","0.1157476","47.5915","40.32253","35.91159","0.1153119","12.63818","36.0058","36.0058","0","-1","0","36.0058","35.1004","0","0","0","12.63818","37.90084","36.0058","0","0","130.8996","200.9486","0","25.26266","-25.26266","269.1894","64.09258","0.2855878","39.60638","10.11054","0","213.5867"
"1/1/2007 3:00:00 PM","0.06560741","36.83756","52.05293","47.98082","0.06534529","7.161844","0","0","0","0","0","0","0","0","0","0","7.161844","0","0","0","0","158.9693","175.6859","7.161844","0","7.161844","275.9837","65.71027","0.277418","0","5.729475","0","182.8477"
"1/1/2007 4:00:00 PM","0.1289536","24.56311","59.3996","61.10369","0.1288548","14.12248","48.13938","48.13938","0","0","0","48.13938","29.33665","0","0.000000000000007105427","0","14.12248","50.67303","48.13938","0","0","151.8074","182.1316","0","36.55055","-36.55055","237.456","56.53704","0.277418","52.95332","11.29799","0","196.254"
"1/1/2007 5:00:00 PM","0.06745297","11.49752","64.06036","74.68362","0.0677819","7.428895","0","0","0","0","0","0","0","0","0","0","7.428895","0","0","0","0","192.4191","145.581","7.428895","0","7.428895","244.5037","58.21505","0.2694231","0","5.943117","0","153.0099"
"1/1/2007 6:00:00 PM","0.009087816","0","66.93783","90","0","0","42.22785","42.22785","81","0","22.761","42.22785","0","0","0","0","0","0","0","38.77215","36.83354","184.9902","152.267","36.83354","0","36.83354","279.4471","66.53488","0.2727342","46.45063","0","81","152.267"
