Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,36.00859,36.00859,0,0,0,36.00859,0,0,0,0,37.90379,36.00859,0,0,0,318.7582,0,37.90379,-37.90379,380.0468,90.48714,0,39.60946,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,66.23616,66.23616,20.25,0,7.39125,66.23616,0,0,0,0,48.40648,45.98616,0,0,42.11531,280.8544,0,48.40648,-48.40648,329.0218,78.33837,0,72.85978,0,81,280.8544
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,66.90533,66.90533,81,0,22.761,66.90533,0,0,0,0,0,0,14.09468,13.38994,95.9003,232.448,13.38994,0,13.38994,341.7246,81.36285,0.2959064,73.59586,0,81,232.448
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,61.12199,61.12199,81,0,22.761,61.12199,0,0,0,0,0,0,19.87802,18.88411,82.51035,244.4989,18.88411,0,18.88411,359.6397,85.62833,0.2959064,67.23418,0,81,244.4989
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,20.5992,20.5992,0,0,0,20.5992,0,0,0,0,21.68336,20.5992,0,0,63.62624,261.4946,0,21.68336,-21.68336,336.7834,80.18636,0.2959064,22.65912,0,0,261.4946
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.203945,22.11561,22.11561,0,0,0,22.11561,32.57402,0,0,7.203945,23.27959,22.11561,0,0,87.71887,239.8112,0,16.07565,-16.07565,319.8382,76.1518,0.2959064,24.32717,5.763156,0,247.0152
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.16649,22.66299,22.66299,0,0,0,22.66299,71.33431,0,0,16.16649,23.85578,22.66299,0,0,105.5807,223.7356,0,7.689291,-7.689291,311.733,74.22198,0.2959064,24.92929,12.93319,0,239.9021
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,31.52654,47.04783,47.04783,0,0,0,47.04783,67.00954,0,0,31.52654,49.52403,47.04783,0,0,114.1244,216.0463,0,17.99749,-17.99749,292.7619,69.70509,0.2959064,51.75261,25.22123,0,247.5728
