Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,34.11341,34.11341,0,-1,0,34.11341,0,0,7.105427E-15,0,0,35.90885,34.11341,0,0,0,318.7582,0,35.90885,-35.90885,382.1496,90.98782,0,37.52475,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,62.75005,62.75005,0,-1,0,62.75005,0,0,0,0.3250506,0,66.05268,62.75005,0,0,39.89872,282.8494,0,66.05268,-66.05268,312.524,74.41032,0,69.02505,0,0,282.8494
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,63.38399,63.38399,0,-1,0,63.38399,0,0,1.421085E-14,1.022391,0,66.71999,63.38399,0,0,113.2906,216.7967,0,66.71999,-66.71999,242.1949,57.66534,0,69.72239,0,0,216.7967
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,57.90504,57.90504,0,0,0,57.90504,0,0,7.105427E-15,0,0,60.95267,57.90504,0,0,187.4239,150.0767,0,60.95267,-60.95267,177.9451,42.36781,0,63.69554,0,0,150.0767
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,19.51503,19.51503,0,0,0,19.51503,0,0,3.552714E-15,0,0,20.54214,19.51503,0,0,255.1491,89.12403,0,20.54214,-20.54214,156.2918,37.21227,0,21.46653,0,0,89.12403
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.203945,20.95163,20.95163,0,0,0,20.95163,34.38369,0,0,0,7.203945,22.05435,20.95163,0,0,277.9737,68.58189,0,14.8504,-14.8504,140.6381,33.4852,0,23.04679,5.763156,0,75.78584
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.16649,21.4702,21.4702,0,0,0,21.4702,75.29733,0,0,0,16.16649,22.60021,21.4702,0,0,294.4742,53.73149,0,6.433723,-6.433723,133.8564,31.87051,0,23.61722,12.93319,0,69.89798
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,31.52654,44.57162,44.57162,0,-1,0,44.57162,70.7323,0,0,0,31.52654,46.9175,44.57162,0,0,301.6227,47.29777,0,15.39097,-15.39097,117.6329,28.00778,0,49.02879,25.22123,0,78.8243
