Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,26.53265,26.53265,0,-1,0,26.53265,0,0,3.552714E-15,0,0,27.9291,26.53265,0,0,0,318.7582,0,27.9291,-27.9291,390.561,92.99052,0,29.18591,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,48.80559,48.80559,0,-1,0,48.80559,0,0,7.105427E-15,0,0,51.37431,48.80559,0,0,31.03234,290.8291,0,51.37431,-51.37431,336.4077,80.09691,0,53.68615,0,0,290.8291
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,49.29866,49.29866,0,-1,0,49.29866,0,0,0,0,0,51.89333,49.29866,0,0,88.1149,239.4548,0,51.89333,-51.89333,281.7073,67.07304,0,54.22853,0,0,239.4548
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,45.03725,45.03725,0,0,0,45.03725,0,0,7.105427E-15,0,0,47.40763,45.03725,0,0,145.7742,187.5615,0,47.40763,-47.40763,231.7353,55.17496,0,49.54098,0,0,187.5615
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,15.17836,15.17836,0,0,0,15.17836,0,0,1.776357E-15,0,0,15.97722,15.17836,0,0,198.4493,140.1539,0,15.97722,-15.97722,214.8938,51.1651,0,16.69619,0,0,140.1539
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.203945,16.29571,16.29571,0,0,0,16.29571,44.20761,0,0,0,7.203945,17.15338,16.29571,0,0,216.2018,124.1766,0,9.949438,-9.949438,204.4062,48.66805,0,17.92529,5.763156,0,131.3806
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.16649,16.69905,16.69905,0,0,0,16.69905,96.81085,0,0,0,16.16649,17.57794,16.69905,0,0,227.2567,114.2272,0,1.411454,-1.411454,202.9184,48.31381,0,18.36895,12.93319,0,130.3937
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,31.52654,34.66682,34.66682,0,-1,0,34.66682,90.94153,0,0,0,31.52654,36.49139,34.66682,0,0,228.825,112.8157,0,4.964855,-4.964855,197.685,47.06776,0,38.1335,25.22123,0,144.3423
