Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,41.69416,41.69416,0,0,0,41.69416,0,0,7.105427E-15,0,43.88859,41.69416,0,0,0,318.7582,0,43.88859,-43.88859,373.7382,88.98511,0,45.86358,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,76.6945,76.6945,20.25,0,7.39125,76.6945,0,0,1.421085E-14,0,59.41526,56.4445,0,0,48.7651,274.8696,0,59.41526,-59.41526,311.109,74.07343,0,84.36395,0,81,274.8696
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,77.46932,77.46932,81,0,22.761,77.46932,0,0,0,0,0,0,3.530677,3.354143,114.7821,215.4544,3.354143,0,3.354143,314.291,74.83105,0.2959064,85.21626,0,81,215.4544
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,70.77283,70.77283,81,0,22.761,70.77283,0,0,0,0,0,0,10.22717,9.715816,111.4279,218.4731,9.715816,0,9.715816,323.5083,77.02563,0.2959064,77.85011,0,81,218.4731
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,23.8517,23.8517,81,0,22.761,23.8517,0,0,0,0,0,0,57.1483,54.29088,101.7121,227.2173,54.29088,0,54.29088,375.0131,89.28866,0.2959064,26.23687,0,81,227.2173
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.203945,25.60755,25.60755,0,0,0,25.60755,28.13211,0,0,7.203945,26.95532,25.60755,0,0,47.42122,276.0791,0,19.75137,-19.75137,354.1934,84.33158,0.2959064,28.16831,5.763156,0,283.2831
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.16649,26.24136,26.24136,0,0,0,26.24136,61.60691,0,0,16.16649,27.62248,26.24136,0,0,69.36719,256.3278,0,11.45599,-11.45599,342.1177,81.45643,0.2959064,28.86549,12.93319,0,272.4942
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,31.52654,54.47643,54.47643,0,0,0,54.47643,57.87188,0,7.105427E-15,31.52654,57.34361,54.47643,0,0,82.09607,244.8718,0,25.81708,-25.81708,314.9041,74.97701,0.2959064,59.92408,25.22123,0,276.3983
