Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,45.48454,45.48454,0,0,0,45.48454,0,0,7.105427E-15,0,0,47.87846,45.48454,0,0,0,318.7582,0,47.87846,-47.87846,369.5325,87.98376,0,50.033,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,83.66673,83.66673,20.25,0,7.39125,83.66673,0,0,0,0,0,66.75445,63.41673,0,0,53.1983,270.8798,0,66.75445,-66.75445,299.1671,71.23013,0,92.0334,0,81,270.8798
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,84.51199,84.51199,20.25,0,7.39125,84.51199,0,0,0,0,0,67.6442,64.26199,0,0,127.3699,204.1253,0,67.6442,-67.6442,227.8639,54.2532,0,92.96319,0,81,204.1253
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,77.20672,77.20672,81,0,22.761,77.20672,0,0,0,0,0,0,0,3.793282,3.603617,202.5301,136.4811,3.603617,0,3.603617,231.2826,55.06717,0.2959064,84.92739,0,81,136.4811
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,26.02004,26.02004,81,0,22.761,26.02004,0,0,0,0,0,0,0,54.97996,52.23096,198.9265,139.7244,52.23096,0,52.23096,280.8332,66.86492,0.2959064,28.62204,0,81,139.7244
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.203945,27.93551,27.93551,81,0,22.761,27.93551,25.78777,0,0,0,7.203945,0,0,53.06449,50.41127,146.6955,186.7322,57.61521,0,57.61521,335.4918,79.87885,0.2940744,30.72906,5.763156,81,193.9362
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.16649,28.62694,28.62694,81,0,22.761,28.62694,56.473,0,0,0,16.16649,0,0,52.37306,49.75441,89.08034,238.5859,65.9209,0,65.9209,398.0299,94.76883,0.2812064,31.48963,12.93319,81,254.7524
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,31.52654,59.42884,59.42884,0,0,0,59.42884,53.04922,0,0,0,31.52654,62.55667,59.42884,0,0,23.15944,297.9147,0,31.03013,-31.03013,365.3212,86.98107,0.2812064,65.37172,25.22123,0,329.4413
