Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,21.1586,21.1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,21.1586,21.1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,20.39315,20.39315,28.42784,28.42784,0,0,0,28.42784,0,0,3.552714E-15,0,29.92404,28.42784,0,0,0,318.7582,0,29.92404,-29.92404,388.4581,92.48985,0,31.27062,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,19.68994,19.68994,52.29171,52.29171,0,0,0,52.29171,0,0,7.105427E-15,0,55.0439,52.29171,0,0,33.24894,288.8342,0,55.0439,-55.0439,330.4368,78.67526,0,57.52087,0,0,288.8342
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,18.97428,18.97428,52.81999,52.81999,0,0,0,52.81999,0,0,7.105427E-15,0,55.59999,52.81999,0,0,94.40882,233.7903,0,55.59999,-55.59999,271.8292,64.72112,0,58.10199,0,0,233.7903
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,18.32708,18.32708,48.2542,48.2542,0,0,0,48.2542,0,0,7.105427E-15,0,50.79389,48.2542,0,0,156.1866,178.1903,0,50.79389,-50.79389,218.2878,51.97317,0,53.07962,0,0,178.1903
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,17.73588,17.73588,16.26252,16.26252,0,0,0,16.26252,0,0,3.552714E-15,0,17.11845,16.26252,0,0,212.6243,127.3964,0,17.11845,-17.11845,200.2433,47.67689,0,17.88878,0,0,127.3964
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.419771,19.00813,17.11979,17.45969,17.45969,0,0,0,17.45969,42.49657,0,3.552714E-15,7.419771,18.37863,17.45969,0,0,231.6447,110.278,0,10.95885,-10.95885,188.6917,44.9265,0,19.20566,5.935816,0,117.6977
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.37391,22.43391,18.18395,17.89183,17.89183,0,0,0,17.89183,91.51611,0,0,16.37391,18.83351,17.89183,0,0,243.8213,99.3191,0,2.459598,-2.459598,186.099,44.30921,0,19.68102,13.09913,0,115.693
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,30.8593,29.23282,20.89723,37.14302,37.14302,0,0,0,37.14302,83.08237,0,0,30.8593,39.09792,37.14302,0,0,246.5541,96.8595,0,8.238613,-8.238613,177.4148,42.24153,0,40.85732,24.68744,0,127.7188
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,7.655815,25.70428,23.67896,11.18036,11.18036,0,0,0,11.18036,68.47558,1.776357E-15,0,7.655815,11.7688,11.18036,0,0,255.7082,88.62089,0,4.112983,-4.112983,173.0793,41.20928,0,12.29839,6.124651,0,96.2767
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,6.132773,27.68517,26.04374,44.99193,44.99193,0,0,0,44.99193,13.63083,0,0,6.132773,47.35993,44.99193,0,0,260.2781,84.5079,0,41.22715,-41.22715,129.6221,30.86234,0,49.49112,4.906219,0,90.64068
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,31.70599,37.22301,28.23428,39.03371,39.03371,0,0,0,39.03371,81.22719,0,0,31.70599,41.08812,39.03371,0,0,306.0861,43.28075,0,9.382133,-9.382133,119.7324,28.50767,0,42.93708,25.36479,0,74.98674
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,27.85568,38.28037,30.33147,29.63541,29.63541,0,0,0,29.63541,93.99459,0,0,27.85568,31.19517,29.63541,0,0,316.5107,33.89862,0,3.339486,-3.339486,116.2123,27.66954,0,32.59895,22.28455,0,61.7543
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,12.00613,35.00229,31.64455,18.0029,18.0029,0,0,0,18.0029,66.68996,0,0,12.00613,18.95042,18.0029,0,0,320.2212,30.55913,0,6.944295,-6.944295,108.8924,25.92671,0,19.80319,9.604901,0,42.56526
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,6.835766,34.10598,32.20463,0,0,0,0,0,0,0,0,0,6.835766,0,0,0,0,327.9371,23.61484,6.835766,0,6.835766,115.3774,27.47075,0,0,5.468613,0,30.4506
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,13.31024,36.50285,32.74604,24.06969,24.06969,0,0,0,24.06969,55.29875,0,0,13.31024,25.33652,24.06969,0,0,321.1013,29.76702,0,12.02628,-12.02628,102.7006,24.45247,0,26.47666,10.64819,0,43.07726
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,7.089873,34.12712,32.15484,0,0,0,0,0,0,0,0,0,7.089873,0,0,0,0,334.4639,17.74075,7.089873,0,7.089873,109.4266,26.0539,0,0,5.671899,0,24.83062
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,30.28168,30.28168,21.11393,21.11393,20.25,0,7.39125,21.11393,0,0,0,0,0.9093949,0.8639252,0,0,327.374,24.12163,0,0.9093949,-0.9093949,108.468,25.82567,0,23.22532,0,81,24.12163
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,28.51432,28.51432,29.19959,29.19959,81,0,22.761,29.19959,0,0,0,0,0,0,51.8004,49.21038,328.3844,23.21224,49.21038,0,49.21038,155.1531,36.94114,0.2306396,32.11956,0,81,23.21224
