Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,27.95957,27.95957,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,27.95957,27.95957,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,26.94809,26.94809,28.42784,28.42784,0,-1,0,28.42784,0,0,3.552714E-15,0,0,29.92404,28.42784,0,0,0,318.7582,0,29.92404,-29.92404,388.4581,92.48985,0,31.27062,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,26.01885,26.01885,52.29171,52.29171,0,-1,0,52.29171,0,0,7.105427E-15,0,0,55.0439,52.29171,0,0,33.24894,288.8342,0,55.0439,-55.0439,330.4368,78.67526,0,57.52087,0,0,288.8342
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,25.07316,25.07316,52.81999,52.81999,0,-1,0,52.81999,0,0,7.105427E-15,0,0,55.59999,52.81999,0,0,94.40882,233.7903,0,55.59999,-55.59999,271.8292,64.72112,0,58.10199,0,0,233.7903
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,24.21792,24.21792,48.2542,48.2542,0,0,0,48.2542,0,0,7.105427E-15,0,0,50.79389,48.2542,0,0,156.1866,178.1903,0,50.79389,-50.79389,218.2878,51.97317,0,53.07962,0,0,178.1903
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,23.4367,23.4367,16.26252,16.26252,0,0,0,16.26252,0,0,3.552714E-15,0,0,17.11845,16.26252,0,0,212.6243,127.3964,0,17.11845,-17.11845,200.2433,47.67689,0,17.88878,0,0,127.3964
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.221243,24.51975,22.62259,17.45969,17.45969,0,0,0,17.45969,41.35951,0,3.552714E-15,0,7.221243,18.37863,17.45969,0,0,231.6447,110.278,0,11.15738,-11.15738,188.4824,44.87668,0,19.20566,5.776995,0,117.4992
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,15.89975,28.29984,24.02879,17.89183,17.89183,0,0,0,17.89183,88.86598,0,0,0,15.89975,18.83351,17.89183,0,0,244.0418,99.12057,0,2.933756,-2.933756,185.39,44.14038,0,19.68102,12.7198,0,115.0203
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,29.79301,35.99722,27.61419,37.14302,37.14302,0,-1,0,37.14302,80.21161,0,0,0,29.79301,39.09792,37.14302,0,0,247.3016,96.18681,0,9.304903,-9.304903,175.5817,41.80509,0,40.85732,23.83441,0,125.9798
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,7.362939,33.3284,31.29005,11.18036,11.18036,0,0,0,11.18036,65.85603,0,0,0,7.362939,11.7688,11.18036,0,0,257.6404,86.88191,0,4.405859,-4.405859,170.9376,40.69934,0,12.29839,5.890351,0,94.24485
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,5.872226,36.06796,34.41495,44.99193,44.99193,0,0,0,44.99193,13.05173,0,7.105427E-15,0,5.872226,47.35993,44.99193,0,0,262.5357,82.47605,0,41.4877,-41.4877,127.2057,30.28701,0,49.49112,4.697781,0,88.34828
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,30.16203,46.36699,37.30958,39.03371,39.03371,0,0,0,39.03371,77.27175,0,0,0,30.16203,41.08812,39.03371,0,0,308.6332,40.98835,0,10.92609,-10.92609,115.6886,27.54485,0,42.93708,24.12963,0,71.15039
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,26.39151,48.09489,40.08087,29.63541,29.63541,0,0,0,29.63541,89.05396,0,0,0,26.39151,31.19517,29.63541,0,0,320.7733,30.06227,0,4.803662,-4.803662,110.6251,26.33925,0,32.59895,21.1132,0,56.45377
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,11.36157,45.20242,41.81601,18.0029,18.0029,0,-1,0,18.0029,63.10967,0,0,0,11.36157,18.95042,18.0029,0,0,326.1107,25.25861,0,7.588851,-7.588851,102.6257,24.43465,0,19.80319,9.089257,0,36.62018
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,6.464496,44.47398,42.55611,0,0,0,-1,0,0,0,0,0,0,6.464496,0,0,0,0,334.5428,17.66975,6.464496,0,6.464496,108.7585,25.89482,0,0,5.171597,0,24.13425
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,12.56466,47.06152,43.27155,24.06969,24.06969,0,-1,0,24.06969,52.20119,0,0,1.775961,12.56466,25.33652,24.06969,0,0,328.0782,23.4878,0,12.77185,-12.77185,95.29577,22.68942,0,26.47666,10.05173,0,36.05247
