Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,68.22681,68.22681,0,-1,0,68.22681,0,0,1.421085E-14,6.349494,0,71.8177,68.22681,0,0,0,318.7582,0,71.8177,-71.8177,344.2983,81.97563,0,75.04949,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,125.5001,68.7,0,-1,0,68.7,0,0,56.80009,69.3501,0,72.31579,68.7,0,0,79.79744,246.9405,0,72.31579,-72.31579,268.0708,63.82626,0,138.0501,0,0,246.9405
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,126.768,68.7,0,-1,0,68.7,0,0,58.06798,70.74478,0,72.31579,68.7,0,0,160.1483,174.6247,0,72.31579,-72.31579,191.8433,45.67688,0,139.4448,0,0,174.6247
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,115.8101,115.8101,47.11008,0,14.18685,115.8101,0,0,1.421085E-14,0,0,72.31579,68.7,0,0,240.4992,102.309,0,72.31579,-72.31579,115.6157,27.5275,0,127.3911,0,81,102.309
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,39.03006,39.03006,81,0,22.761,39.03006,0,0,0,0,0,0,0,41.96994,39.87144,320.8501,29.99316,39.87144,0,39.87144,153.4411,36.53352,0.2959064,42.93306,0,81,29.99316
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.203945,41.90326,41.90326,81,0,22.761,41.90326,17.19185,0,0,0,7.203945,0,0,39.09674,37.1419,280.9786,65.87746,44.34584,0,44.34584,195.5113,46.55021,0.2934385,46.09359,5.763156,81,73.08141
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.16649,42.9404,42.9404,81,0,22.761,42.9404,37.64867,0,0,0,16.16649,0,0,38.0596,36.15662,236.6328,105.7887,52.3231,0,52.3231,245.1493,58.36877,0.2909683,47.23444,12.93319,81,121.9552
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,31.52654,89.14325,68.7,0,-1,0,68.7,45.89015,0,20.44325,29.35758,31.52654,72.31579,68.7,0,0,184.3097,152.8795,0,40.78925,-40.78925,202.1537,48.13173,0.2909683,98.05758,25.22123,0,184.4061
