Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7582,0,0,0,420.0009,100,0,0,0,0,318.7582
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,37.90379,37.90379,0,0,0,37.90379,0,0,7.105427E-15,0,39.89872,37.90379,0,0,0,318.7582,0,39.89872,-39.89872,377.9439,89.98647,0,41.69416,0,0,318.7582
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,69.72227,69.72227,20.25,0,7.39125,69.72227,0,0,0,0,52.07608,49.47227,0,0,44.33191,278.8595,0,52.07608,-52.07608,323.0509,76.91673,0,76.6945,0,81,278.8595
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,70.42666,70.42666,81,0,22.761,70.42666,0,0,0,0,0,0,10.57334,10.04468,102.1942,226.7834,10.04468,0,10.04468,332.5801,79.18558,0.2959064,77.46932,0,81,226.7834
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,64.33893,64.33893,81,0,22.761,64.33893,0,0,0,0,0,0,16.66107,15.82801,92.14954,235.8236,15.82801,0,15.82801,347.5959,82.76076,0.2959064,70.77283,0,81,235.8236
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,21.68336,21.68336,0,0,0,21.68336,0,0,3.552714E-15,0,22.82459,21.68336,0,0,76.32153,250.0688,0,22.82459,-22.82459,323.5367,77.03238,0.2959064,23.8517,0,0,250.0688
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,7.203945,23.27959,23.27959,0,0,0,23.27959,30.94532,0,3.552714E-15,7.203945,24.50483,23.27959,0,0,101.6822,227.2442,0,17.30089,-17.30089,305.2999,72.69031,0.2959064,25.60755,5.763156,0,234.4482
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,16.16649,23.85578,23.85578,0,0,0,23.85578,67.7676,0,0,16.16649,25.11135,23.85578,0,0,120.9054,209.9434,0,8.944859,-8.944859,295.8712,70.44538,0.2959064,26.24136,12.93319,0,226.1098
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,31.52654,49.52403,49.52403,0,0,0,49.52403,63.65907,0,7.105427E-15,31.52654,52.13056,49.52403,0,0,130.8441,200.9985,0,20.60402,-20.60402,274.1526,65.27431,0.2959064,54.47643,25.22123,0,232.525
