Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,21.1586,21.1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,21.1586,21.1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,20.39315,20.39315,0.1648472,0.1648472,0,0,0,0.1648472,0,0,2.775558E-17,0,0.1735233,0.1648472,0,0,0,4.553689,0,0.1735233,-0.1735233,5.817102,96.95152,0,0.1813319,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,19.68994,19.68994,0.3032288,0.3032288,0,0,0,0.3032288,0,0,5.551115E-17,0,0.3191882,0.3032288,0,0,0.1928037,4.380166,0,0.3191882,-0.3191882,5.480649,91.34396,0,0.3335517,0,0,4.380166
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,18.97428,18.97428,0.3062922,0.3062922,0,0,0,0.3062922,0,0,5.551115E-17,0,0.3224129,0.3062922,0,0,0.5474573,4.060977,0,0.3224129,-0.3224129,5.140795,85.67975,0,0.3369215,0,0,4.060977
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,18.32708,18.32708,0.2798162,0.2798162,0,0,0,0.2798162,0,0,0,0,0.2945433,0.2798162,0,0,0.9056938,3.738564,0,0.2945433,-0.2945433,4.830319,80.50517,0,0.3077978,0,0,3.738564
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,17.73588,17.73588,0.09430302,0.09430302,0,0,0,0.09430302,0,0,1.387779E-17,0,0.09926634,0.09430302,0,0,1.232964,3.444021,0,0.09926634,-0.09926634,4.725684,78.76124,0,0.1037333,0,0,3.444021
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1207744,19.00813,17.11979,0.3489159,0.3489159,0,0,0,0.3489159,34.61418,0,5.551115E-17,0.1207744,0.3672799,0.3489159,0,0,1.34326,3.344755,0,0.2465055,-0.2465055,4.465844,74.43059,0,0.3838075,0.09661949,0,3.465529
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.2665243,22.43391,18.18395,0.3575518,0.3575518,0,0,0,0.3575518,74.54144,0,0,0.2665243,0.3763703,0.3575518,0,0,1.617155,3.098249,0,0.1098461,-0.1098461,4.350056,72.50079,0,0.393307,0.2132194,0,3.364774
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.5023084,29.23282,20.89723,0.742269,0.742269,0,0,0,0.742269,67.67201,0,1.110223E-16,0.5023084,0.7813358,0.742269,0,0,1.739206,2.988403,0,0.2790274,-0.2790274,4.055935,67.59879,0,0.816496,0.4018467,0,3.490712
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.1246165,25.70428,23.67896,0.2234291,0.2234291,0,0,0,0.2234291,55.77453,0,0,0.1246165,0.2351886,0.2234291,0,0,2.049237,2.709376,0,0.110572,-0.110572,3.939382,65.65623,0,0.245772,0.09969323,0,2.833992
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.09982543,27.68517,26.04374,0.8991222,0.8991222,0,0,0,0.8991222,11.10254,0,1.110223E-16,0.09982543,0.9464445,0.8991222,0,0,2.172095,2.598804,0,0.846619,-0.846619,3.046968,50.78269,0,0.9890345,0.07986034,0,2.698629
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,0.5160902,37.22301,28.23428,0.7800528,0.7800528,0,0,0,0.7800528,66.16093,0,0,0.5160902,0.8211082,0.7800528,0,0,3.112782,1.752185,0,0.305018,-0.305018,2.72545,45.42408,0,0.858058,0.4128721,0,2.268275
