sep=,
"Time","Global Solar","Generic flat plate PV Solar Altitude","Generic flat plate PV Solar Azimuth","Generic flat plate PV Angle of Incidence","Generic flat plate PV Incident Solar","Generic flat plate PV Power Output","Generic flat plate PV Cell Temperature","Ambient Temperature","AC Primary Load","AC Primary Load Served","Generic Small Genset (size-your-own) Power Output","Generic Small Genset (size-your-own) Operating Status","Generic Small Genset (size-your-own) Fuel","Total Electrical Load Served","Renewable Penetration","Excess Electrical Production","Unmet Electrical Load","Capacity Shortage","Total Renewable Power Output","Inverter Power Input","Inverter Power Output","Rectifier Power Input","Rectifier Power Output","Generic 1kWh Li-Ion Maximum Charge Power","Generic 1kWh Li-Ion Maximum Discharge Power","Generic 1kWh Li-Ion Charge Power","Generic 1kWh Li-Ion Discharge Power","Generic 1kWh Li-Ion Input Power","Generic 1kWh Li-Ion Energy Content","Generic 1kWh Li-Ion State of Charge","Generic 1kWh Li-Ion Energy Cost","AC Required Operating Capacity","DC Required Operating Capacity","AC Operating Capacity","DC Operating Capacity"
,"kW/m2","°","°","°","kW/m2","kW","°C","°C","kW","kW","kW","status","L","kW","%","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kWh","%","$/kWh","kW","kW","kW","kW"
"1/1/2007 12:00:00 AM","0","0","6.329071","90","0","0","25.69258","25.69258","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","4.553689","0","0","0","6.000012","100","0","0","0","0","4.553689"
"1/1/2007 1:00:00 AM","0","0","-40.63449","90","0","0","25.69258","25.69258","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","4.553689","0","0","0","6.000012","100","0","0","0","0","4.553689"
"1/1/2007 2:00:00 AM","0","0","-59.18059","90","0","0","24.76311","24.76311","0.1648472","0.1648472","0","-1","0","0.1648472","0","0","0.00000000000000002775558","0","0","0.1735233","0.1648472","0","0","0","4.553689","0","0.1735233","-0.1735233","5.817102","96.95152","0","0.1813319","0","0","4.553689"
"1/1/2007 3:00:00 AM","0","0","-65.89561","90","0","0","23.90921","23.90921","0.3032288","0.3032288","0","-1","0","0.3032288","0","0","0.00000000000000005551115","0","0","0.3191882","0.3032288","0","0","0.1928037","4.380166","0","0.3191882","-0.3191882","5.480649","91.34396","0","0.3335517","0","0","4.380166"
"1/1/2007 4:00:00 AM","0","0","-68.29882","90","0","0","23.0402","23.0402","0.3062922","0.3062922","0","-1","0","0.3062922","0","0","0.00000000000000005551115","0","0","0.3224129","0.3062922","0","0","0.5474573","4.060977","0","0.3224129","-0.3224129","5.140795","85.67975","0","0.3369215","0","0","4.060977"
"1/1/2007 5:00:00 AM","0","0","-68.56945","90","0","0","22.25431","22.25431","0.2798162","0.2798162","0","0","0","0.2798162","0","0","0","0","0","0.2945433","0.2798162","0","0","0.9056938","3.738564","0","0.2945433","-0.2945433","4.830319","80.50517","0","0.3077978","0","0","3.738564"
"1/1/2007 6:00:00 AM","0.0008882491","0","-67.38521","90","0","0","21.53643","21.53643","0.09430302","0.09430302","0","0","0","0.09430302","0","0","0.00000000000000001387779","0","0","0.09926634","0.09430302","0","0","1.232964","3.444021","0","0.09926634","-0.09926634","4.725684","78.76124","0","0.1037333","0","0","3.444021"
"1/1/2007 7:00:00 AM","0.06397346","8.503396","-64.83955","77.75762","0.06572942","0.11862","22.68254","20.78832","0.3489159","0.3489159","0","0","0","0.3489159","33.99674","0","0.00000000000000005551115","0","0.11862","0.3672799","0.3489159","0","0","1.34326","3.344755","0","0.2486598","-0.2486598","4.463573","74.39274","0","0.3838075","0.09489603","0","3.463375"
"1/1/2007 8:00:00 AM","0.1468058","21.68848","-60.63478","64.11838","0.1475045","0.2613789","26.34453","22.08051","0.3575518","0.3575518","0","0","0","0.3575518","73.10239","0","0","0","0.2613789","0.3763703","0.3575518","0","0","1.619549","3.096095","0","0.1149914","-0.1149914","4.342361","72.37255","0","0.393307","0.2091031","0","3.357474"
"1/1/2007 9:00:00 AM","0.2838784","34.18584","-54.00429","50.85844","0.2876509","0.4907375","33.74242","25.3752","0.742269","0.742269","0","-1","0","0.742269","66.11315","0","0.0000000000000001110223","0","0.4907375","0.7813358","0.742269","0","0","1.747317","2.981104","0","0.2905984","-0.2905984","4.036044","67.26727","0","0.816496","0.39259","0","3.471841"
"1/1/2007 10:00:00 AM","0.07039502","45.37495","-43.45202","38.46822","0.07009917","0.1214384","30.78702","28.75302","0.2234291","0.2234291","0","-1","0","0.2234291","54.35208","0","0.00000000000000002775558","0","0.1214384","0.2351886","0.2234291","0","0","2.070204","2.690505","0","0.1137502","-0.1137502","3.916141","65.26888","0","0.245772","0.09715071","0","2.811944"
