Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,25.12583,25.12583,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,25.12583,25.12583,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,24.21687,24.21687,0.1648472,0.1648472,0,-1,0,0.1648472,0,0,2.775558E-17,0,0,0.1735233,0.1648472,0,0,0,4.553689,0,0.1735233,-0.1735233,5.817102,96.95152,0,0.1813319,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,23.38181,23.38181,0.3032288,0.3032288,0,-1,0,0.3032288,0,0,5.551115E-17,0,0,0.3191882,0.3032288,0,0,0.1928037,4.380166,0,0.3191882,-0.3191882,5.480649,91.34396,0,0.3335517,0,0,4.380166
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,22.53196,22.53196,0.3062922,0.3062922,0,-1,0,0.3062922,0,0,5.551115E-17,0,0,0.3224129,0.3062922,0,0,0.5474573,4.060977,0,0.3224129,-0.3224129,5.140795,85.67975,0,0.3369215,0,0,4.060977
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,21.7634,21.7634,0.2798162,0.2798162,0,0,0,0.2798162,0,0,0,0,0,0.2945433,0.2798162,0,0,0.9056938,3.738564,0,0.2945433,-0.2945433,4.830319,80.50517,0,0.3077978,0,0,3.738564
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,21.06136,21.06136,0.09430302,0.09430302,0,0,0,0.09430302,0,0,1.387779E-17,0,0,0.09926634,0.09430302,0,0,1.232964,3.444021,0,0.09926634,-0.09926634,4.725684,78.76124,0,0.1037333,0,0,3.444021
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1188893,22.22324,20.32976,0.3489159,0.3489159,0,0,0,0.3489159,34.07393,0,5.551115E-17,0,0.1188893,0.3672799,0.3489159,0,0,1.34326,3.344755,0,0.2483905,-0.2483905,4.463857,74.39747,0,0.3838075,0.09511146,0,3.463644
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.2620221,25.85571,21.59344,0.3575518,0.3575518,0,0,0,0.3575518,73.28226,0,0,0,0.2620221,0.3763703,0.3575518,0,0,1.61925,3.096364,0,0.1143483,-0.1143483,4.343323,72.38858,0,0.393307,0.2096177,0,3.358387
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.4921838,33.17872,24.81545,0.742269,0.742269,0,-1,0,0.742269,66.30801,0,1.110223E-16,0,0.4921838,0.7813358,0.742269,0,0,1.746303,2.982016,0,0.289152,-0.289152,4.03853,67.30871,0,0.816496,0.3937471,0,3.4742
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.1218356,30.15168,28.11876,0.2234291,0.2234291,0,0,0,0.2234291,54.52988,0,0,0,0.1218356,0.2351886,0.2234291,0,0,2.067583,2.692864,0,0.1133529,-0.1133529,3.919046,65.3173,0,0.245772,0.09746852,0,2.8147
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.09735151,32.57513,30.92694,0.8991222,0.8991222,0,0,0,0.8991222,10.82739,0,1.110223E-16,0,0.09735151,0.9464445,0.8991222,0,0,2.193531,2.579511,0,0.849093,-0.849093,3.024023,50.40029,0,0.9890345,0.0778812,0,2.676863
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,0.5014301,42.557,33.52821,0.7800528,0.7800528,0,0,0,0.7800528,64.28156,0,0,0,0.5014301,0.8211082,0.7800528,0,0,3.136967,1.730418,0,0.3196781,-0.3196781,2.687053,44.78413,0,0.858058,0.4011441,0,2.231848
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,0.4395148,44.00551,36.01862,0.5922363,0.5922363,0,0,0,0.5922363,74.21273,0,0,0,0.4395148,0.6234066,0.5922363,0,0,3.492165,1.41074,0,0.1838919,-0.1838919,2.493214,41.55348,0,0.6514599,0.3516118,0,1.850255
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,0.189308,40.95237,37.5779,0.3597714,0.3597714,0,-1,0,0.3597714,52.61899,0,0,0,0.189308,0.3787067,0.3597714,0,0,3.69649,1.226848,0,0.1893986,-0.1893986,2.29357,38.2261,0,0.3957485,0.1514464,0,1.416156
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.1077431,40.15398,38.243,0,0,0,-1,0,0,0,0,0,0,0.1077431,0,0,0,0,3.906933,1.03745,0.1077431,0,0.1077431,2.395784,39.92966,0,0,0.08619444,0,1.145193
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,0.2095764,42.66208,38.88592,0.4810105,0.4810105,0,-1,0,0.4810105,43.57002,0,5.551115E-17,0,0.2095764,0.5063269,0.4810105,0,0,3.79919,1.134418,0,0.2967505,-0.2967505,2.082982,34.71629,0,0.5291116,0.1676611,0,1.343995
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.1117532,40.16613,38.18388,0,0,0,-1,0,0,0,0,0,0,0.1117532,0,0,0,0,4.128912,0.8376679,0.1117532,0,0.1117532,2.189,36.48326,0,0,0.08940259,0,0.9494211
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,35.9595,35.9595,0.4299139,0.4299139,0,-1,0,0.4299139,0,0,5.551115E-17,0,0,0.452541,0.4299139,0,0,4.017159,0.9382458,0,0.452541,-0.452541,1.71198,28.53295,0,0.4729053,0,0,0.9382458
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,33.86076,33.86076,0.5945514,0.4614195,0,-1,0,0.4614195,0,0,0.1331319,0.192587,0,0.4857047,0.4614195,0,0,4.519982,0.4857047,0,0.4857047,-0.4857047,1.200002,20,0,0.6540065,0,0,0.4857047
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,32.17585,32.17585,0.8293481,0,0,-1,0,0,0,0,0.8293481,0.912283,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,0.912283,0,0,0
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,30.53528,30.53528,0.9802442,0,0,-1,0,0,0,0,0.9802442,1.078269,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,1.078269,0,0,0
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,28.85037,28.85037,0.01337392,0,0,-1,0,0,0,0,0.01337392,0.01471132,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,0.01471132,0,0,0
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,27.37238,27.37238,0.05547174,0,0,-1,0,0,0,0,0.05547174,0.06101892,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,0.06101892,0,0,0
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,26.24911,26.24911,0.169652,0,0,-1,0,0,0,0,0.169652,0.1866172,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,0.1866172,0,0,0
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,25.12583,25.12583,0.06995523,0,0,-1,0,0,0,0,0.06995523,0.07695076,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,0.07695076,0,0,0
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,24.1947,24.1947,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,0,0,0,0
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,23.35963,23.35963,0.2466618,0,0,-1,0,0,0,0,0.2466618,0.2713279,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,0.2713279,0,0,0
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,22.50979,22.50979,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,5.059654,0,0,0,0,1.200002,20,0,0,0,0,0
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,21.7634,21.7634,0.04013894,0.04013894,1.492771,0,0.4636264,0.04013894,0,0,0,0,0,0,0,1.452632,1.38,5.059654,0,1.38,0,1.38,2.509185,41.81967,0.2024952,0.04415284,0,1.7,0
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,21.04658,21.04658,0,0,1.452632,0,0.4526684,0,0,0,0,0,0,0,0,1.452632,1.38,3.679654,1.242,1.38,0,1.38,3.818368,63.63934,0.2133264,0,0,1.7,1.242
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85415,0.1004246,0.1807605,23.21035,20.31498,0.2280782,0.2280782,1.68071,0,0.5149338,0.2280782,79.25375,2.220446E-16,0,0,0.1807605,0,0,1.452632,1.38,2.299654,2.484,1.56076,0,1.56076,5.299036,88.31709,0.2238869,0.250886,0.1446084,1.7,2.664761
1/2/2007 8:00:00 AM,0.2576896,21.61751,-60.74889,64.20465,0.2779514,0.4843898,29.62847,21.57127,0.1510106,0.1510106,0,0,0,0.1510106,320.7653,0,0,0,0.4843898,0.1589586,0.1510106,0,0,0.7388938,3.888685,0.3254312,0,0.3254312,5.607767,93.46259,0.2089127,0.1661117,0.3875118,0,4.373074
1/2/2007 9:00:00 AM,0.4718998,34.13238,-54.14432,50.93016,0.5125259,0.8467893,39.77708,24.79329,0.1780614,0.1780614,0,-1,0,0.1780614,475.5602,0.2458936,0,0,0.8467893,0.1874331,0.1780614,0,0,0.4134626,4.181572,0.4134626,0,0.4134626,6.000012,100,0.1925507,0.1958676,0.6774315,0,5.028362
1/2/2007 10:00:00 AM,0.7602223,45.34824,-43.62961,38.51621,0.8317832,1.278675,52.66036,28.08181,0,0,0,0,0,0,0,1.278675,0,0,1.278675,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0.1925507,0,1.02294,0,5.832364
1/2/2007 11:00:00 AM,0.9687649,54.00035,-26.89878,28.20251,1.052093,1.527673,62.2162,30.8826,0,0,0,0,0,0,0,1.527673,0,0,1.527673,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0.1925507,0,1.222138,0,6.081362
1/2/2007 12:00:00 PM,1.031318,57.92366,-3.10829,23.0618,1.116798,1.575253,66.87121,33.48387,0.4834188,0.4834188,0,0,0,0.4834188,325.8568,1.066391,0,0,1.575253,0.5088619,0.4834188,0,0,0,4.553689,0,0,0,6.000012,100,0.1925507,0.5317607,1.260202,0,6.128942
1/2/2007 1:00:00 PM,0.9423041,55.46115,21.77175,26.33853,1.021662,1.44437,66.50847,35.97428,0.8784049,0.8784049,0,0,0,0.8784049,164.431,0.5197328,0,0,1.44437,0.9246367,0.8784049,0,0,0,4.553689,0,0,0,6.000012,100,0.1925507,0.9662454,1.155496,0,5.998058
1/2/2007 2:00:00 PM,0.9231796,47.717,40.28822,35.78399,1.009367,1.415781,67.75307,37.55573,0.8488883,0.8488883,0,-1,0,0.8488883,166.7806,0.5222146,0,0,1.415781,0.8935666,0.8488883,0,0,0,4.553689,0,0,0,6.000012,100,0.1925507,0.9337771,1.132625,0,5.96947
1/2/2007 3:00:00 PM,0.6474482,36.96494,52.06245,47.8565,0.7182695,1.059929,59.56603,38.22083,0.2250611,0.2250611,0,-1,0,0.2250611,470.9517,0.823023,0,0,1.059929,0.2369065,0.2250611,0,0,0,4.553689,0,0,0,6.000012,100,0.1925507,0.2475673,0.8479435,0,5.613618
1/2/2007 4:00:00 PM,0.2630356,24.6874,59.43145,60.98538,0.2758425,0.4380295,46.97647,38.86375,0.5246083,0.5246083,0,-1,0,0.5246083,83.4965,0,0,0,0.4380295,0.5522192,0.5246083,0,0,0,4.553689,0,0.1141897,-0.1141897,5.879645,97.9939,0.1925507,0.5770691,0.3504236,0,4.991718
1/2/2007 5:00:00 PM,0.168327,11.61707,64.10592,74.57189,0.2057908,0.3318449,44.22251,38.18388,0.7374443,0.7374443,0,-1,0,0.7374443,44.99932,0,0,0,0.3318449,0.7762572,0.7374443,0,0,0.1268774,4.439499,0,0.4444122,-0.4444122,5.411194,90.18639,0.1925507,0.8111887,0.2654759,0,4.771344
1/2/2007 6:00:00 PM,0.01077664,0,66.99503,90,0,0,35.97428,35.97428,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.6206688,3.995087,0,0,0,5.411194,90.18639,0.1925507,0,0,0,3.995087
1/2/2007 7:00:00 PM,0,0,68.49145,90,0,0,33.86076,33.86076,0.1684344,0.1684344,0,-1,0,0.1684344,0,0,0,0,0,0.1772994,0.1684344,0,0,0.6206688,3.995087,0,0.1772994,-0.1772994,5.224304,87.07156,0.1925507,0.1852778,0,0,3.995087
1/2/2007 8:00:00 PM,0,0,68.59808,90,0,0,32.19801,32.19801,0.4435368,0.4435368,0,-1,0,0.4435368,0,0,5.551115E-17,0,0,0.4668808,0.4435368,0,0,0.8176681,3.817788,0,0.4668808,-0.4668808,4.732168,78.86932,0.1925507,0.4878904,0,0,3.817788
1/2/2007 9:00:00 PM,0,0,66.81534,90,0,0,30.55006,30.55006,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1.336424,3.350907,0,0,0,4.732168,78.86932,0.1925507,0,0,0,3.350907
1/2/2007 10:00:00 PM,0,0,61.48289,90,0,0,28.85037,28.85037,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1.336424,3.350907,0,0,0,4.732168,78.86932,0.1925507,0,0,0,3.350907
1/2/2007 11:00:00 PM,0,0,46.99853,90,0,0,27.39455,27.39455,0.1444061,0.1444061,0,-1,0,0.1444061,0,0,0,0,0,0.1520064,0.1444061,0,0,1.336424,3.350907,0,0.1520064,-0.1520064,4.571939,76.19884,0.1925507,0.1588467,0,0,3.350907
