Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,24.55909,24.55909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,24.55909,24.55909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,23.67062,23.67062,0.1648472,0.1648472,0,0,0,0.1648472,0,0,2.775558E-17,0,0.1735233,0.1648472,0,0,0,4.553689,0,0.1735233,-0.1735233,5.817102,96.95152,0,0.1813319,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,22.85439,22.85439,0.3032288,0.3032288,0,0,0,0.3032288,0,0,5.551115E-17,0,0.3191882,0.3032288,0,0,0.1928037,4.380166,0,0.3191882,-0.3191882,5.480649,91.34396,0,0.3335517,0,0,4.380166
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,22.02372,22.02372,0.3062922,0.3062922,0,0,0,0.3062922,0,0,5.551115E-17,0,0.3224129,0.3062922,0,0,0.5474573,4.060977,0,0.3224129,-0.3224129,5.140795,85.67975,0,0.3369215,0,0,4.060977
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,21.2725,21.2725,0.2798162,0.2798162,0,0,0,0.2798162,0,0,0,0,0.2945433,0.2798162,0,0,0.9056938,3.738564,0,0.2945433,-0.2945433,4.830319,80.50517,0,0.3077978,0,0,3.738564
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,20.58629,20.58629,0.09430302,0.09430302,0,0,0,0.09430302,0,0,1.387779E-17,0,0.09926634,0.09430302,0,0,1.232964,3.444021,0,0.09926634,-0.09926634,4.725684,78.76124,0,0.1037333,0,0,3.444021
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1191586,21.76394,19.87119,0.3489159,0.3489159,0,0,0,0.3489159,34.1511,0,5.551115E-17,0.1191586,0.3672799,0.3489159,0,0,1.34326,3.344755,0,0.2481212,-0.2481212,4.464141,74.4022,0,0.3838075,0.09532689,0,3.463913
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.2626652,25.36688,21.10637,0.3575518,0.3575518,0,0,0,0.3575518,73.46215,0,0,0.2626652,0.3763703,0.3575518,0,0,1.61895,3.096634,0,0.1137051,-0.1137051,4.344285,72.40461,0,0.393307,0.2101322,0,3.359299
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.4936302,32.61502,24.25571,0.742269,0.742269,0,0,0,0.742269,66.50287,0,1.110223E-16,0.4936302,0.7813358,0.742269,0,0,1.745289,2.982929,0,0.2877056,-0.2877056,4.041017,67.35014,0,0.816496,0.3949042,0,3.476559
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.1222329,29.51634,27.48451,0.2234291,0.2234291,0,0,0,0.2234291,54.70769,0,2.775558E-17,0.1222329,0.2351886,0.2234291,0,0,2.064962,2.695223,0,0.1129556,-0.1129556,3.921951,65.36572,0,0.245772,0.09778634,0,2.817456
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.09770492,31.87657,30.22934,0.8991222,0.8991222,0,0,0,0.8991222,10.8667,0,0,0.09770492,0.9464445,0.8991222,0,0,2.190469,2.582267,0,0.8487395,-0.8487395,3.027301,50.45492,0,0.9890345,0.07816394,0,2.679972
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,0.5035244,41.795,32.77193,0.7800528,0.7800528,0,0,0,0.7800528,64.55004,0,0,0.5035244,0.8211082,0.7800528,0,0,3.133512,1.733528,0,0.3175838,-0.3175838,2.692538,44.87555,0,0.858058,0.4028195,0,2.237052
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,0.4415008,43.18763,35.20617,0.5922363,0.5922363,0,0,0,0.5922363,74.54809,0,0,0.4415008,0.6234066,0.5922363,0,0,3.486383,1.415944,0,0.1819058,-0.1819058,2.500793,41.6798,0,0.6514599,0.3532007,0,1.857445
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,0.1901824,40.10236,36.73028,0.3597714,0.3597714,0,0,0,0.3597714,52.862,0,0,0.1901824,0.3787067,0.3597714,0,0,3.688501,1.234038,0,0.1885244,-0.1885244,2.302071,38.36777,0,0.3957485,0.1521459,0,1.424221
