Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.406623,0.406623,0,0,0,0.406623,0,0,5.551115E-17,0,0,0.4280242,0.406623,0,0,0,4.553689,0,0.4280242,-0.4280242,5.548835,92.48039,0,0.4472853,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.7479644,0.7479644,0,0,0,0.7479644,0,0,0,0,0,0.7873309,0.7479644,0,0,0.4755825,4.125665,0,0.7873309,-0.7873309,4.718915,78.64843,0,0.8227608,0,0,4.125665
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.7555208,0.7555208,0,0,0,0.7555208,0,0,0,0,0,0.7952851,0.7555208,0,0,1.350395,3.338334,0,0.7952851,-0.7952851,3.880611,64.67672,0,0.8310729,0,0,3.338334
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.6902131,0.6902131,0,0,0,0.6902131,0,0,1.110223E-16,0,0,0.7265401,0.6902131,0,0,2.234045,2.543049,0,0.7265401,-0.7265401,3.114771,51.91274,0,0.7592344,0,0,2.543049
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.2326141,0.2326141,0,0,0,0.2326141,0,0,2.775558E-17,0,0,0.244857,0.2326141,0,0,3.041312,1.816509,0,0.244857,-0.244857,2.856669,47.61105,0,0.2558755,0,0,1.816509
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1172613,0.8606592,0.8606592,0,0,0,0.8606592,13.62459,0,1.110223E-16,0,0.1172613,0.905957,0.8606592,0,0,3.313375,1.571652,0,0.7886957,-0.7886957,2.02531,33.7551,0,0.9467251,0.09380904,0,1.688913
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.263148,0.8819612,0.8819612,0.425,0,0.172125,0.8819612,29.83668,0,0,0,0.263148,0.4810117,0.4569612,0,0,4.189703,0.7829559,0,0.2178638,-0.2178638,1.795662,29.92764,0,0.9701573,0.2105184,1.7,1.046104
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.5131692,1.83093,1.83093,1.7,0,0.5202,1.83093,28.02778,0,0,0,0.5131692,0.1378214,0.1309303,0,0,4.431774,0.5650921,0.3753478,0,0.3753478,2.151748,35.86239,0.2881667,2.014023,0.4105353,1.7,1.078261
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.1250569,0.5511252,0.5511252,1.7,0,0.5202,0.5511252,22.6912,0,0,0,0.1250569,0,0,1.148875,1.091431,4.056427,0.9029051,1.216488,0,1.216488,3.30581,55.09672,0.3095118,0.6062377,0.1000455,1.7,1.027962
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.1011839,2.217835,2.217835,1.7,0,0.5202,2.217835,4.562284,0,0,0,0.1011839,0.5450893,0.5178348,0,0,2.839938,1.997744,0,0.4439054,-0.4439054,2.837893,47.29811,0.3095118,2.439618,0.08094713,1.7,2.098928
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,0.5496841,1.92413,1.92413,1.7,0,0.5202,1.92413,28.56793,0,0,0,0.5496841,0.2359265,0.2241302,0,0,3.333167,1.553839,0.3137577,0,0.3137577,3.135549,52.25905,0.3059973,2.116543,0.4397473,1.7,2.103523
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,0.4856665,1.46085,1.46085,1.7,0,0.5202,1.46085,33.24548,0,0,0,0.4856665,0,0,0.2391504,0.2271929,3.019409,1.836221,0.7128593,0,0.7128593,3.811827,63.53032,0.3038442,1.606935,0.3885331,1.7,2.321887
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,0.2057164,0.887436,0.887436,1.7,0,0.5202,0.887436,23.18098,0,0,0,0.2057164,0,0,0.812564,0.7719358,2.30655,2.477794,0.9776521,0,0.9776521,4.739309,78.98833,0.3062647,0.9761797,0.1645731,1.7,2.683511
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.116576,0,0,1.276128,0,0.4044829,0,0,0,0,0,0.116576,0,0,1.276128,1.212322,1.328898,3.357681,1.328898,0,1.328898,6.000012,100,0.2760477,0,0.0932608,1.7,3.474257
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,0.2298769,1.186493,1.186493,0,0,0,1.186493,19.37449,0,2.220446E-16,0,0.2298769,1.24894,1.186493,0,0,0,4.553689,0,1.019063,-1.019063,4.925826,82.09693,0.2760477,1.305142,0.1839015,0,4.783566
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.1209229,0,0,0,0,0,0,0,0,0,0,0.1209229,0,0,0,0,1.132292,3.534626,0.1209229,0,0.1209229,5.040543,84.00888,0.2694323,0,0.09673832,0,3.655549
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,1.060454,1.060454,0,0,0,1.060454,0,0,0,0,0,1.116268,1.060454,0,0,1.011369,3.643457,0,1.116268,-1.116268,3.863894,64.39809,0.2694323,1.1665,0,0,3.643457
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,1.46656,1.46656,1.7,0,0.5202,1.46656,0,0,0,0,0,0,0,0.2334399,0.2217679,2.251667,2.527189,0.2217679,0,0.2217679,4.074281,67.90455,0.2715317,1.613216,0,1.7,2.527189
