Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.1208889,0.1208889,0,-1,0,0.1208889,0,0,0.00000000000000002775558,0,0,0.1272515,0.1208889,0,0,0,4.553689,0,0.1272515,-0.1272515,5.865877,97.76443,0,0.1329778,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.2223696,0.2223696,0,-1,0,0.2223696,0,0,0.00000000000000002775558,0,0,0.2340732,0.2223696,0,0,0.1413905,4.426437,0,0.2340732,-0.2340732,5.619143,93.65218,0,0.2446065,0,0,4.426437
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.2246161,0.2246161,0,-1,0,0.2246161,0,0,0.00000000000000002775558,0,0,0.236438,0.2246161,0,0,0.4014719,4.192364,0,0.236438,-0.236438,5.369915,89.4984,0,0.2470777,0,0,4.192364
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.2052001,0.2052001,0,0,0,0.2052001,0,0,0,0,0,0.2160002,0.2052001,0,0,0.6641808,3.955926,0,0.2160002,-0.2160002,5.142231,85.70367,0,0.2257202,0,0,3.955926
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.0691561,0.0691561,0,0,0,0.0691561,0,0,0,0,0,0.0727959,0.0691561,0,0,0.9041809,3.739926,0,0.0727959,-0.0727959,5.065497,84.42478,0,0.07607171,0,0,3.739926
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1172613,0.2558737,0.2558737,0,0,0,0.2558737,45.8278,0,0,0,0.1172613,0.2693407,0.2558737,0,0,0.9850653,3.66713,0,0.1520794,-0.1520794,4.905191,81.75302,0,0.2814611,0.09380904,0,3.784391
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.263148,0.2622068,0.2622068,0,0,0,0.2622068,100.359,0,0,0,0.263148,0.2760071,0.2622068,0,0,1.154042,3.515051,0,0.01285916,-0.01285916,4.891636,81.52711,0,0.2884274,0.2105184,0,3.778199
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.5131692,0.544335,0.544335,0,-1,0,0.544335,94.27451,0,0,0,0.5131692,0.5729842,0.544335,0,0,1.16833,3.502192,0,0.05981503,-0.05981503,4.828586,80.47627,0,0.5987685,0.4105353,0,4.015361
