Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.1428676,0.1428676,0,0,0,0.1428676,0,0,0,0,0.1503869,0.1428676,0,0,0,4.553689,0,0.1503869,-0.1503869,5.84149,97.35798,0,0.1571543,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.2627983,0.2627983,0,0,0,0.2627983,0,0,0,0,0.2766298,0.2627983,0,0,0.1670965,4.403302,0,0.2766298,-0.2766298,5.549897,92.4981,0,0.2890781,0,0,4.403302
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.2654533,0.2654533,0,0,0,0.2654533,0,0,5.551115E-17,0,0.2794245,0.2654533,0,0,0.474463,4.126672,0,0.2794245,-0.2794245,5.255358,87.58912,0,0.2919986,0,0,4.126672
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.2425073,0.2425073,0,0,0,0.2425073,0,0,2.775558E-17,0,0.2552709,0.2425073,0,0,0.7849346,3.847248,0,0.2552709,-0.2552709,4.986279,83.10448,0,0.2667581,0,0,3.847248
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.08172929,0.08172929,0,0,0,0.08172929,0,0,0,0,0.08603083,0.08172929,0,0,1.068569,3.591977,0,0.08603083,-0.08603083,4.895594,81.59307,0,0.08990221,0,0,3.591977
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1172613,0.3023938,0.3023938,0,0,0,0.3023938,38.77768,5.551115E-17,0,0.1172613,0.3183092,0.3023938,0,0,1.164159,3.505946,0,0.2010479,-0.2010479,4.683671,78.06103,0,0.3326331,0.09380904,0,3.623207
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.263148,0.3098783,0.3098783,0,0,0,0.3098783,84.91979,0,5.551115E-17,0.263148,0.3261876,0.3098783,0,0,1.387545,3.304898,0,0.06303966,-0.06303966,4.617221,76.95354,0,0.3408661,0.2105184,0,3.568046
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.5131692,0.6432998,0.6432998,0,0,0,0.6432998,79.77138,0,0,0.5131692,0.6771577,0.6432998,0,0,1.457589,3.241858,0,0.1639886,-0.1639886,4.444362,74.07256,0,0.7076298,0.4105353,0,3.755028
