Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.2637555,0.2637555,0,0,0,0.2637555,0,0,5.551115E-17,0,0,0.2776373,0.2637555,0,0,0,4.553689,0,0.2776373,-0.2776373,5.707356,95.12242,0,0.290131,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.4851661,0.4851661,0,0,0,0.4851661,0,0,0,0,0,0.5107011,0.4851661,0,0,0.3084859,4.276052,0,0.5107011,-0.5107011,5.16903,86.15033,0,0.5336827,0,0,4.276052
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.4900676,0.4900676,0,0,0,0.4900676,0,0,1.110223E-16,0,0,0.5158606,0.4900676,0,0,0.8759316,3.765351,0,0.5158606,-0.5158606,4.625266,77.0876,0,0.5390744,0,0,3.765351
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.4477058,0.4477058,0,0,0,0.4477058,0,0,5.551115E-17,0,0,0.4712693,0.4477058,0,0,1.44911,3.24949,0,0.4712693,-0.4712693,4.128504,68.80827,0,0.4924764,0,0,3.24949
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.1508848,0.1508848,0,0,0,0.1508848,0,0,0,0,0,0.1588261,0.1508848,0,0,1.972743,2.778221,0,0.1588261,-0.1588261,3.961087,66.01797,0,0.1659733,0,0,2.778221
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1172613,0.5582654,0.5582654,0,0,0,0.5582654,21.00458,0,0,0,0.1172613,0.5876478,0.5582654,0,0,2.149216,2.619395,0,0.4703865,-0.4703865,3.465256,57.75415,0,0.6140919,0.09380904,0,2.736656
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.263148,0.5720829,0.5720829,0,0,0,0.5720829,45.99822,0,1.110223E-16,0,0.263148,0.6021925,0.5720829,0,0,2.671868,2.149008,0,0.3390446,-0.3390446,3.107871,51.79775,0,0.6292912,0.2105184,0,2.412156
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.5131692,1.18763,1.18763,0,0,0,1.18763,43.2095,0,0,0,0.5131692,1.250137,1.18763,0,0,3.048584,1.809963,0,0.7369682,-0.7369682,2.331039,38.85057,0,1.306394,0.4105353,0,2.323133
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.1250569,0.3574866,0.3574866,0,0,0,0.3574866,34.98227,0,5.551115E-17,0,0.1250569,0.3763017,0.3574866,0,0,3.867437,1.072995,0,0.2512448,-0.2512448,2.066203,34.43665,0,0.3932353,0.1000455,0,1.198052
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.1011839,1.438596,1.438596,0.5618079,0,0.2094736,1.438596,7.033521,0,2.220446E-16,0,0.1011839,0.9229344,0.8767876,0,0,4.146598,0.8217504,0,0.8217504,-0.8217504,1.200002,20,0,1.582455,0.08094713,1.7,0.9229344
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,0.5496841,1.248084,1.248084,1.7,0,0.5202,1.248084,44.04222,0,0,0,0.5496841,0,0,0.4519156,0.4293198,5.059654,0,0.9790039,0,0.9790039,2.128767,35.47938,0.3018187,1.372893,0.4397473,1.7,0.5496841
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,0.4856665,0.9475781,0.9475781,1.7,0,0.5202,0.9475781,51.25345,0,0,0,0.4856665,0,0,0.7524219,0.7148008,4.08065,0.8811035,1.200467,0,1.200467,3.26763,54.4604,0.3045093,1.042336,0.3885331,1.7,1.36677
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,0.2057164,0.5756342,0.5756342,1.7,0,0.5202,0.5756342,35.73734,0,0,0,0.2057164,0,0,1.124366,1.068148,2.880183,1.961524,1.273864,0,1.273864,4.476124,74.60191,0.3041753,0.6331976,0.1645731,1.7,2.16724
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.116576,0,0,1.452632,0,0.4526684,0,0,0,0,0,0.116576,0,0,1.452632,1.38,1.606319,3.108001,1.496576,0,1.496576,5.8959,98.26481,0.2751836,0,0.0932608,1.7,3.224578
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,0.2298769,0.7696168,0.7696168,0,0,0,0.7696168,29.86901,0,0,0,0.2298769,0.810123,0.7696168,0,0,0.1097433,4.45492,0,0.5802461,-0.5802461,5.284267,88.07095,0.2751836,0.8465785,0.1839015,0,4.684797
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.1209229,0,0,0,0,0,0,0,0,0,0,0.1209229,0,0,0,0,0.7544612,3.874674,0.1209229,0,0.1209229,5.398985,89.9829,0.2686213,0,0.09673832,0,3.995597
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,0.6878623,0.6878623,0,0,0,0.6878623,0,0,0,0,0,0.7240656,0.6878623,0,0,0.6335383,3.983505,0,0.7240656,-0.7240656,4.635753,77.26239,0.2686213,0.7566485,0,0,3.983505
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,0.9512822,0.9512822,0,0,0,0.9512822,0,0,1.110223E-16,0,0,1.00135,0.9512822,0,0,1.438056,3.259439,0,1.00135,-1.00135,3.580237,59.6705,0.2686213,1.04641,0,0,3.259439
