Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.1098981,0.1098981,0,-1,0,0.1098981,0,0,0,0,0,0.1156822,0.1098981,0,0,0,4.553689,0,0.1156822,-0.1156822,5.878072,97.96767,0,0.1208879,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.2021525,0.2021525,0,-1,0,0.2021525,0,0,0.00000000000000002775558,0,0,0.2127921,0.2021525,0,0,0.1285358,4.438007,0,0.2127921,-0.2127921,5.653769,94.2293,0,0.2223678,0,0,4.438007
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.2041948,0.2041948,0,-1,0,0.2041948,0,0,0.00000000000000002775558,0,0,0.2149419,0.2041948,0,0,0.3649715,4.225214,0,0.2149419,-0.2149419,5.427201,90.45317,0,0.2246143,0,0,4.225214
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.1865441,0.1865441,0,0,0,0.1865441,0,0,0.00000000000000002775558,0,0,0.1963622,0.1865441,0,0,0.6037959,4.010273,0,0.1963622,-0.1963622,5.220217,87.00344,0,0.2051985,0,0,4.010273
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.06286868,0.06286868,0,0,0,0.06286868,0,0,0.00000000000000001387779,0,0,0.06617755,0.06286868,0,0,0.8219761,3.81391,0,0.06617755,-0.06617755,5.15046,85.84082,0,0.06915555,0,0,3.81391
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1172613,0.2326106,0.2326106,0,0,0,0.2326106,50.41099,0,0,0,0.1172613,0.2448532,0.2326106,0,0,0.8955067,3.747733,0,0.127592,-0.127592,5.015966,83.59927,0,0.2558717,0.09380904,0,3.864994
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.263148,0.2383679,0.2383679,0,0,0,0.2383679,110.3957,0,0,0,0.263148,0.2509136,0.2383679,0,0,1.037276,3.620141,0.01223441,0,0.01223441,5.027573,83.79271,0,0.2622047,0.2105184,0,3.883289
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.5131692,0.494846,0.494846,0,-1,0,0.494846,103.7028,0,0,0,0.5131692,0.5208905,0.494846,0,0,1.025041,3.631152,0,0.007721396,-0.007721396,5.019433,83.65706,0,0.5443306,0.4105353,0,4.144321
