Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.2197962,0.2197962,0,0,0,0.2197962,0,0,0,0,0.2313644,0.2197962,0,0,0,4.553689,0,0.2313644,-0.2313644,5.756133,95.93535,0,0.2417758,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,0.4043051,0.4043051,0,0,0,0.4043051,0,0,5.551115E-17,0,0.4255843,0.4043051,0,0,0.2570716,4.322324,0,0.4255843,-0.4255843,5.307527,88.45861,0,0.4447356,0,0,4.322324
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,0.4083897,0.4083897,0,0,0,0.4083897,0,0,5.551115E-17,0,0.4298838,0.4083897,0,0,0.729943,3.89674,0,0.4298838,-0.4298838,4.85439,80.90633,0,0.4492286,0,0,3.89674
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,0.3730882,0.3730882,0,0,0,0.3730882,0,0,5.551115E-17,0,0.3927244,0.3730882,0,0,1.207592,3.466856,0,0.3927244,-0.3927244,4.440422,74.00689,0,0.410397,0,0,3.466856
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.1257374,0.1257374,0,0,0,0.1257374,0,0,2.775558E-17,0,0.1323551,0.1257374,0,0,1.643952,3.074132,0,0.1323551,-0.1323551,4.300908,71.68165,0,0.1383111,0,0,3.074132
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1172613,0.4652212,0.4652212,0,0,0,0.4652212,25.2055,0,0,0.1172613,0.4897065,0.4652212,0,0,1.791013,2.941777,0,0.3724452,-0.3724452,3.908316,65.13847,0,0.5117433,0.09380904,0,3.059038
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.263148,0.4767358,0.4767358,0,0,0,0.4767358,55.19786,0,0,0.263148,0.5018271,0.4767358,0,0,2.204841,2.569332,0,0.2386792,-0.2386792,3.656726,60.94531,0,0.5244094,0.2105184,0,2.83248
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.5131692,0.989692,0.989692,0,0,0,0.989692,51.8514,0,0,0.5131692,1.041781,0.989692,0,0,2.470041,2.330652,0,0.528612,-0.528612,3.09952,51.65856,0,1.088661,0.4105353,0,2.843822
