Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,1.424949,1.424949,0,0,0,1.424949,0,0,0,0,1.499946,1.424949,0,0,0,29.59898,0,1.499946,-1.499946,37.41899,95.94595,0,1.567444,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,2.621129,2.621129,0,0,0,2.621129,0,0,4.440892E-16,0,2.759083,2.621129,0,0,1.666607,28.09903,0,2.759083,-2.759083,34.51067,88.48872,0,2.883242,0,0,28.09903
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,2.647609,2.647609,0,0,0,2.647609,0,0,4.440892E-16,0,2.786957,2.647609,0,0,4.732255,25.33995,0,2.786957,-2.786957,31.57296,80.95614,0,2.91237,0,0,25.33995
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,2.418748,2.418748,0,0,0,2.418748,0,0,4.440892E-16,0,2.546051,2.418748,0,0,7.828874,22.55299,0,2.546051,-2.546051,28.88918,74.07468,0,2.660623,0,0,22.55299
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.8151612,0.8151612,0,0,0,0.8151612,0,0,1.110223E-16,0,0.8580644,0.8151612,0,0,10.65782,20.00694,0,0.8580644,-0.8580644,27.9847,71.75551,0,0.8966773,0,0,20.00694
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7466863,2.240543,2.240543,0,0,0,2.240543,33.32613,0,4.440892E-16,0.7466863,2.358466,2.240543,0,0,11.61122,19.14888,0,1.61178,-1.61178,26.28574,67.39919,0,2.464597,0.597349,0,19.89556
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.675651,2.295998,2.295998,0,0,0,2.295998,72.98136,0,0,1.675651,2.41684,2.295998,0,0,13.40209,17.5371,0,0.7411894,-0.7411894,25.50446,65.39591,0,2.525598,1.340521,0,19.21275
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.267714,4.766437,4.766437,0,0,0,4.766437,68.55674,0,0,3.267714,5.017302,4.766437,0,0,14.22563,16.79591,0,1.749588,-1.749588,23.66023,60.66713,0,5.243081,2.614171,0,20.06362
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.7963266,1.434737,1.434737,0,0,0,1.434737,55.50331,0,0,0.7963266,1.51025,1.434737,0,0,16.16962,15.04632,0,0.713923,-0.713923,22.90769,58.73754,0,1.578211,0.6370612,0,15.84265
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.6443101,5.773661,5.773661,0,0,0,5.773661,11.15947,0,0,0.6443101,6.077538,5.773661,0,0,16.96287,14.3324,0,5.433228,-5.433228,17.18056,44.05264,0,6.351027,0.5154481,0,14.97671
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,3.500231,5.009063,5.009063,0,0,0,5.009063,69.87795,0,0,3.500231,5.272698,5.009063,0,0,22.99979,8.899169,0,1.772467,-1.772467,15.31222,39.26202,0,5.509969,2.800185,0,12.3994
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,3.092585,3.803011,3.803011,0,0,0,3.803011,81.31937,0,4.440892E-16,3.092585,4.003169,3.803011,0,0,24.9692,7.126701,0,0.9105847,-0.9105847,14.35238,36.8009,0,4.183312,2.474068,0,10.21929
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,1.309943,2.310251,2.310251,0,0,0,2.310251,56.70132,0,0,1.309943,2.431843,2.310251,0,0,25.98096,6.216117,0,1.1219,-1.1219,13.16979,33.76863,0,2.541276,1.047954,0,7.52606
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.7423225,0,0,0,0,0,0,0,0,0,0.7423225,0,0,0,0,27.22751,5.094217,0.7423225,0,0.7423225,13.87402,35.57434,0,0,0.593858,0,5.836539
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,1.46379,3.088781,3.088781,0,0,0,3.088781,47.39054,0,0,1.46379,3.251348,3.088781,0,0,26.48519,5.762307,0,1.787558,-1.787558,11.98977,30.74294,0,3.397659,1.171032,0,7.226097
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.7700023,0,0,0,0,0,0,0,0,0,0.7700023,0,0,0,0,28.47137,3.974749,0.7700023,0,0.7700023,12.72026,32.61598,0,0,0.6160018,0,4.744751
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,3.233457,3.233457,0,0,0,3.233457,0,0,4.440892E-16,0,3.403639,3.233457,0,0,27.70136,4.667751,0,3.403639,-3.403639,9.132506,23.41664,0,3.556803,0,0,4.667751
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,4.471724,4.471724,3.270817,0,1.163517,4.471724,0,0,0,0,1.264112,1.200906,0,0,31.48318,1.264112,0,1.264112,-1.264112,7.800015,20,0,4.918896,0,12,1.264112
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,6.23767,6.23767,12,0,3.372,6.23767,0,0,0,0,0,0,5.76233,5.474213,32.88775,0,5.474213,0,5.474213,12.99331,33.31611,0.2318537,6.861438,0,12,0
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,7.372586,7.372586,12,0,3.372,7.372586,0,0,0,0,0,0,4.627414,4.396043,27.41354,4.926792,4.396043,0,4.396043,17.16376,44.00956,0.2565914,8.109844,0,12,4.926792
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.115605,0.115605,8.915605,0,2.591648,0.115605,0,0,0,0,0,0,8.8,8.36,23.0175,8.88323,8.36,0,8.36,25.09476,64.3454,0.232169,0.1271655,0,12,8.88323
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.4795012,0.4795012,9.279501,0,2.683714,0.4795012,0,1.776357E-15,0,0,0,0,8.8,8.36,14.6575,16.40723,8.36,0,8.36,33.02575,84.68124,0.2259171,0.5274513,0,12,16.40723
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,1.466483,1.466483,0,0,0,1.466483,0,0,0,0,1.543666,1.466483,0,0,6.297497,23.93123,0,1.543666,-1.543666,31.39858,80.50902,0.2259171,1.613131,0,0,23.93123
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.6046974,0.6046974,0,0,0,0.6046974,0,0,1.110223E-16,0,0.6365236,0.6046974,0,0,8.012681,22.38757,0,0.6365236,-0.6365236,30.72763,78.78863,0.2259171,0.6651672,0,0,22.38757
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71993,21.75104,0,0,0,30.72763,78.78863,0.2259171,0,0,0,21.75104
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,2.13216,2.13216,0,0,0,2.13216,0,0,4.440892E-16,0,2.244379,2.13216,0,0,8.71993,21.75104,0,2.244379,-2.244379,28.36184,72.72253,0.2259171,2.345376,0,0,21.75104
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21368,19.50666,0,0,0,28.36184,72.72253,0.2259171,0,0,0,19.50666
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,0.3469636,0.3469636,0,0,0,0.3469636,0,0,0,0,0.3652248,0.3469636,0,0,11.21368,19.50666,0,0.3652248,-0.3652248,27.97686,71.7354,0.2259171,0.3816599,0,0,19.50666
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61949,19.14144,0,0,0,27.97686,71.7354,0.2259171,0,0,0,19.14144
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85415,0.1004246,1.140823,1.464591,1.464591,0,0,0,1.464591,77.89363,0,0,1.140823,1.541675,1.464591,0,0,11.61949,19.14144,0,0.4008516,-0.4008516,27.55433,70.65199,0.2259171,1.61105,0.9126584,0,20.28226
