sep=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
,kW/m2,°,°,°,kW/m2,kW,kW,kW,kW,status,L,kW,%,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kWh,%,$/kWh,kW,kW,kW,kW
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,2.137424,2.137424,0,0,0,2.137424,0,0,0,0,0,2.24992,2.137424,0,0,0,29.59898,0,2.24992,-2.24992,36.62846,93.91892,0,2.351166,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,3.931693,3.931693,0,0,0,3.931693,0,0,4.440892E-16,0,0,4.138624,3.931693,0,0,2.499911,27.34906,0,4.138624,-4.138624,32.26596,82.73307,0,4.324862,0,0,27.34906
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,3.971414,3.971414,0,0,0,3.971414,0,0,0,0,0,4.180436,3.971414,0,0,7.098382,23.21043,0,4.180436,-4.180436,27.8594,71.4342,0,4.368555,0,0,23.21043
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,3.628122,3.628122,0,0,0,3.628122,0,0,0,0,0,3.819076,3.628122,0,0,11.74331,19.03,0,3.819076,-3.819076,23.83374,61.11202,0,3.990934,0,0,19.03
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,1.222742,1.222742,0,0,0,1.222742,0,0,2.220446E-16,0,0,1.287097,1.222742,0,0,15.98673,15.21092,0,1.287097,-1.287097,22.47702,57.63326,0,1.345016,0,0,15.21092
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7466863,3.360814,3.360814,0,0,0,3.360814,22.21742,0,4.440892E-16,0,0.7466863,3.537699,3.360814,0,0,17.41684,13.92383,0,2.791013,-2.791013,19.53503,50.08972,0,3.696896,0.597349,0,14.67051
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.675651,3.443997,3.443997,0,0,0,3.443997,48.65424,0,0,0,1.675651,3.62526,3.443997,0,0,20.51796,11.13281,0,1.949609,-1.949609,17.47996,44.82033,0,3.788397,1.340521,0,12.80846
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.267714,7.149656,7.149656,0,0,0,7.149656,45.70449,0,8.881784E-16,0,3.267714,7.525953,7.149656,0,0,22.68419,9.183204,0,4.258239,-4.258239,12.99138,33.31117,0,7.864621,2.614171,0,12.45092
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.7963266,2.152106,2.152106,0,0,0,2.152106,37.0022,0,4.440892E-16,0,0.7963266,2.265374,2.152106,0,0,27.41557,4.924964,0,1.469048,-1.469048,11.44287,29.34064,0,2.367316,0.6370612,0,5.721291
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.6443101,8.660491,8.660491,4.765276,0,1.541615,8.660491,7.439649,0,0,0,0.6443101,4.100226,3.895215,0,0,29.04785,3.455916,0,3.455916,-3.455916,7.800015,20,0,9.52654,0.5154481,12,4.100226
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,3.500231,7.513595,7.513595,12,0,3.372,7.513595,46.5853,0,0,0,3.500231,0,0,4.486405,4.262085,32.88775,8.426001E-16,7.762316,0,7.762316,15.16399,38.88196,0.2828968,8.264955,2.800185,12,3.500231
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,3.092585,5.704516,5.704516,12,0,3.372,5.704516,54.21291,0,0,0,3.092585,0,0,6.295484,5.98071,25.12544,6.986084,9.073294,0,9.073294,23.77168,60.9529,0.2807106,6.274968,2.474068,12,10.07867
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,1.309943,3.465376,3.465376,11.37677,0,3.214323,3.465376,37.80088,0,0,0,1.309943,0,0,7.911394,7.515824,16.05214,15.15205,8.825767,0,8.825767,32.14454,82.42172,0.2759297,3.811914,1.047954,12,16.46199
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.7423225,0,0,0,0,0,0,0,0,0,0,0.7423225,0,0,0,0,7.226377,23.09524,0.7423225,0,0.7423225,32.84876,84.22743,0.2681722,0,0.593858,0,23.83756
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,1.46379,4.633172,4.633172,0,0,0,4.633172,31.59369,0,8.881784E-16,0,1.46379,4.877023,4.633172,0,0,6.484054,23.76333,0,3.413233,-3.413233,29.2509,75.00216,0.2681722,5.096488,1.171032,0,25.22712
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.7700023,0,0,0,0,0,0,0,0,0,0,0.7700023,0,0,0,0,10.27654,20.3501,0.7700023,0,0.7700023,29.98139,76.87521,0.2605732,0,0.6160018,0,21.1201
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,4.850185,4.850185,0,0,0,4.850185,0,0,0,0,0,5.105458,4.850185,0,0,9.506533,21.0431,0,5.105458,-5.105458,24.59976,63.07619,0.2605732,5.335204,0,0,21.0431
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,6.707585,6.707585,12,0,3.372,6.707585,0,0,0,0,0,0,0,5.292415,5.027794,15.17926,15.93764,5.027794,0,5.027794,29.36955,75.30638,0.2660899,7.378344,0,12,15.93764
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,9.356506,9.356506,12,0,3.372,9.356506,0,0,0,0,0,0,0,2.643494,2.511319,10.15147,20.46266,2.511319,0,2.511319,31.752,81.41521,0.268247,10.29216,0,12,20.46266
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,11.05888,11.05888,12,0,3.372,11.05888,0,0,0,0,0,0,0,0.941121,0.894065,7.640151,22.72284,0.894065,0,0.894065,32.60018,83.59003,0.2689416,12.16477,0,12,22.72284
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.1734075,0.1734075,0,0,0,0.1734075,0,0,0,0,0,0.1825342,0.1734075,0,0,6.746085,23.5275,0,0.1825342,-0.1825342,32.40777,83.09669,0.2689416,0.1907483,0,0,23.5275
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.7192519,0.7192519,0,0,0,0.7192519,0,0,1.110223E-16,0,0,0.7571072,0.7192519,0,0,6.948901,23.34497,0,0.7571072,-0.7571072,31.60971,81.05038,0.2689416,0.791177,0,0,23.34497
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,2.199724,2.199724,0,0,0,2.199724,0,0,0,0,0,2.315499,2.199724,0,0,7.790132,22.58786,0,2.315499,-2.315499,29.16896,74.79205,0.2689416,2.419696,0,0,22.58786
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.9070461,0.9070461,0,0,0,0.9070461,0,0,1.110223E-16,0,0,0.9547853,0.9070461,0,0,10.36291,20.27236,0,0.9547853,-0.9547853,28.16253,72.21146,0.2689416,0.9977507,0,0,20.27236
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.42378,19.31758,0,0,0,28.16253,72.21146,0.2689416,0,0,0,19.31758
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,3.198239,3.198239,0,0,0,3.198239,0,0,4.440892E-16,0,0,3.366568,3.198239,0,0,11.42378,19.31758,0,3.366568,-3.366568,24.61385,63.11232,0.2689416,3.518063,0,0,19.31758
