Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,1.33589,1.33589,0,0,0,1.33589,0,0,2.220446E-16,0,1.4062,1.33589,0,0,0,29.59898,0,1.4062,-1.4062,37.51781,96.19933,0,1.469479,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,2.457308,2.457308,0,0,0,2.457308,0,0,0,0,2.58664,2.457308,0,0,1.562444,28.19278,0,2.58664,-2.58664,34.79126,89.20817,0,2.703039,0,0,28.19278
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,2.482134,2.482134,0,0,0,2.482134,0,0,0,0,2.612772,2.482134,0,0,4.436489,25.60614,0,2.612772,-2.612772,32.03715,82.14638,0,2.730347,0,0,25.60614
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,2.267576,2.267576,0,0,0,2.267576,0,0,0,0,2.386923,2.267576,0,0,7.339569,22.99337,0,2.386923,-2.386923,29.52111,75.69501,0,2.494334,0,0,22.99337
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.7642136,0.7642136,0,0,0,0.7642136,0,0,1.110223E-16,0,0.8044354,0.7642136,0,0,9.991705,20.60644,0,0.8044354,-0.8044354,28.67316,73.52079,0,0.840635,0,0,20.60644
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7466863,2.100509,2.100509,0,0,0,2.100509,35.54787,0,0,0.7466863,2.211062,2.100509,0,0,10.88552,19.80201,0,1.464376,-1.464376,27.12958,69.56288,0,2.31056,0.597349,0,20.54869
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.675651,2.152498,2.152498,0,0,0,2.152498,77.84679,0,0,1.675651,2.265788,2.152498,0,0,12.51261,18.33763,0,0.5901368,-0.5901368,26.50752,67.96786,0,2.367748,1.340521,0,20.01328
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.267714,4.468535,4.468535,0,0,0,4.468535,73.12719,0,0,3.267714,4.703721,4.468535,0,0,13.16831,17.7475,0,1.436007,-1.436007,24.99383,64.08662,0,4.915388,2.614171,0,21.01521
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.7963266,1.345066,1.345066,0,0,0,1.345066,59.20353,0,2.220446E-16,0.7963266,1.415859,1.345066,0,0,14.76388,16.31149,0,0.6195324,-0.6195324,24.34079,62.41216,0,1.479573,0.6370612,0,17.10781
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.6443101,5.412807,5.412807,0,0,0,5.412807,11.90344,0,0,0.6443101,5.697691,5.412807,0,0,15.45225,15.69196,0,5.053381,-5.053381,19.01406,48.7539,0,5.954088,0.5154481,0,16.33627
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,3.500231,4.695997,4.695997,0,0,0,4.695997,74.53648,0,0,3.500231,4.943154,4.695997,0,0,21.06711,10.63857,0,1.442924,-1.442924,17.49308,44.85397,0,5.165596,2.800185,0,14.13881
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,3.092585,3.565323,3.565323,0,0,0,3.565323,86.74066,0,0,3.092585,3.752971,3.565323,0,0,22.67036,9.195651,0,0.6603866,-0.6603866,16.79697,43.06908,0,3.921855,2.474068,0,12.28824
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,1.309943,2.16586,2.16586,0,0,0,2.16586,60.48141,0,0,1.309943,2.279853,2.16586,0,0,23.40413,8.535265,0,0.9699099,-0.9699099,15.7746,40.44761,0,2.382446,1.047954,0,9.845207
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.7423225,0,0,0,0,0,0,0,0,0,0.7423225,0,0,0,0,24.4818,7.565355,0.7423225,0,0.7423225,16.47883,42.25332,0,0,0.593858,0,8.307677
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,1.46379,2.895732,2.895732,0,0,0,2.895732,50.54991,0,0,1.46379,3.048139,2.895732,0,0,23.73948,8.233445,0,1.584349,-1.584349,14.80878,37.97115,0,3.185305,1.171032,0,9.697235
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.7700023,0,0,0,0,0,0,0,0,0,0.7700023,0,0,0,0,25.49987,6.649096,0.7700023,0,0.7700023,15.53927,39.84419,0,0,0.6160018,0,7.419098
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,3.031366,3.031366,0,0,0,3.031366,0,0,0,0,3.190912,3.031366,0,0,24.72987,7.342098,0,3.190912,-3.190912,12.17575,31.21981,0,3.334502,0,0,7.342098
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,4.192241,4.192241,3,0,1.095,4.192241,0,0,0,0,1.25499,1.192241,0,0,28.27532,4.151186,0,1.25499,-1.25499,10.85287,27.82783,0,4.611465,0,12,4.151186
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,5.847816,5.847816,12,0,3.372,5.847816,0,0,0,0,0,0,6.152184,5.844574,29.66976,2.896196,5.844574,0,5.844574,16.39753,42.04485,0.2350783,6.432598,0,12,2.896196
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,6.911799,6.911799,12,0,3.372,6.911799,0,0,0,0,0,0,5.088201,4.833791,23.82518,8.156314,4.833791,0,4.833791,20.98326,53.80313,0.2591975,7.602979,0,12,8.156314
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.1083797,0.1083797,8.90838,0,2.58982,0.1083797,0,1.776357E-15,0,0,0,0,8.8,8.36,18.99139,12.50673,8.36,0,8.36,28.91425,74.13896,0.2345765,0.1192177,0,12,12.50673
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.4495324,0.4495324,9.249533,0,2.676132,0.4495324,0,0,0,0,0,0,8.8,8.36,10.63139,20.03073,8.36,0,8.36,36.84525,94.4748,0.2275117,0.4944856,0,12,20.03073
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,1.374827,1.374827,0,0,0,1.374827,0,0,2.220446E-16,0,1.447187,1.374827,0,0,2.271392,27.55473,0,1.447187,-1.447187,35.31978,90.56335,0.2275117,1.51231,0,0,27.55473
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.5669038,0.5669038,0,0,0,0.5669038,0,0,0,0,0.5967408,0.5669038,0,0,3.879378,26.10754,0,0.5967408,-0.5967408,34.69076,88.95049,0.2275117,0.6235942,0,0,26.10754
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.542423,25.5108,0,0,0,34.69076,88.95049,0.2275117,0,0,0,25.5108
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,1.9989,1.9989,0,0,0,1.9989,0,0,4.440892E-16,0,2.104105,1.9989,0,0,4.542423,25.5108,0,2.104105,-2.104105,32.47284,83.26351,0.2275117,2.19879,0,0,25.5108
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.880317,23.40669,0,0,0,32.47284,83.26351,0.2275117,0,0,0,23.40669
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,0.3252783,0.3252783,0,0,0,0.3252783,0,0,5.551115E-17,0,0.3423983,0.3252783,0,0,6.880317,23.40669,0,0.3423983,-0.3423983,32.11192,82.33808,0.2275117,0.3578062,0,0,23.40669
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26076,23.06429,0,0,0,32.11192,82.33808,0.2275117,0,0,0,23.06429
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85415,0.1004246,1.140823,1.373054,1.373054,0,0,0,1.373054,83.08653,0,0,1.140823,1.44532,1.373054,0,0,7.26076,23.06429,0,0.304497,-0.304497,31.79095,81.51509,0.2275117,1.510359,0.9126584,0,24.20512
