Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,22.29209,22.29209,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,22.29209,22.29209,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,21.48564,21.48564,1.33589,1.33589,0,-1,0,1.33589,0,0,2.220446E-16,0,0,1.4062,1.33589,0,0,0,29.59898,0,1.4062,-1.4062,37.51781,96.19933,0,1.469479,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,20.74476,20.74476,2.457308,2.457308,0,-1,0,2.457308,0,0,0,0,0,2.58664,2.457308,0,0,1.562444,28.19278,0,2.58664,-2.58664,34.79126,89.20817,0,2.703039,0,0,28.19278
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,19.99076,19.99076,2.482134,2.482134,0,-1,0,2.482134,0,0,0,0,0,2.612772,2.482134,0,0,4.436489,25.60614,0,2.612772,-2.612772,32.03715,82.14638,0,2.730347,0,0,25.60614
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,19.30889,19.30889,2.267576,2.267576,0,0,0,2.267576,0,0,0,0,0,2.386923,2.267576,0,0,7.339569,22.99337,0,2.386923,-2.386923,29.52111,75.69501,0,2.494334,0,0,22.99337
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,18.68602,18.68602,0.7642136,0.7642136,0,0,0,0.7642136,0,0,1.110223E-16,0,0,0.8044354,0.7642136,0,0,9.991705,20.60644,0,0.8044354,-0.8044354,28.67316,73.52079,0,0.840635,0,0,20.60644
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.765627,19.92673,18.03693,2.100509,2.100509,0,0,0,2.100509,36.44959,0,0,0,0.765627,2.211062,2.100509,0,0,10.88552,19.80201,0,1.445435,-1.445435,27.14954,69.61407,0,2.31056,0.6125016,0,20.56763
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.688959,23.41157,19.15809,2.152498,2.152498,0,0,0,2.152498,78.46507,0,0,0,1.688959,2.265788,2.152498,0,0,12.49156,18.35657,0,0.5768285,-0.5768285,26.54151,68.05502,0,2.367748,1.351167,0,20.04553
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.180135,30.36022,22.01672,4.468535,4.468535,0,-1,0,4.468535,71.1673,0,0,0,3.180135,4.703721,4.468535,0,0,13.13248,17.77975,0,1.523585,-1.523585,24.93551,63.93708,0,4.915388,2.544108,0,20.95988
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.788463,26.97496,24.94748,1.345066,1.345066,0,0,0,1.345066,58.6189,0,0,0,0.788463,1.415859,1.345066,0,0,14.82535,16.25616,0,0.627396,-0.627396,24.27418,62.24136,0,1.479573,0.6307704,0,17.04462
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.6311588,29.0823,27.43894,5.412807,5.412807,0,0,0,5.412807,11.66047,0,0,0,0.6311588,5.697691,5.412807,0,0,15.52246,15.62876,0,5.066533,-5.066533,18.93358,48.54755,0,5.954088,0.504927,0,16.25992
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,3.259642,38.74701,29.74683,4.695997,4.695997,0,0,0,4.695997,69.41322,0,0,0,3.259642,4.943154,4.695997,0,0,21.15194,10.56223,0,1.683512,-1.683512,17.15901,43.99736,0,5.165596,2.607714,0,13.82187
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,2.861938,39.91612,31.95637,3.565323,3.565323,0,0,0,3.565323,80.27149,0,0,0,2.861938,3.752971,3.565323,0,0,23.02251,8.878718,0,0.8910335,-0.8910335,16.21977,41.58908,0,3.921855,2.28955,0,11.74066
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,1.233296,36.70231,33.33979,2.16586,2.16586,0,-1,0,2.16586,56.94255,0,0,0,1.233296,2.279853,2.16586,0,0,24.01255,7.987685,0,1.046557,-1.046557,15.11661,38.76045,0,2.382446,0.9866368,0,9.220981
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.702111,35.83398,33.92987,0,0,0,-1,0,0,0,0,0,0,0.702111,0,0,0,0,25.17539,6.941128,0.702111,0,0.702111,15.78269,40.46835,0,0,0.5616888,0,7.643239
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,1.366722,38.26263,34.50029,2.895732,2.895732,0,-1,0,2.895732,47.19779,0,0,0,1.366722,3.048139,2.895732,0,0,24.47328,7.573028,0,1.681418,-1.681418,14.01032,35.92382,0,3.185305,1.093377,0,8.93975
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.7282199,35.85255,33.87742,0,0,0,-1,0,0,0,0,0,0,0.7282199,0,0,0,0,26.34152,5.891611,0.7282199,0,0.7282199,14.70117,37.69523,0,0,0.5825759,0,6.619831
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,31.90392,31.90392,3.031366,3.031366,0,-1,0,3.031366,0,0,0,0,0,3.190912,3.031366,0,0,25.6133,6.547009,0,3.190912,-3.190912,11.33765,29.07084,0,3.334502,0,0,6.547009
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,30.04187,30.04187,4.192241,3.188292,0,-1,0,3.188292,0,0,1.003949,1.423173,0,3.356097,3.188292,0,0,29.15876,3.356097,0,3.356097,-3.356097,7.800015,20,0,4.611465,0,0,3.356097
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,28.54699,28.54699,5.847816,0,0,-1,0,0,0,0,5.847816,6.432598,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,6.432598,0,0,0
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,27.09145,27.09145,6.911799,0,0,-1,0,0,0,0,6.911799,7.602979,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,7.602979,0,0,0
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,25.59657,25.59657,0.1083797,0,0,-1,0,0,0,0,0.1083797,0.1192177,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0.1192177,0,0,0
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,24.28527,24.28527,0.4495324,0,0,-1,0,0,0,0,0.4495324,0.4944856,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0.4944856,0,0,0
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,23.28868,23.28868,1.374827,0,0,-1,0,0,0,0,1.374827,1.51231,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,1.51231,0,0,0
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,22.29209,22.29209,0.5669038,0,0,-1,0,0,0,0,0.5669038,0.6235942,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0.6235942,0,0,0
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,21.46597,21.46597,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0,0,0,0
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,20.72509,20.72509,1.9989,0,0,-1,0,0,0,0,1.9989,2.19879,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,2.19879,0,0,0
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,19.97109,19.97109,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0,0,0,0
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,19.30889,19.30889,0.3252783,0.3252783,9.125278,0,2.644696,0.3252783,0,1.776357E-15,0,0,0,0,0,8.8,8.36,32.88775,0,8.36,0,8.36,15.73101,40.33584,0.175876,0.3578062,0,12,0
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,18.6729,18.6729,0,0,8.8,0,2.5624,0,0,1.776357E-15,0,0,0,0,0,8.8,8.36,24.52775,7.524,8.36,0,8.36,23.662,60.67167,0.1846979,0,0,12,7.524
