Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,26.82608,26.82608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,26.82608,26.82608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,25.8556,25.8556,1.33589,1.33589,0,0,0,1.33589,0,0,2.220446E-16,0,1.4062,1.33589,0,0,0,29.59898,0,1.4062,-1.4062,37.51781,96.19933,0,1.469479,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,24.96403,24.96403,2.457308,2.457308,0,0,0,2.457308,0,0,0,0,2.58664,2.457308,0,0,1.562444,28.19278,0,2.58664,-2.58664,34.79126,89.20817,0,2.703039,0,0,28.19278
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,24.05668,24.05668,2.482134,2.482134,0,0,0,2.482134,0,0,0,0,2.612772,2.482134,0,0,4.436489,25.60614,0,2.612772,-2.612772,32.03715,82.14638,0,2.730347,0,0,25.60614
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,23.23612,23.23612,2.267576,2.267576,0,0,0,2.267576,0,0,0,0,2.386923,2.267576,0,0,7.339569,22.99337,0,2.386923,-2.386923,29.52111,75.69501,0,2.494334,0,0,22.99337
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,22.48656,22.48656,0.7642136,0.7642136,0,0,0,0.7642136,0,0,1.110223E-16,0,0.8044354,0.7642136,0,0,9.991705,20.60644,0,0.8044354,-0.8044354,28.67316,73.52079,0,0.840635,0,0,20.60644
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7519088,23.60115,21.70545,2.100509,2.100509,0,0,0,2.100509,35.7965,0,0,0.7519088,2.211062,2.100509,0,0,10.88552,19.80201,0,1.459153,-1.459153,27.13508,69.577,0,2.31056,0.601527,0,20.55392
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.656195,27.32219,23.05465,2.152498,2.152498,0,0,0,2.152498,76.94292,0,0,1.656195,2.265788,2.152498,0,0,12.5068,18.34286,0,0.6095927,-0.6095927,26.49252,67.92939,0,2.367748,1.324956,0,19.99905
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.106455,34.86982,26.4947,4.468535,4.468535,0,0,0,4.468535,69.51843,0,0,3.106455,4.703721,4.468535,0,0,13.18413,17.73326,0,1.597266,-1.597266,24.80885,63.61231,0,4.915388,2.485164,0,20.83972
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.7682254,32.05771,30.02154,1.345066,1.345066,0,0,0,1.345066,57.11432,0,2.220446E-16,0.7682254,1.415859,1.345066,0,0,14.95887,16.136,0,0.6476336,-0.6476336,24.12618,61.86189,0,1.479573,0.6145803,0,16.90422
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.6131551,34.67083,33.01974,5.412807,5.412807,0,0,0,5.412807,11.32786,0,8.881784E-16,0.6131551,5.697691,5.412807,0,0,15.67846,15.48836,0,5.084537,-5.084537,18.76661,48.11942,0,5.954088,0.4905241,0,16.10152
