Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,2.404602,2.404602,0,-1,0,2.404602,0,0,0,0,0,2.53116,2.404602,0,0,0,29.59898,0,2.53116,-2.53116,36.332,93.15879,0,2.645062,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,4.423155,4.423155,0,-1,0,4.423155,0,0,0,0,0,4.655952,4.423155,0,0,2.8124,27.06782,0,4.655952,-4.655952,31.4242,80.5747,0,4.86547,0,0,27.06782
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,4.467841,4.467841,0,-1,0,4.467841,0,0,0,0,0,4.70299,4.467841,0,0,7.98568,22.41187,0,4.70299,-4.70299,26.46681,67.86348,0,4.914625,0,0,22.41187
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,4.081637,4.081637,0,0,0,4.081637,0,0,8.881784E-16,0,0,4.296461,4.081637,0,0,13.21122,17.70888,0,4.296461,-4.296461,21.93794,56.25102,0,4.489801,0,0,17.70888
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,1.375584,1.375584,0,0,0,1.375584,0,0,2.220446E-16,0,0,1.447984,1.375584,0,0,17.98507,13.41242,0,1.447984,-1.447984,20.41163,52.33742,0,1.513143,0,0,13.41242
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7466863,3.780916,3.780916,0,0,0,3.780916,19.74882,0,4.440892E-16,0,0.7466863,3.979912,3.780916,0,0,19.59394,11.96443,0,3.233225,-3.233225,17.00352,43.59867,0,4.159008,0.597349,0,12.71112
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.675651,3.874497,3.874497,0,0,0,3.874497,43.24821,0,0,0,1.675651,4.078418,3.874497,0,0,23.18641,8.731207,0,2.402767,-2.402767,14.47078,37.10448,0,4.261946,1.340521,0,10.40686
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.267714,8.043363,8.043363,0,-1,0,8.043363,40.62622,0,0,2.214816,3.267714,8.466698,8.043363,0,0,25.85615,6.32844,0,5.198984,-5.198984,8.990567,23.05269,0,8.847699,2.614171,0,9.596153
