Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,1.157771,1.157771,0,0,0,1.157771,0,0,0,0,1.218707,1.157771,0,0,0,29.59898,0,1.218707,-1.218707,37.71545,96.70609,0,1.273548,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,2.129667,2.129667,0,0,0,2.129667,0,0,0,0,2.241755,2.129667,0,0,1.354118,28.38027,0,2.241755,-2.241755,35.35243,90.64708,0,2.342634,0,0,28.38027
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,2.151182,2.151182,0,0,0,2.151182,0,0,4.440892E-16,0,2.264403,2.151182,0,0,3.844957,26.13852,0,2.264403,-2.264403,32.96554,84.52686,0,2.366301,0,0,26.13852
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,1.965233,1.965233,0,0,0,1.965233,0,0,2.220446E-16,0,2.068666,1.965233,0,0,6.36096,23.87411,0,2.068666,-2.068666,30.78498,78.93568,0,2.161756,0,0,23.87411
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.6623185,0.6623185,0,0,0,0.6623185,0,0,1.110223E-16,0,0.6971774,0.6623185,0,0,8.659478,21.80545,0,0.6971774,-0.6971774,30.05009,77.05135,0,0.7285503,0,0,21.80545
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7466863,1.820441,1.820441,0,0,0,1.820441,41.01678,0,2.220446E-16,0.7466863,1.916254,1.820441,0,0,9.434119,21.10827,0,1.169567,-1.169567,28.81726,73.89025,0,2.002485,0.597349,0,21.85496
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.675651,1.865498,1.865498,0,0,0,1.865498,89.82322,0,2.220446E-16,1.675651,1.963683,1.865498,0,0,10.73364,19.9387,0,0.2880318,-0.2880318,28.51364,73.11176,0,2.052048,1.340521,0,21.61435
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.267714,3.87273,3.87273,0,0,0,3.87273,84.37753,0,0,3.267714,4.076558,3.87273,0,0,11.05367,19.65067,0,0.8088441,-0.8088441,27.66105,70.92561,0,4.260003,2.614171,0,22.91838
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.7963266,1.165724,1.165724,0,0,0,1.165724,68.31177,0,2.220446E-16,0.7963266,1.227078,1.165724,0,0,11.95239,18.84183,0,0.4307512,-0.4307512,27.20699,69.76138,0,1.282296,0.6370612,0,19.63815
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.6443101,4.691099,4.691099,0,0,0,4.691099,13.73474,0,0,0.6443101,4.937999,4.691099,0,0,12.431,18.41108,0,4.293689,-4.293689,22.68105,58.15642,0,5.160209,0.5154481,0,19.05539
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,3.500231,4.069864,4.069864,0,0,0,4.069864,86.00363,0,0,3.500231,4.284067,4.069864,0,0,17.20177,14.11739,0,0.7838363,-0.7838363,21.85481,56.03787,0,4.47685,2.800185,0,17.61762
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,3.092585,3.089946,3.089946,0,0,0,3.089946,100.0854,0,0,3.092585,3.252575,3.089946,0,0,18.0727,13.33355,0,0.1599905,-0.1599905,21.68617,55.60545,0,3.398941,2.474068,0,16.42614
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,1.309943,1.877079,1.877079,0,0,0,1.877079,69.78625,0,2.220446E-16,1.309943,1.975872,1.877079,0,0,18.25047,13.17356,0,0.6659296,-0.6659296,20.98422,53.80557,0,2.064787,1.047954,0,14.4835
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.7423225,0,0,0,0,0,0,0,0,0,0.7423225,0,0,0,0,18.99039,12.50763,0.7423225,0,0.7423225,21.68844,55.61129,0,0,0.593858,0,13.24995
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,1.46379,2.509634,2.509634,0,0,0,2.509634,58.32682,0,0,1.46379,2.641721,2.509634,0,0,18.24806,13.17572,0,1.17793,-1.17793,20.4468,52.42758,0,2.760598,1.171032,0,14.63951
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.7700023,0,0,0,0,0,0,0,0,0,0.7700023,0,0,0,0,19.55688,11.99779,0.7700023,0,0.7700023,21.17729,54.30062,0,0,0.6160018,0,12.76779
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,2.627184,2.627184,0,0,0,2.627184,0,0,4.440892E-16,0,2.765457,2.627184,0,0,18.78687,12.69079,0,2.765457,-2.765457,18.26224,46.82616,0,2.889902,0,0,12.69079
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,3.633275,3.633275,0,0,0,3.633275,0,0,4.440892E-16,0,3.8245,3.633275,0,0,21.8596,9.925336,0,3.8245,-3.8245,14.23086,36.48932,0,3.996603,0,0,9.925336
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,5.068108,5.068108,0,0,0,5.068108,0,0,8.881784E-16,0,5.33485,5.068108,0,0,26.10905,6.100835,0,5.33485,-5.33485,8.607435,22.0703,0,5.574918,0,0,6.100835
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,5.990226,5.990226,5.26254,0,1.667423,5.990226,0,3.330669E-16,0,0,0.7659857,0.7276863,0,0,32.03666,0.7659857,0,0.7659857,-0.7659857,7.800015,20,0,6.589249,0,12,0.7659857
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.09392908,0.09392908,8.893929,0,2.586164,0.09392908,0,0,0,0,0,0,8.8,8.36,32.88775,0,8.36,0,8.36,15.73101,40.33584,0.1678276,0.103322,0,12,0
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.3895948,0.3895948,9.189595,0,2.660968,0.3895948,0,0,0,0,0,0,8.8,8.36,24.52775,7.524,8.36,0,8.36,23.662,60.67167,0.1863072,0.4285542,0,12,7.524
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,1.191517,1.191517,9.991517,0,2.863854,1.191517,0,0,0,0,0,0,8.8,8.36,16.16775,15.048,8.36,0,8.36,31.59299,81.00751,0.2016449,1.310669,0,12,15.048
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.4913166,0.4913166,0,0,0,0.4913166,0,0,5.551115E-17,0,0.5171754,0.4913166,0,0,7.807754,22.572,0,0.5171754,-0.5171754,31.04784,79.6097,0.2016449,0.5404483,0,0,22.572
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.382393,22.05482,0,0,0,31.04784,79.6097,0.2016449,0,0,0,22.05482
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,1.73238,1.73238,0,0,0,1.73238,0,0,2.220446E-16,0,1.823557,1.73238,0,0,8.382393,22.05482,0,1.823557,-1.823557,29.12564,74.68098,0.2016449,1.905618,0,0,22.05482
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.40857,20.23127,0,0,0,29.12564,74.68098,0.2016449,0,0,0,20.23127
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,0.2819079,0.2819079,0,0,0,0.2819079,0,0,5.551115E-17,0,0.2967452,0.2819079,0,0,10.40857,20.23127,0,0.2967452,-0.2967452,28.81285,73.87894,0.2016449,0.3100987,0,0,20.23127
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73829,19.93452,0,0,0,28.81285,73.87894,0.2016449,0,0,0,19.93452
