sep=,
"Time","Global Solar","Generic flat plate PV Solar Altitude","Generic flat plate PV Solar Azimuth","Generic flat plate PV Angle of Incidence","Generic flat plate PV Incident Solar","Generic flat plate PV Power Output","Generic flat plate PV Cell Temperature","Ambient Temperature","AC Primary Load","AC Primary Load Served","Generic Medium Genset (size-your-own) Power Output","Generic Medium Genset (size-your-own) Operating Status","Generic Medium Genset (size-your-own) Fuel","Total Electrical Load Served","Renewable Penetration","Excess Electrical Production","Unmet Electrical Load","Total Renewable Power Output","Inverter Power Input","Inverter Power Output","Rectifier Power Input","Rectifier Power Output","Generic 1kWh Li-Ion Maximum Charge Power","Generic 1kWh Li-Ion Maximum Discharge Power","Generic 1kWh Li-Ion Charge Power","Generic 1kWh Li-Ion Discharge Power","Generic 1kWh Li-Ion Input Power","Generic 1kWh Li-Ion Energy Content","Generic 1kWh Li-Ion State of Charge","Generic 1kWh Li-Ion Energy Cost","AC Required Operating Capacity","DC Required Operating Capacity","AC Operating Capacity","DC Operating Capacity"
,"kW/m2","°","°","°","kW/m2","kW","°C","°C","kW","kW","kW","status","L","kW","%","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kWh","%","$/kWh","kW","kW","kW","kW"
"1/1/2007 12:00:00 AM","0","0","6.329071","90","0","0","25.12583","25.12583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.59898","0","0","0","39.00008","100","0","0","0","0","29.59898"
"1/1/2007 1:00:00 AM","0","0","-40.63449","90","0","0","25.12583","25.12583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.59898","0","0","0","39.00008","100","0","0","0","0","29.59898"
"1/1/2007 2:00:00 AM","0","0","-59.18059","90","0","0","24.21687","24.21687","1.33589","1.33589","0","0","0","1.33589","0","0","0.0000000000000002220446","0","1.4062","1.33589","0","0","0","29.59898","0","1.4062","-1.4062","37.51781","96.19933","0","1.469479","0","0","29.59898"
"1/1/2007 3:00:00 AM","0","0","-65.89561","90","0","0","23.38181","23.38181","2.457308","2.457308","0","0","0","2.457308","0","0","0","0","2.58664","2.457308","0","0","1.562444","28.19278","0","2.58664","-2.58664","34.79126","89.20817","0","2.703039","0","0","28.19278"
"1/1/2007 4:00:00 AM","0","0","-68.29882","90","0","0","22.53196","22.53196","2.482134","2.482134","0","0","0","2.482134","0","0","0","0","2.612772","2.482134","0","0","4.436489","25.60614","0","2.612772","-2.612772","32.03715","82.14638","0","2.730347","0","0","25.60614"
"1/1/2007 5:00:00 AM","0","0","-68.56945","90","0","0","21.7634","21.7634","2.267576","2.267576","0","0","0","2.267576","0","0","0","0","2.386923","2.267576","0","0","7.339569","22.99337","0","2.386923","-2.386923","29.52111","75.69501","0","2.494334","0","0","22.99337"
"1/1/2007 6:00:00 AM","0.0008882491","0","-67.38521","90","0","0","21.06136","21.06136","0.7642136","0.7642136","0","0","0","0.7642136","0","0","0.0000000000000001110223","0","0.8044354","0.7642136","0","0","9.991705","20.60644","0","0.8044354","-0.8044354","28.67316","73.52079","0","0.840635","0","0","20.60644"
"1/1/2007 7:00:00 AM","0.06397346","8.503396","-64.83955","77.75762","0.06572942","0.7570531","22.22324","20.32976","2.100509","2.100509","0","0","0","2.100509","36.04142","0","0","0.7570531","2.211062","2.100509","0","0","10.88552","19.80201","0","1.454009","-1.454009","27.1405","69.5909","0","2.31056","0.6056425","0","20.55906"
"1/1/2007 8:00:00 AM","0.1468058","21.68848","-60.63478","64.11838","0.1475045","1.668481","25.85571","21.59344","2.152498","2.152498","0","0","0","2.152498","77.51372","0","0.0000000000000004440892","1.668481","2.265788","2.152498","0","0","12.50109","18.348","0","0.5973061","-0.5973061","26.51089","67.9765","0","2.367748","1.334785","0","20.01648"
"1/1/2007 9:00:00 AM","0.2838784","34.18584","-54.00429","50.85844","0.2876509","3.134085","33.17872","24.81545","4.468535","4.468535","0","0","0","4.468535","70.13676","0","0","3.134085","4.703721","4.468535","0","0","13.16476","17.75069","0","1.569636","-1.569636","24.85635","63.7341","0","4.915388","2.507268","0","20.88478"
"1/1/2007 10:00:00 AM","0.07039502","45.37495","-43.45202","38.46822","0.07009917","0.7758145","30.15168","28.11876","1.345066","1.345066","0","0","0","1.345066","57.67854","0","0.0000000000000002220446","0.7758145","1.415859","1.345066","0","0","14.9088","16.18106","0","0.6400445","-0.6400445","24.18168","62.00419","0","1.479573","0.6206515","0","16.95687"
"1/1/2007 11:00:00 AM","0.05697239","53.98555","-26.68318","28.19816","0.05671744","0.6199064","32.57513","30.92694","5.412807","5.412807","0","0","0","5.412807","11.45259","0","0.0000000000000008881784","0.6199064","5.697691","5.412807","0","0","15.61996","15.54101","0","5.077785","-5.077785","18.82923","48.27997","0","5.954088","0.4959252","0","16.16092"
"1/1/2007 12:00:00 PM","0.3085695","57.85535","-2.905519","23.12783","0.3081189","3.192963","42.557","33.52821","4.695997","4.695997","0","0","0","4.695997","67.9933","0","0","3.192963","4.943154","4.695997","0","0","21.26194","10.46323","0","1.750191","-1.750191","16.98436","43.54956","0","5.165596","2.55437","0","13.65619"
"1/1/2007 1:00:00 PM","0.2728486","55.35163","21.88712","26.4557","0.2722346","2.798704","44.00551","36.01862","3.565323","3.565323","0","0","0","3.565323","78.49791","0","0","2.798704","3.752971","3.565323","0","0","23.2066","8.713037","0","0.9542674","-0.9542674","15.97848","40.97037","0","3.921855","2.238963","0","11.51174"
"1/1/2007 2:00:00 PM","0.1157476","47.5915","40.32253","35.91159","0.1153119","1.205459","40.95237","37.5779","2.16586","2.16586","0","0","0","2.16586","55.65731","0","0","1.205459","2.279853","2.16586","0","0","24.2669","7.758769","0","1.074393","-1.074393","14.84597","38.06651","0","2.382446","0.9643674","0","8.964229"
"1/1/2007 3:00:00 PM","0.06560741","36.83756","52.05293","47.98082","0.06534529","0.6860768","40.15398","38.243","0","0","0","0","0","0","0","0","0","0.6860768","0","0","0","0","25.46067","6.684376","0.6860768","0","0.6860768","15.49684","39.7354","0","0","0.5488614","0","7.370453"
"1/1/2007 4:00:00 PM","0.1289536","24.56311","59.3996","61.10369","0.1288548","1.334522","42.66208","38.88592","2.895732","2.895732","0","0","0","2.895732","46.08583","0","0","1.334522","3.048139","2.895732","0","0","24.77459","7.301845","0","1.713617","-1.713617","13.69053","35.10384","0","3.185305","1.067618","0","8.636367"
"1/1/2007 5:00:00 PM","0.06745297","11.49752","64.06036","74.68362","0.0677819","0.7116125","40.16613","38.18388","0","0","0","0","0","0","0","0","0","0.7116125","0","0","0","0","26.67861","5.588228","0.7116125","0","0.7116125","14.36562","36.83485","0","0","0.56929","0","6.299841"
"1/1/2007 6:00:00 PM","0.009087816","0","66.93783","90","0","0","35.9595","35.9595","3.031366","3.031366","0","0","0","3.031366","0","0","0","0","3.190912","3.031366","0","0","25.967","6.22868","0","3.190912","-3.190912","11.0021","28.21047","0","3.334502","0","0","6.22868"
"1/1/2007 7:00:00 PM","0","0","68.42065","90","0","0","33.86076","33.86076","4.192241","4.192241","3","0","1.095","4.192241","0","0","0","0","1.25499","1.192241","0","0","29.51245","3.037768","0","1.25499","-1.25499","9.679229","24.81849","0","4.611465","0","12","3.037768"
"1/1/2007 8:00:00 PM","0","0","68.50754","90","0","0","32.17585","32.17585","5.847816","5.847816","12","0","3.372","5.847816","0","0","0","0","0","0","6.152184","5.844574","30.90689","1.782778","5.844574","0","5.844574","15.22388","39.03551","0.2387993","6.432598","0","12","1.782778"
"1/1/2007 9:00:00 PM","0","0","66.69133","90","0","0","30.53528","30.53528","6.911799","6.911799","12","0","3.372","6.911799","0","0","0","0","0","0","5.088201","4.833791","25.06231","7.042895","4.833791","0","4.833791","19.80961","50.79379","0.261658","7.602979","0","12","7.042895"
"1/1/2007 10:00:00 PM","0","0","61.29293","90","0","0","28.85037","28.85037","0.1083797","0.1083797","8.90838","0","2.58982","0.1083797","0","0.000000000000001776357","0","0","0","0","8.8","8.36","20.22852","11.39331","8.36","0","8.36","27.74061","71.12962","0.2358923","0.1192177","0","12","11.39331"
"1/1/2007 11:00:00 PM","0","0","46.66078","90","0","0","27.37238","27.37238","0.4495324","0.4495324","9.249533","0","2.676132","0.4495324","0","0","0","0","0","0","8.8","8.36","11.86852","18.91731","8.36","0","8.36","35.6716","91.46545","0.2284174","0.4944856","0","12","18.91731"
"1/2/2007 12:00:00 AM","0","0","6.788207","90","0","0","26.24911","26.24911","1.374827","1.374827","0","0","0","1.374827","0","0","0.0000000000000002220446","0","1.447187","1.374827","0","0","3.508524","26.44131","0","1.447187","-1.447187","34.14613","87.55401","0.2284174","1.51231","0","0","26.44131"
"1/2/2007 1:00:00 AM","0","0","-40.56551","90","0","0","25.12583","25.12583","0.5669038","0.5669038","0","0","0","0.5669038","0","0","0","0","0.5967408","0.5669038","0","0","5.116509","24.99412","0","0.5967408","-0.5967408","33.51711","85.94114","0.2284174","0.6235942","0","0","24.99412"
"1/2/2007 2:00:00 AM","0","0","-59.2364","90","0","0","24.1947","24.1947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.779555","24.39738","0","0","0","33.51711","85.94114","0.2284174","0","0","0","24.39738"
"1/2/2007 3:00:00 AM","0","0","-65.97112","90","0","0","23.35963","23.35963","1.9989","1.9989","0","0","0","1.9989","0","0","0.0000000000000004440892","0","2.104105","1.9989","0","0","5.779555","24.39738","0","2.104105","-2.104105","31.29919","80.25417","0.2284174","2.19879","0","0","24.39738"
