Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.6128769,0.6128769,0,0,0,0.6128769,0,0,1.110223E-16,0,0.6451336,0.6128769,0,0,0,10.62527,0,0.6451336,-0.6451336,13.32,95.14265,0,0.6741645,0,0,10.62527
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,1.127359,1.127359,0,0,0,1.127359,0,0,0,0,1.186694,1.127359,0,0,0.7168151,9.980141,0,1.186694,-1.186694,12.06911,86.20778,0,1.240095,0,0,9.980141
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,1.138748,1.138748,0,0,0,1.138748,0,0,0,0,1.198682,1.138748,0,0,2.035363,8.793447,0,1.198682,-1.198682,10.80559,77.18263,0,1.252623,0,0,8.793447
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,1.040314,1.040314,0,0,0,1.040314,0,0,0,0,1.095068,1.040314,0,0,3.367233,7.594765,0,1.095068,-1.095068,9.651288,68.93764,0,1.144346,0,0,7.594765
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.3506044,0.3506044,0,0,0,0.3506044,0,0,0,0,0.3690572,0.3506044,0,0,4.583974,6.499697,0,0.3690572,-0.3690572,9.262267,66.15892,0,0.3856648,0,0,6.499697
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75782,0.06572935,0.2949933,1.073958,1.073958,0,0,0,1.073958,27.46787,0,0,0.2949933,1.130482,1.073958,0,0,4.994038,6.13064,0,0.8354884,-0.8354884,8.381585,59.86835,0,1.181353,0.2359947,0,6.425633
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11859,0.1475045,0.6620001,1.100539,1.100539,0,0,0,1.100539,60.15235,0,2.220446E-16,0.6620001,1.158462,1.100539,0,0,5.922359,5.295152,0,0.496462,-0.496462,7.858268,56.13037,0,1.210593,0.5296,0,5.957151
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85869,0.2876508,1.290977,2.284693,2.284693,0,0,0,2.284693,56.50548,0,0,1.290977,2.40494,2.284693,0,0,6.473983,4.798689,0,1.113963,-1.113963,6.684048,47.74311,0,2.513162,1.032781,0,6.089666
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46853,0.0700992,0.3146052,0.6877114,0.6877114,0,0,0,0.6877114,45.74669,0,0,0.3146052,0.7239068,0.6877114,0,0,7.71172,3.684726,0,0.4093015,-0.4093015,6.252607,44.66139,0,0.7564825,0.2516842,0,3.999332
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19857,0.05671747,0.254548,2.767484,2.767484,0,0,0,2.767484,9.197812,0,4.440892E-16,0.254548,2.913141,2.767484,0,0,8.166499,3.275425,0,2.658593,-2.658593,3.450203,24.64426,0,3.044233,0.2036384,0,3.529973
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12832,0.308119,1.382838,2.40099,2.40099,4.702971,0,1.448911,2.40099,57.59449,0,0,1.382838,0,0,2.301981,2.186882,11.12049,0.6168316,3.56972,0,3.56972,6.836737,48.83374,0.2934127,2.641089,1.106271,5,1.99967
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.45613,0.2722346,1.221789,1.822894,1.822894,4.687366,0,1.444651,1.822894,67.02469,0,0,1.221789,0,0,2.864471,2.721248,7.550772,3.829579,3.943037,0,3.943037,10.57743,75.55292,0.2782027,2.005184,0.9774314,5,5.051369
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91192,0.1153119,0.5175199,1.107371,1.107371,4.360229,0,1.355343,1.107371,46.73412,0,0,0.5175199,0,0,3.252858,3.090215,3.607735,7.378313,3.607735,0,3.607735,14.00003,100,0.2727851,1.218108,0.4140159,5,7.895833
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98108,0.06534532,0.2932698,0,0,0,0,0,0,0,0.2932698,0,0.2932698,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.2727851,0,0.2346158,0,10.91854
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10392,0.1288548,0.5783004,1.480543,1.480543,0,0,0,1.480543,39.06002,0,0,0.5783004,1.558466,1.480543,0,0,0,10.62527,0,0.980166,-0.980166,12.96684,92.62012,0.2727851,1.628597,0.4626403,0,11.20357
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68382,0.0677819,0.3042051,0,0,0,0,0,0,0,0,0,0.3042051,0,0,0,0,1.089073,9.645108,0.3042051,0,0.3042051,13.25544,94.6815,0.2655217,0,0.2433641,0,9.949313
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,1.778417,1.778417,0,0,0,1.778417,0,0,2.220446E-16,0,1.872018,1.778417,0,0,0.7848682,9.918893,0,1.872018,-1.872018,11.28216,80.58667,0.2655217,1.956259,0,0,9.918893
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,2.45947,2.45947,0,0,0,2.45947,0,0,0,0,2.588916,2.45947,0,0,2.864888,8.046875,0,2.588916,-2.588916,8.5532,61.09416,0.2655217,2.705417,0,0,8.046875
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,3.43075,3.43075,5,0,1.53,3.43075,0,0,0,0,0,0,1.56925,1.490788,5.741461,5.457959,1.490788,0,1.490788,9.967484,71.19617,0.2717289,3.773825,0,5,5.457959
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,4.054959,4.054959,5,0,1.53,4.054959,0,0,0,0,0,0,0.9450413,0.8977892,4.250674,6.799668,0.8977892,0,0.8977892,10.8192,77.27986,0.2748207,4.460454,0,5,6.799668
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.04972222,0.04972222,3.554985,0,1.135511,0.04972222,0,0,0,0,0,0,3.505263,3.33,3.352885,7.607678,3.33,0,3.33,13.97832,99.84492,0.2622225,0.05469445,0,5,7.607678
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.2062356,0.2062356,0,0,0,0.2062356,0,0,2.775558E-17,0,0.2170901,0.2062356,0,0,0.02288444,10.60468,0,0.2170901,-0.2170901,13.74949,98.21041,0.2622225,0.2268591,0,0,10.60468
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,0.6307405,0.6307405,0,0,0,0.6307405,0,0,0,0,0.6639374,0.6307405,0,0,0.2640956,10.38759,0,0.6639374,-0.6639374,13.04963,93.21148,0.2622225,0.6938146,0,0,10.38759
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.260083,0.260083,0,0,0,0.260083,0,0,5.551115E-17,0,0.2737716,0.260083,0,0,1.001804,9.723651,0,0.2737716,-0.2737716,12.76105,91.15019,0.2622225,0.2860913,0,0,9.723651
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.305995,9.449879,0,0,0,12.76105,91.15019,0.2622225,0,0,0,9.449879
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,0.9170511,0.9170511,0,0,0,0.9170511,0,0,1.110223E-16,0,0.965317,0.9170511,0,0,1.305995,9.449879,0,0.965317,-0.965317,11.74352,83.88211,0.2622225,1.008756,0,0,9.449879
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.378569,8.484562,0,0,0,11.74352,83.88211,0.2622225,0,0,0,8.484562
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,0.1492305,0.1492305,0,0,0,0.1492305,0,0,2.775558E-17,0,0.1570848,0.1492305,0,0,2.378569,8.484562,0,0.1570848,-0.1570848,11.57794,82.69939,0.2622225,0.1641536,0,0,8.484562
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.553108,8.327477,0,0,0,11.57794,82.69939,0.2622225,0,0,0,8.327477
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85435,0.100424,0.4507029,0.7020212,0.7020212,0,0,0,0.7020212,64.20075,0,0,0.4507029,0.7389697,0.7020212,0,0,2.553108,8.327477,0,0.2882668,-0.2882668,11.27408,80.52896,0.2622225,0.7722234,0.3605623,0,8.77818
1/2/2007 8:00:00 AM,0.2576896,21.61751,-60.74889,64.20486,0.2779504,1.247441,0.4648084,0.4648084,0,0,0,0.4648084,268.3775,0,0,1.247441,0.489272,0.4648084,0,0,2.873404,8.03921,0.7581694,0,0.7581694,11.99334,85.66654,0.2511168,0.5112893,0.9979531,0,9.286652
1/2/2007 9:00:00 AM,0.4718998,34.13238,-54.14432,50.93041,0.5125239,2.300207,0.5480703,0.5480703,0,0,0,0.5480703,419.692,0,0,2.300207,0.5769161,0.5480703,0,0,2.115235,8.721563,1.723291,0,1.723291,13.6282,97.34408,0.2290656,0.6028773,1.840166,0,11.02177
1/2/2007 10:00:00 AM,0.7602223,45.34824,-43.62961,38.51652,0.8317798,3.733027,0,0,0,0,0,0,0,3.341084,0,3.733027,0,0,0,0,0.3919435,10.27252,0.3919435,0,0.3919435,14.00003,100,0.2245803,0,2.986422,0,14.00555
1/2/2007 11:00:00 AM,0.9687649,54.00035,-26.89878,28.20292,1.052089,4.721777,0,0,0,0,0,0,0,4.721777,0,4.721777,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.2245803,0,3.777422,0,15.34705
1/2/2007 12:00:00 PM,1.031318,57.92366,-3.10829,23.06229,1.116794,5.012169,1.487956,1.487956,0,0,0,1.487956,336.8494,3.4459,0,5.012169,1.566269,1.487956,0,0,0,10.62527,0,0,0,14.00003,100,0.2245803,1.636751,4.009736,0,15.63744
1/2/2007 1:00:00 PM,0.9423041,55.46115,21.77175,26.33896,1.021659,4.585204,2.703717,2.703717,0,0,0,2.703717,169.5889,1.739187,0,4.585204,2.846018,2.703717,0,0,0,10.62527,0,0,0,14.00003,100,0.2245803,2.974088,3.668163,0,15.21048
1/2/2007 2:00:00 PM,0.9231796,47.717,40.28822,35.78432,1.009363,4.530021,2.612865,2.612865,0,0,0,2.612865,173.3737,1.779637,0,4.530021,2.750384,2.612865,0,0,0,10.62527,0,0,0,14.00003,100,0.2245803,2.874151,3.624017,0,15.1553
1/2/2007 3:00:00 PM,0.6474482,36.96494,52.06245,47.85676,0.718266,3.223578,0.6927348,0.6927348,0,0,0,0.6927348,465.3409,2.494383,0,3.223578,0.7291945,0.6927348,0,0,0,10.62527,0,0,0,14.00003,100,0.2245803,0.7620082,2.578862,0,13.84885
1/2/2007 4:00:00 PM,0.2630356,24.6874,59.43145,60.9856,0.2758419,1.237978,1.614736,1.614736,0,0,0,1.614736,76.66753,0,0,1.237978,1.699722,1.614736,0,0,0,10.62527,0,0.461744,-0.461744,13.51331,96.52343,0.2245803,1.77621,0.9903826,0,11.86325
1/2/2007 5:00:00 PM,0.168327,11.61707,64.10592,74.57209,0.2057889,0.9235804,2.269842,2.269842,0,0,0,2.269842,40.68919,0,0,0.9235804,2.389307,2.269842,0,0,0.5130489,10.16353,0,1.465727,-1.465727,11.9683,85.48765,0.2245803,2.496826,0.7388644,0,11.08711
1/2/2007 6:00:00 PM,0.01077664,0,66.99503,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.141634,8.697803,0,0,0,11.9683,85.48765,0.2245803,0,0,0,8.697803
1/2/2007 7:00:00 PM,0,0,68.49145,90,0,0,0.6967595,0.6967595,0,0,0,0.6967595,0,0,0,0,0.733431,0.6967595,0,0,2.141634,8.697803,0,0.733431,-0.733431,11.19519,79.96549,0.2245803,0.7664354,0,0,8.697803
1/2/2007 8:00:00 PM,0,0,68.59808,90,0,0,1.834771,1.834771,0,0,0,1.834771,0,0,2.220446E-16,0,1.931337,1.834771,0,0,2.956558,7.964372,0,1.931337,-1.931337,9.159383,65.42403,0.2245803,2.018248,0,0,7.964372
1/2/2007 9:00:00 PM,0,0,66.81534,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.102489,6.033035,0,0,0,9.159383,65.42403,0.2245803,0,0,0,6.033035
1/2/2007 10:00:00 PM,0,0,61.48289,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.102489,6.033035,0,0,0,9.159383,65.42403,0.2245803,0,0,0,6.033035
1/2/2007 11:00:00 PM,0,0,46.99853,90,0,0,0.53688,0.53688,0,0,0,0.53688,0,0,0,0,0.5651368,0.53688,0,0,5.102489,6.033035,0,0.5651368,-0.5651368,8.563676,61.16899,0.2245803,0.5905679,0,0,6.033035
1/3/2007 12:00:00 AM,0,0,7.251837,90,0,0,0.654868,0.654868,0,0,0,0.654868,0,0,1.110223E-16,0,0.6893348,0.654868,0,0,5.730418,5.467898,0,0.6893348,-0.6893348,7.837053,55.97884,0.2245803,0.7203548,0,0,5.467898
1/3/2007 1:00:00 AM,0,0,-40.51197,90,0,0,0.06984635,0.06984635,0,0,0,0.06984635,0,0,0,0,0.07352248,0.06984635,0,0,6.496346,4.778563,0,0.07352248,-0.07352248,7.759554,55.42527,0.2245803,0.07683098,0,0,4.778563
1/3/2007 2:00:00 AM,0,0,-59.30554,90,0,0,0.1736622,0.1736622,0,0,0,0.1736622,0,0,2.775558E-17,0,0.1828023,0.1736622,0,0,6.578037,4.70504,0,0.1828023,-0.1828023,7.566864,54.04892,0.2245803,0.1910284,0,0,4.70504
1/3/2007 3:00:00 AM,0,0,-66.05676,90,0,0,0.9454209,0.9454209,0,0,0,0.9454209,0,0,1.110223E-16,0,0.9951798,0.9454209,0,0,6.781151,4.522238,0,0.9951798,-0.9951798,6.517852,46.55599,0.2245803,1.039963,0,0,4.522238
1/3/2007 4:00:00 AM,0,0,-68.46574,90,0,0,0.6551055,0.6551055,0,0,0,0.6551055,0,0,0,0,0.6895847,0.6551055,0,0,7.886906,3.527059,0,0.6895847,-0.6895847,5.790966,41.36396,0.2245803,0.720616,0,0,3.527059
1/3/2007 5:00:00 AM,0,0,-68.74113,90,0,0,0.9923571,0.9923571,0,0,0,0.9923571,0,0,1.110223E-16,0,1.044586,0.9923571,0,0,8.653111,2.837474,0,1.044586,-1.044586,4.689875,33.49904,0.2245803,1.091593,0,0,2.837474
1/3/2007 6:00:00 AM,0.001416367,0,-67.56737,90,0,0,0.3843282,0.3843282,0,0,0,0.3843282,0,0,5.551115E-17,0,0.4045559,0.3843282,0,0,9.813763,1.792887,0,0.4045559,-0.4045559,4.263435,30.45305,0.2245803,0.422761,0,0,1.792887
1/3/2007 7:00:00 AM,0.154613,8.338984,-65.04131,77.94952,0.2181808,0.9791952,0,0,0,0,0,0,0,0,0,0.9791952,0,0,0,0,10.26327,1.388331,0.9791952,0,0.9791952,5.192381,37.08837,0.2141065,0,0.7833562,0,2.367527
1/3/2007 8:00:00 AM,0.3864299,21.54955,-60.86939,64.28908,0.4516696,2.027093,1.494185,1.494185,0,0,0,1.494185,135.6655,0,0,2.027093,1.572826,1.494185,0,0,9.284075,2.269607,0.4542673,0,0.4542673,5.623337,40.16661,0.2095722,1.643603,1.621675,0,4.2967
1/3/2007 9:00:00 AM,0.5964742,34.08275,-54.2908,50.99925,0.66541,2.98636,1.997114,1.997114,0,0,0,1.997114,149.5338,0,0,2.98636,2.102225,1.997114,0,0,8.829807,2.678448,0.8841347,0,0.8841347,6.462101,46.15777,0.2012759,2.196825,2.389088,0,5.664808
1/3/2007 10:00:00 AM,0.868866,45.32633,-43.81342,38.56059,0.9523236,4.274028,1.339189,1.339189,0,0,0,1.339189,319.1504,0,0,4.274028,1.409673,1.339189,0,0,7.945673,3.474169,2.864355,0,2.864355,9.179467,65.56749,0.1783967,1.473108,3.419223,0,7.748198
1/3/2007 11:00:00 AM,1.045182,54.02103,-27.119,28.202,1.135717,5.097099,3.823094,3.823094,3.808102,0,1.204612,3.823094,133.3239,0,0,5.097099,0.01578149,0.01499242,0,0,5.081317,6.052089,5.081317,0,5.081317,14.00003,100,0.1740858,4.205403,4.077679,5,11.14919
1/3/2007 12:00:00 PM,1.103408,57.99842,-3.311169,22.98996,1.195367,5.364808,0.8189343,0.8189343,0,0,0,0.8189343,655.0963,4.502772,0,5.364808,0.8620361,0.8189343,0,0,0,10.62527,0,0,0,14.00003,100,0.1740858,0.9008277,4.291846,0,15.99008
1/3/2007 1:00:00 PM,1.07279,55.57644,21.66171,26.2165,1.164307,5.225409,1.344755,1.344755,0,0,0,1.344755,388.577,3.809878,0,5.225409,1.415532,1.344755,0,0,0,10.62527,0,0,0,14.00003,100,0.1740858,1.479231,4.180327,0,15.85068
1/3/2007 2:00:00 PM,0.9414855,47.84681,40.26152,35.65337,1.029178,4.618952,0.8505796,0.8505796,0,0,0,0.8505796,543.0359,3.723605,0,4.618952,0.8953469,0.8505796,0,0,0,10.62527,0,0,0,14.00003,100,0.1740858,0.9356375,3.695162,0,15.24423
1/3/2007 3:00:00 PM,0.6946991,37.09526,52.07967,47.73057,0.7711912,3.461106,2.354713,2.354713,0,0,0,2.354713,146.9863,0.9824605,0,3.461106,2.478646,2.354713,0,0,0,10.62527,0,0,0,14.00003,100,0.1740858,2.590185,2.768885,0,14.08638
1/3/2007 4:00:00 PM,0.4499265,24.81354,59.47055,60.86646,0.5176767,2.323333,1.995046,1.995046,0,0,0,1.995046,116.4551,0.2232839,0,2.323333,2.100049,1.995046,0,0,0,10.62527,0,0,0,14.00003,100,0.1740858,2.194551,1.858666,0,12.94861
1/3/2007 5:00:00 PM,0.1871784,11.73763,64.15836,74.46036,0.2357385,1.057995,4.781613,4.781613,3.776518,0,1.195989,4.781613,22.12631,0,0,1.057995,1.057995,1.005095,0,0,0,10.62527,0,0,0,14.00003,100,0.1740858,5.259774,0.8463957,5,11.68327
1/3/2007 6:00:00 PM,0.01226666,0,67.05901,90,0,0,2.758017,2.758017,0,0,0,2.758017,0,0,0,0,2.903176,2.758017,0,0,0,10.62527,0,2.903176,-2.903176,10.93981,78.14136,0.1740858,3.033819,0,0,10.62527
1/3/2007 7:00:00 PM,0,0,68.5692,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225751,7.722098,0,0,0,10.93981,78.14136,0.1740858,0,0,0,7.722098
1/3/2007 8:00:00 PM,0,0,68.69611,90,0,0,2.708405,2.708405,0,0,0,2.708405,0,0,4.440892E-16,0,2.850952,2.708405,0,0,3.225751,7.722098,0,2.850952,-2.850952,7.934645,56.67592,0.1740858,2.979245,0,0,7.722098
1/3/2007 9:00:00 PM,0,0,66.94791,90,0,0,2.987176,2.987176,0,0,0,2.987176,0,0,4.440892E-16,0,3.144396,2.987176,0,0,6.393476,4.871146,0,3.144396,-3.144396,4.62016,33.00108,0.1740858,3.285894,0,0,4.871146
1/3/2007 10:00:00 PM,0,0,61.68317,90,0,0,1.058242,1.058242,0,0,0,1.058242,0,0,2.220446E-16,0,1.113939,1.058242,0,0,9.887249,1.72675,0,1.113939,-1.113939,3.445965,24.61399,0.1740858,1.164066,0,0,1.72675
1/3/2007 11:00:00 PM,0,0,47.34851,90,0,0,0.6892506,0.6892506,4.194514,0,1.310102,0.6892506,0,0,0,0,0,0,3.505263,3.33,11.12496,0.612811,3.33,0,3.33,6.605081,47.17905,0.1834123,0.7581757,0,5,0.612811
1/4/2007 12:00:00 AM,0,0,7.720277,90,0,0,0.2544374,0.2544374,3.759701,0,1.191398,0.2544374,0,0,0,0,0,0,3.505263,3.33,7.794959,3.609811,3.33,0,3.33,9.764195,69.74412,0.1874869,0.2798811,0,5,3.609811
1/4/2007 1:00:00 AM,0,0,-40.47429,90,0,0,0.9488026,0.9488026,4.454066,0,1.38096,0.9488026,0,4.440892E-16,0,0,0,0,3.505263,3.33,4.464959,6.606811,3.33,0,3.33,12.92331,92.30918,0.1961178,1.043683,0,5,6.606811
1/4/2007 2:00:00 AM,0,0,-59.3882,90,0,0,0.8203034,0.8203034,0,0,0,0.8203034,0,0,1.110223E-16,0,0.8634773,0.8203034,0,0,1.134959,9.603811,0,0.8634773,-0.8634773,12.01313,85.80788,0.1961178,0.9023338,0,0,9.603811
1/4/2007 3:00:00 AM,0,0,-66.15261,90,0,0,0.1685509,0.1685509,0,0,0,0.1685509,0,0,0,0,0.177422,0.1685509,0,0,2.094378,8.740334,0,0.177422,-0.177422,11.82611,84.47202,0.1961178,0.185406,0,0,8.740334
1/4/2007 4:00:00 AM,0,0,-68.56158,90,0,0,0.006205801,0.006205801,0,0,0,0.006205801,0,0,8.673617E-19,0,0.006532423,0.006205801,0,0,2.291514,8.562912,0,0.006532423,-0.006532423,11.81922,84.42284,0.1961178,0.006826382,0,0,8.562912
1/4/2007 5:00:00 AM,0,0,-68.83775,90,0,0,0.3840396,0.3840396,0,0,0,0.3840396,0,0,5.551115E-17,0,0.4042522,0.3840396,0,0,2.298772,8.556379,0,0.4042522,-0.4042522,11.3931,81.37914,0.1961178,0.4224435,0,0,8.556379
1/4/2007 6:00:00 AM,0.001396567,0,-67.66837,90,0,0,0.6512398,0.6512398,0,0,0,0.6512398,0,0,1.110223E-16,0,0.6855155,0.6512398,0,0,2.747941,8.152127,0,0.6855155,-0.6855155,10.67051,76.21774,0.1961178,0.7163637,0,0,8.152127
1/4/2007 7:00:00 AM,0.0564668,8.260301,-65.15175,78.04327,0.0574417,0.2577983,0,0,0,0,0,0,0,0,0,0.2577983,0,0,0,0,3.509625,7.466611,0.2577983,0,0.2577983,10.91507,77.96466,0.1948703,0,0.2062387,0,7.72441
1/4/2007 8:00:00 AM,0.2004859,21.48465,-60.99622,64.37119,0.2067318,0.9278123,0.03413263,0.03413263,0,0,0,0.03413263,2718.257,0,0,0.9278123,0.03592908,0.03413263,0,0,3.251827,7.69863,0.8918833,0,0.8918833,11.76119,84.00832,0.1906742,0.03754589,0.7422499,0,8.626443
1/4/2007 9:00:00 AM,0.4016865,34.03698,-54.44366,51.06519,0.4245787,1.905509,0,0,0,0,0,0,0,0,0,1.905509,0,0,0,0,2.359943,8.501325,1.905509,0,1.905509,13.56891,96.92062,0.182288,0,1.524408,0,10.40683
1/4/2007 10:00:00 AM,0.3202593,45.30926,-44.00337,38.60072,0.3216372,1.443508,4.418522,4.418522,3.478902,0,1.11474,4.418522,32.66947,5.551115E-17,0,1.443508,0.9890736,0.9396199,0,0,0.4544341,10.21628,0.4544341,0,0.4544341,14.00003,100,0.1833871,4.860374,1.154806,5,11.65979
1/4/2007 11:00:00 AM,0.1218587,54.04757,-27.34379,28.19584,0.1213832,0.5447679,1.902568,1.902568,0,0,0,1.902568,28.6333,0,0,0.5447679,2.002703,1.902568,0,0,0,10.62527,0,1.457935,-1.457935,12.46323,89.0229,0.1833871,2.092824,0.4358144,0,11.17004
1/4/2007 12:00:00 PM,0.319373,58.07962,-3.51411,22.91136,0.3190297,1.431805,0.4958278,0.4958278,0,0,0,0.4958278,288.7707,0,0,1.431805,0.521924,0.4958278,0,0,1.619927,9.167339,0.9098815,0,0.9098815,13.32642,95.18852,0.1796533,0.5454106,1.145444,0,10.59914
1/4/2007 1:00:00 PM,0.5423717,55.69747,21.55712,26.08877,0.5583194,2.505738,1.560889,1.560889,0,0,0,1.560889,160.5327,0.1526502,0,2.505738,1.643042,1.560889,0,0,0.7100459,9.986233,0.7100459,0,0.7100459,14.00003,100,0.1768435,1.716978,2.00459,0,12.49197
1/4/2007 2:00:00 PM,0.1238305,47.98087,40.24257,35.51914,0.1233725,0.5536957,2.110618,2.110618,0,0,0,2.110618,26.23383,0,4.440892E-16,0.5536957,2.221703,2.110618,0,0,0,10.62527,0,1.668007,-1.668007,12.24179,87.44122,0.1768435,2.321679,0.4429566,0,11.17897
1/4/2007 3:00:00 PM,0.1481758,37.22844,52.10466,47.60261,0.1477778,0.6632267,0.6500745,0.6500745,0,0,0,0.6500745,102.0232,0,0,0.6632267,0.6842889,0.6500745,0,0,1.853341,8.957267,0,0.0210622,-0.0210622,12.21959,87.28263,0.1768435,0.7150819,0.5305814,0,9.620494
1/4/2007 4:00:00 PM,0.09439445,24.94146,59.51693,60.74661,0.09418964,0.4227231,0,0,0,0,0,0,0,0,0,0.4227231,0,0,0,0,1.876744,8.936205,0.4227231,0,0.4227231,12.62062,90.14713,0.1752121,0,0.3381785,0,9.358928
1/4/2007 5:00:00 PM,0.05515802,11.85911,64.21771,74.34872,0.05524664,0.2479469,0.5902399,0.5902399,0,0,0,0.5902399,42.00782,0,0,0.2479469,0.6213051,0.5902399,0,0,1.45402,9.316656,0,0.3733582,-0.3733582,12.22707,87.33603,0.1752121,0.6492639,0.1983575,0,9.564603
1/4/2007 6:00:00 PM,0.01462315,0,67.12976,90,0,0,3.518986,3.518986,5,0,1.53,3.518986,0,0,0,0,0,0,1.481014,1.406963,1.868863,8.943297,1.406963,0,1.406963,13.56183,96.87003,0.1795044,3.870885,0,5,8.943297
1/4/2007 7:00:00 PM,0,0,68.65388,90,0,0,2.168845,2.168845,0,0,0,2.168845,0,0,4.440892E-16,0,2.282995,2.168845,0,0,0.4618998,10.20956,0,2.282995,-2.282995,11.15534,79.68086,0.1795044,2.38573,0,0,10.20956
1/4/2007 8:00:00 PM,0,0,68.80161,90,0,0,0.5133737,0.5133737,0,0,0,0.5133737,0,0,0,0,0.5403934,0.5133737,0,0,2.998561,7.926569,0,0.5403934,-0.5403934,10.58572,75.61212,0.1795044,0.564711,0,0,7.926569
