Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,1.079831,1.079831,0,-1,0,1.079831,0,0,0,0,0,1.136664,1.079831,0,0,0,10.62527,0,1.136664,-1.136664,12.80188,91.44181,0,1.187814,0,0,10.62527
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,1.986299,1.986299,0,-1,0,1.986299,0,0,0,0,0,2.090841,1.986299,0,0,1.26296,9.48861,0,2.090841,-2.090841,10.59794,75.69942,0,2.184929,0,0,9.48861
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,2.006366,2.006366,0,-1,0,2.006366,0,0,0,0,0,2.111964,2.006366,0,0,3.586117,7.397769,0,2.111964,-2.111964,8.371734,59.79798,0,2.207003,0,0,7.397769
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,1.832934,1.832934,0,0,0,1.832934,0,0,2.220446E-16,0,0,1.929405,1.832934,0,0,5.932744,5.285805,0,1.929405,-1.929405,6.337962,45.27107,0,2.016228,0,0,5.285805
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.6177315,0.6177315,0,0,0,0.6177315,0,0,0,0,0,0.6502437,0.6177315,0,0,8.076527,3.3564,0,0.6502437,-0.6502437,5.652545,40.37524,0,0.6795047,0,0,3.3564
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75782,0.06572935,0.2949933,1.892211,1.892211,0,0,0,1.892211,15.58987,0,2.220446E-16,0,0.2949933,1.991801,1.892211,0,0,8.79902,2.706157,0,1.696808,-1.696808,3.863953,27.59961,0,2.081432,0.2359947,0,3.00115
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11859,0.1475045,0.6620001,1.939045,1.939045,1.25,0,0.50625,1.939045,34.14052,1.110223E-16,0,0,0.6620001,0.7253104,0.6890449,0,0,10.68436,1.009349,0,0.06331034,-0.06331034,3.797218,27.12293,0,2.132949,0.5296,5,1.671349
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85869,0.2876508,1.290977,4.025411,2.125164,0,-1,0,2.125164,60.74714,0,1.900247,3.28393,1.290977,2.237015,2.125164,0,0,10.75471,0.9460385,0,0.9460385,-0.9460385,2.800006,20,0,4.427952,1.032781,0,2.237015
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46853,0.0700992,0.3146052,1.211682,1.211682,4.716945,0,1.452726,1.211682,25.96434,0,0,0,0.3146052,0,0,3.505263,3.33,11.80586,0,3.644605,0,3.644605,6.257582,44.69692,0.288547,1.33285,0.2516842,5,0.3146052
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19857,0.05671747,0.254548,4.876044,4.876044,5,0,1.53,4.876044,5.22038,0,0,0,0.254548,0,0,0.1239562,0.1177584,8.161255,3.280145,0.3723064,0,0.3723064,6.610783,47.21978,0.2894244,5.363648,0.2036384,5,3.534693
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12832,0.308119,1.382838,4.230316,4.230316,5,0,1.53,4.230316,32.68876,0,0,0,1.382838,0,0,0.7696837,0.7311994,7.788949,3.615221,2.114038,0,2.114038,8.616335,61.54512,0.2927036,4.653348,1.106271,5,4.998059
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.45613,0.2722346,1.221789,3.211766,3.211766,5,0,1.53,3.211766,38.04104,0,0,0,1.221789,0,0,1.788234,1.698822,5.674911,5.517854,2.920611,0,2.920611,11.38707,81.33605,0.2970825,3.532943,0.9774314,5,6.739644
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91192,0.1153119,0.5175199,1.951082,1.951082,0,-1,0,1.951082,26.52477,0,4.440892E-16,0,0.5175199,2.05377,1.951082,0,0,2.7543,8.146404,0,1.53625,-1.53625,9.76772,69.76929,0.2970825,2.14619,0.4140159,0,8.663924
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98108,0.06534532,0.2932698,0,0,0,-1,0,0,0,0,0,0,0.2932698,0,0,0,0,4.461245,6.610154,0.2932698,0,0.2932698,10.04594,71.75657,0.2877592,0,0.2346158,0,6.903424
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10392,0.1288548,0.5783004,2.608576,2.608576,0,-1,0,2.608576,22.1692,0,0,0,0.5783004,2.745869,2.608576,0,0,4.167974,6.874097,0,2.167569,-2.167569,7.761122,55.43647,0.2877592,2.869433,0.4626403,0,7.452397
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68382,0.0677819,0.3042051,0,0,0,-1,0,0,0,0,0,0,0.3042051,0,0,0,0,6.576385,4.706528,0.3042051,0,0.3042051,8.049716,57.49786,0.278687,0,0.2433641,0,5.010734
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,3.133402,3.133402,0,-1,0,3.133402,0,0,0,0.1167421,0,3.298318,3.133402,0,0,6.272179,4.980313,0,3.298318,-3.298318,4.572984,32.66411,0.278687,3.446742,0,0,4.980313
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,4.333352,1.597895,0,-1,0,1.597895,0,0,2.735456,3.168792,0,1.681995,1.597895,0,0,9.936976,1.681995,0,1.681995,-1.681995,2.800006,20,0.278687,4.766687,0,0,1.681995
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,6.044654,0,0,-1,0,0,0,0,6.044654,6.649119,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,6.649119,0,0,0
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,7.144451,0,0,-1,0,0,0,0,7.144451,7.858896,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,7.858896,0,0,0
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,0.08760583,0,0,-1,0,0,0,0,0.08760583,0.09636641,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,0.09636641,0,0,0
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,0.3633674,0,0,-1,0,0,0,0,0.3633674,0.3997042,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,0.3997042,0,0,0
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,1.111305,0,0,-1,0,0,0,0,1.111305,1.222435,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,1.222435,0,0,0
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,0.4582415,0,0,-1,0,0,0,0,0.4582415,0.5040656,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,0.5040656,0,0,0
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,0,0,0,0
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,1.615757,0,0,-1,0,0,0,0,1.615757,1.777332,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,1.777332,0,0,0
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.278687,0,0,0,0
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,0.26293,0.26293,3.768193,0,1.193717,0.26293,0,0,0,0,0,0,0,3.505263,3.33,11.80586,0,3.33,0,3.33,5.959121,42.56506,0.2660377,0.289223,0,5,0
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,0,0,3.505263,0,1.121937,0,0,0,0,0,0,0,0,3.505263,3.33,8.475861,2.997,3.33,0,3.33,9.118237,65.13013,0.2536636,0,0,5,2.997
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85435,0.100424,0.4507029,1.236894,1.236894,4.742157,0,1.459609,1.236894,36.43826,0,0,0,0.4507029,0,0,3.505263,3.33,5.14586,5.994,3.780703,0,3.780703,12.70493,90.74929,0.2586543,1.360584,0.3605623,5,6.444703
1/2/2007 8:00:00 AM,0.2576896,21.61751,-60.74889,64.20486,0.2779504,1.247441,0.8189482,0.8189482,0,0,0,0.8189482,152.3224,0,0,0,1.247441,0.8620507,0.8189482,0,0,1.365157,9.396632,0.3853907,0,0.3853907,13.07054,93.36081,0.2537858,0.900843,0.9979531,0,10.64407
1/2/2007 9:00:00 AM,0.4718998,34.13238,-54.14432,50.93041,0.5125239,2.300207,0.9656476,0.9656476,0,-1,0,0.9656476,238.2036,0.3039694,0,0,2.300207,1.016471,0.9656476,0,0,0.9797667,9.743484,0.9797667,0,0.9797667,14.00003,100,0.2421963,1.062212,1.840166,0,12.04369
1/2/2007 10:00:00 AM,0.7602223,45.34824,-43.62961,38.51652,0.8317798,3.733027,0,0,0,0,0,0,0,3.733027,0,0,3.733027,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.2421963,0,2.986422,0,14.3583
1/2/2007 11:00:00 AM,0.9687649,54.00035,-26.89878,28.20292,1.052089,4.721777,0,0,0,0,0,0,0,4.721777,0,0,4.721777,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.2421963,0,3.777422,0,15.34705
1/2/2007 12:00:00 PM,1.031318,57.92366,-3.10829,23.06229,1.116794,5.012169,2.621636,2.621636,0,0,0,2.621636,191.1848,2.252553,0,0,5.012169,2.759617,2.621636,0,0,0,10.62527,0,0,0,14.00003,100,0.2421963,2.8838,4.009736,0,15.63744
1/2/2007 1:00:00 PM,0.9423041,55.46115,21.77175,26.33896,1.021659,4.585204,4.763691,4.763691,1.433691,0,0.5563977,4.763691,96.25317,1.079941,0,0,4.585204,3.505263,3.33,0,0,0,10.62527,0,0,0,14.00003,100,0.2421963,5.24006,3.668163,5,15.21048
1/2/2007 2:00:00 PM,0.9231796,47.717,40.28822,35.78432,1.009363,4.530021,4.603619,3.33,0,-1,0,3.33,136.0367,1.024758,1.273619,1.733981,4.530021,3.505263,3.33,0,0,0,10.62527,0,0,0,14.00003,100,0.2421963,5.063981,3.624017,0,15.1553
1/2/2007 3:00:00 PM,0.6474482,36.96494,52.06245,47.85676,0.718266,3.223578,1.220533,1.220533,0,-1,0,1.220533,264.1124,1.938807,0,0,3.223578,1.284771,1.220533,0,0,0,10.62527,0,0,0,14.00003,100,0.2421963,1.342586,2.578862,0,13.84885
1/2/2007 4:00:00 PM,0.2630356,24.6874,59.43145,60.9856,0.2758419,1.237978,2.845011,2.845011,0,-1,0,2.845011,43.514,0,4.440892E-16,0,1.237978,2.994749,2.845011,0,0,0,10.62527,0,1.75677,-1.75677,12.14823,86.7729,0.2421963,3.129512,0.9903826,0,11.86325
1/2/2007 5:00:00 PM,0.168327,11.61707,64.10592,74.57209,0.2057889,0.9235804,3.999246,3.33,0,-1,0,3.33,27.73515,0,0.6692457,1.06917,0.9235804,3.505263,3.33,0,0,1.951967,8.868504,0,2.581683,-2.581683,9.426897,67.33485,0.2421963,4.39917,0.7388644,0,9.792084
1/2/2007 6:00:00 PM,0.01077664,0,66.99503,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,4.820504,6.286821,0,0,0,9.426897,67.33485,0.2421963,0,0,0,6.286821
1/2/2007 7:00:00 PM,0,0,68.49145,90,0,0,1.227624,1.227624,0,-1,0,1.227624,0,0,2.220446E-16,0,0,1.292236,1.227624,0,0,4.820504,6.286821,0,1.292236,-1.292236,8.064761,57.60532,0.2421963,1.350386,0,0,6.286821
1/2/2007 8:00:00 PM,0,0,68.59808,90,0,0,3.232691,3.232691,0,-1,0,3.232691,0,0,4.440892E-16,0.22596,0,3.402833,3.232691,0,0,6.256321,4.994586,0,3.402833,-3.402833,4.47786,31.98465,0.2421963,3.55596,0,0,4.994586
1/2/2007 9:00:00 PM,0,0,66.81534,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,10.03725,1.591753,0,0,0,4.47786,31.98465,0.2421963,0,0,0,1.591753
1/2/2007 10:00:00 PM,0,0,61.48289,90,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,10.03725,1.591753,0,0,0,4.47786,31.98465,0.2421963,0,0,0,1.591753
1/2/2007 11:00:00 PM,0,0,46.99853,90,0,0,0.9459314,0.9459314,0,-1,0,0.9459314,0,0,0,0,0,0.9957172,0.9459314,0,0,10.03725,1.591753,0,0.9957172,-0.9957172,3.428282,24.48768,0.2421963,1.040524,0,0,1.591753
1/3/2007 12:00:00 AM,0,0,7.251837,90,0,0,1.153815,0.5662338,0,-1,0,0.5662338,0,0,0.5875812,0.7029628,0,0.5960356,0.5662338,0,0,11.1436,0.5960356,0,0.5960356,-0.5960356,2.800006,20,0.2421963,1.269197,0,0,0.5960356
1/3/2007 1:00:00 AM,0,0,-40.51197,90,0,0,0.1230626,0,0,-1,0,0,0,0,0.1230626,0.1353689,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.2421963,0.1353689,0,0,0
1/3/2007 2:00:00 AM,0,0,-59.30554,90,0,0,0.3059763,0,0,-1,0,0,0,0,0.3059763,0.3365739,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.2421963,0.3365739,0,0,0
1/3/2007 3:00:00 AM,0,0,-66.05676,90,0,0,1.665742,0,0,-1,0,0,0,0,1.665742,1.832316,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.2421963,1.832316,0,0,0
1/3/2007 4:00:00 AM,0,0,-68.46574,90,0,0,1.154233,0,0,-1,0,0,0,0,1.154233,1.269657,0,0,0,0,0,11.80586,0,0,0,0,2.800006,20,0.2421963,1.269657,0,0,0
1/3/2007 5:00:00 AM,0,0,-68.74113,90,0,0,1.748439,1.748439,5,0,1.53,1.748439,0,0,0,0,0,0,0,3.251561,3.088983,11.80586,0,3.088983,0,3.088983,5.730473,40.93187,0.2519,1.923283,0,5,0
1/3/2007 6:00:00 AM,0.001416367,0,-67.56737,90,0,0,0.6771496,0.6771496,4.182413,0,1.306799,0.6771496,0,4.440892E-16,0,0,0,0,0,3.505263,3.33,8.716877,2.780085,3.33,0,3.33,8.889587,63.49693,0.2537179,0.7448646,0,5,2.780085
1/3/2007 7:00:00 AM,0.154613,8.338984,-65.04131,77.94952,0.2181808,0.9791952,0,0,3.505263,0,1.121937,0,0,0,0,0,0.9791952,0,0,3.505263,3.33,5.386877,5.777085,4.309195,0,4.309195,12.97765,92.69731,0.2410024,0,0.7833562,5,6.75628
1/3/2007 8:00:00 AM,0.3864299,21.54955,-60.86939,64.28908,0.4516696,2.027093,2.632611,2.632611,0,0,0,2.632611,76.99934,0,0,0,2.027093,2.771169,2.632611,0,0,1.077682,9.65536,0,0.7440763,-0.7440763,12.19332,87.095,0.2410024,2.895872,1.621675,0,11.68245
1/3/2007 9:00:00 AM,0.5964742,34.08275,-54.2908,50.99925,0.66541,2.98636,3.518725,3.33,0,-1,0,3.33,89.68047,4.440892E-16,0.1887246,0.540597,2.98636,3.505263,3.33,0,0,1.904433,8.911284,0,0.5189033,-0.5189033,11.64635,83.18806,0.2410024,3.870597,2.389088,0,11.89764
1/3/2007 10:00:00 AM,0.868866,45.32633,-43.81342,38.56059,0.9523236,4.274028,2.359524,2.359524,0,0,0,2.359524,181.1394,0,0,0,4.274028,2.48371,2.359524,0,0,2.480992,8.392381,1.790319,0,1.790319,13.3448,95.31979,0.2283022,2.595477,3.419223,0,12.66641
1/3/2007 11:00:00 AM,1.045182,54.02103,-27.119,28.202,1.135717,5.097099,6.735928,6.735928,3.405928,0,1.094818,6.735928,75.67033,0.901162,0,0,5.097099,3.505263,3.33,0,0,0.6906735,10.00367,0.6906735,0,0.6906735,14.00003,100,0.2237533,7.409521,4.077679,5,15.10077
1/3/2007 12:00:00 PM,1.103408,57.99842,-3.311169,22.98996,1.195367,5.364808,1.442884,1.442884,0,0,0,1.442884,371.8114,3.845982,0,0,5.364808,1.518826,1.442884,0,0,0,10.62527,0,0,0,14.00003,100,0.2237533,1.587173,4.291846,0,15.99008
1/3/2007 1:00:00 PM,1.07279,55.57644,21.66171,26.2165,1.164307,5.225409,2.36933,2.36933,0,0,0,2.36933,220.5437,2.731377,0,0,5.225409,2.494032,2.36933,0,0,0,10.62527,0,0,0,14.00003,100,0.2237533,2.606263,4.180327,0,15.85068
1/3/2007 2:00:00 PM,0.9414855,47.84681,40.26152,35.65337,1.029178,4.618952,1.49864,1.49864,0,-1,0,1.49864,308.2096,3.041436,0,0,4.618952,1.577516,1.49864,0,0,0,10.62527,0,0,0,14.00003,100,0.2237533,1.648504,3.695162,0,15.24423
1/3/2007 3:00:00 PM,0.6946991,37.09526,52.07967,47.73057,0.7711912,3.461106,4.148781,3.33,0,-1,0,3.33,103.9371,0,0.818781,1.233659,3.461106,3.505263,3.33,0,0,0,10.62527,0,0.04415685,-0.04415685,13.95348,99.66753,0.2237533,4.563659,2.768885,0,14.08638
1/3/2007 4:00:00 PM,0.4499265,24.81354,59.47055,60.86646,0.5176767,2.323333,3.515082,3.33,0,-1,0,3.33,69.76975,0,0.1850817,0.5365899,2.323333,3.505263,3.33,0,0,0.04906317,10.58112,0,1.18193,-1.18193,12.70762,90.76852,0.2237533,3.86659,1.858666,0,12.90445
1/3/2007 5:00:00 PM,0.1871784,11.73763,64.15836,74.46036,0.2357385,1.057995,8.424747,3.33,0,-1,0,3.33,31.77161,0,5.094747,5.937221,1.057995,3.505263,3.33,0,0,1.362319,9.399187,0,2.447268,-2.447268,10.12797,72.34251,0.2237533,9.267221,0.8463957,0,10.45718
1/3/2007 6:00:00 PM,0.01226666,0,67.05901,90,0,0,4.859364,3.33,0,-1,0,3.33,0,0,1.529364,2.0153,0,3.505263,3.33,0,0,4.081507,6.951918,0,3.505263,-3.505263,6.433099,45.95061,0.2237533,5.3453,0,0,6.951918
