Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,0.7004307,0.7004307,0,0,0,0.7004307,0,0,0,0,0,0.7372954,0.7004307,0,0,0,10.62527,0,0.7372954,-0.7372954,13.22285,94.44875,0,0.7704738,0,0,10.62527
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,1.28841,1.28841,0,0,0,1.28841,0,0,2.220446E-16,0,0,1.356221,1.28841,0,0,0.8192172,9.887979,0,1.356221,-1.356221,11.79327,84.23746,0,1.417251,0,0,9.887979
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,1.301427,1.301427,0,0,0,1.301427,0,0,0,0,0,1.369923,1.301427,0,0,2.32613,8.531757,0,1.369923,-1.369923,10.34924,73.92301,0,1.431569,0,0,8.531757
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,1.18893,1.18893,0,0,0,1.18893,0,0,0,0,0,1.251506,1.18893,0,0,3.848266,7.161835,0,1.251506,-1.251506,9.03004,64.50015,0,1.307824,0,0,7.161835
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,0.4006907,0.4006907,0,0,0,0.4006907,0,0,5.551115E-17,0,0,0.4217797,0.4006907,0,0,5.238828,5.910329,0,0.4217797,-0.4217797,8.585444,61.32448,0,0.4407598,0,0,5.910329
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75782,0.06572935,0.2949933,1.22738,1.22738,0,0,0,1.22738,24.03439,0,2.220446E-16,0,0.2949933,1.291979,1.22738,0,0,5.707472,5.488549,0,0.9969859,-0.9969859,7.534529,53.81796,0,1.350118,0.2359947,0,5.783543
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11859,0.1475045,0.6620001,1.257759,1.257759,0,0,0,1.257759,52.6333,0,0,0,0.6620001,1.323957,1.257759,0,0,6.815234,4.491563,0,0.6619566,-0.6619566,6.836766,48.83394,0,1.383535,0.5296,0,5.153563
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85869,0.2876508,1.290977,2.611077,2.611077,0,0,0,2.611077,49.4423,4.440892E-16,0,0,1.290977,2.748502,2.611077,0,0,7.550741,3.829607,0,1.457526,-1.457526,5.300399,37.85991,0,2.872185,1.032781,0,5.120584
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46853,0.0700992,0.3146052,0.7859559,0.7859559,0,0,0,0.7859559,40.02835,0,0,0,0.3146052,0.827322,0.7859559,0,0,9.170215,2.372081,0,0.5127168,-0.5127168,4.759948,33.99956,0,0.8645515,0.2516842,0,2.686686
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19857,0.05671747,0.254548,3.162839,3.162839,1.25,0,0.50625,3.162839,8.048085,0,0,0,0.254548,2.013515,1.912839,0,0,9.7399,1.859364,0,1.758967,-1.758967,2.905834,20.75591,0,3.479123,0.2036384,5,2.113912
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12832,0.308119,1.382838,2.743989,2.743989,5,0,1.53,2.743989,50.39518,0,0,0,1.382838,0,0,2.256011,2.14321,11.69431,0.1003974,3.526049,0,3.526049,6.250937,44.64946,0.3070891,3.018388,1.106271,5,1.483235
