Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,-11.22315,90,0,0,29.09307,29.09307,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-24.89048,90,0,0,29.09307,29.09307,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0.002727411,0,-38.09077,90,0,0,28.04058,28.04058,0.4377692,0.4377692,0,-1,0,0.4377692,0,0,5.551115E-17,0,0,0.4608097,0.4377692,0,0,0,10.62527,0,0.4608097,-0.4608097,13.51429,96.53046,0,0.4815461,0,0,10.62527
1/1/2007 3:00:00 AM,0.01772945,4.275784,-50.76572,119.9805,0.01431142,0.0634307,27.48778,27.07367,0.8052564,0.8052564,0,-1,0,0.8052564,7.877081,0,1.110223E-16,0,0.0634307,0.8476382,0.8052564,0,0,0.5120108,10.16446,0,0.7842076,-0.7842076,12.68766,90.62599,0,0.885782,0.05074456,0,10.22789
1/1/2007 4:00:00 AM,0.04479645,10.80872,-63.02651,106.4254,0.0361551,0.1605315,27.1355,26.08964,0.8133916,0.8133916,0,-1,0,0.8133916,19.73607,0,1.110223E-16,0,0.1605315,0.8562017,0.8133916,0,0,1.383353,9.380257,0,0.6956702,-0.6956702,11.95436,85.38815,0,0.8947308,0.1284252,0,9.540789
1/1/2007 5:00:00 AM,0.06516529,18.09158,-75.13351,92.66881,0.05266505,0.2343249,26.72265,25.19973,0.7430815,0.7430815,0,0,0,0.7430815,31.53422,0,1.110223E-16,0,0.2343249,0.7821911,0.7430815,0,0,2.156319,8.684587,0,0.5478662,-0.5478662,11.37686,81.26314,0,0.8173897,0.1874599,0,8.918912
1/1/2007 6:00:00 AM,0.1321697,25.79755,-87.48353,78.88321,0.1076702,0.4771778,27.50238,24.38684,0.2504317,0.2504317,0,0,0,0.2504317,190.5421,0,0,0,0.4771778,0.2636123,0.2504317,0,0,2.765059,8.136721,0.2135655,0,0.2135655,11.57947,82.71032,0,0.2754749,0.3817422,0,8.613898
1/1/2007 7:00:00 AM,0.1649904,33.57328,-100.6235,65.2262,0.1356067,0.6011065,27.4635,23.53972,0.7671126,0.7671126,0,0,0,0.7671126,78.35961,0,0,0,0.6011065,0.807487,0.7671126,0,0,2.551494,8.32893,0,0.2063805,-0.2063805,11.36192,81.15644,0,0.8438239,0.4808852,0,8.930036
1/1/2007 8:00:00 AM,0.1754341,40.99095,-115.2809,51.92427,0.1447184,0.6358683,29.19647,25.00293,0.7860993,0.7860993,0,0,0,0.7860993,80.88906,0,1.110223E-16,0,0.6358683,0.8274729,0.7860993,0,0,2.780806,8.122549,0,0.1916046,-0.1916046,11.15996,79.71381,0,0.8647092,0.5086946,0,8.758417
1/1/2007 9:00:00 AM,0.2518996,47.47544,-132.3365,39.4359,0.2096574,0.8946583,34.83782,28.73368,1.631923,1.631923,0,-1,0,1.631923,54.82232,0,2.220446E-16,0,0.8946583,1.717814,1.631923,0,0,2.9937,7.930944,0,0.8231558,-0.8231558,10.29227,73.51609,0,1.795116,0.7157266,0,8.825603
