Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,-11.22315,90,0,0,20.59185,20.59185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-24.89048,90,0,0,20.59185,20.59185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0.002727411,0,-38.09077,90,0,0,19.84691,19.84691,0.4377692,0.4377692,0,0,0,0.4377692,0,0,5.551115E-17,0,0.4608097,0.4377692,0,0,0,10.62527,0,0.4608097,-0.4608097,13.51429,96.53046,0,0.4815461,0,0,10.62527
1/1/2007 3:00:00 AM,0.01772945,4.275784,-50.76572,119.9805,0.01431142,0.06597223,19.57388,19.16253,0.8052564,0.8052564,0,0,0,0.8052564,8.192699,0,1.110223E-16,0.06597223,0.8476382,0.8052564,0,0,0.5120108,10.16446,0,0.781666,-0.781666,12.69034,90.64513,0,0.885782,0.05277778,0,10.23044
1/1/2007 4:00:00 AM,0.04479645,10.80872,-63.02651,106.4254,0.0361551,0.1667222,19.50518,18.46604,0.8133916,0.8133916,0,0,0,0.8133916,20.49716,0,1.110223E-16,0.1667222,0.8562017,0.8133916,0,0,1.380529,9.382798,0,0.6894795,-0.6894795,11.96357,85.45389,0,0.8947308,0.1333777,0,9.54952
1/1/2007 5:00:00 AM,0.06516529,18.09158,-75.13351,92.66881,0.05266505,0.2430384,19.34962,17.83617,0.7430815,0.7430815,0,0,0,0.7430815,32.70683,0,0,0.2430384,0.7821911,0.7430815,0,0,2.146617,8.693319,0,0.5391527,-0.5391527,11.39525,81.39449,0,0.8173897,0.1944307,0,8.936357
1/1/2007 6:00:00 AM,0.1321697,25.79755,-87.48353,78.88321,0.1076702,0.4944404,20.35761,17.26081,0.2504317,0.2504317,0,0,0,0.2504317,197.4352,0,0,0.4944404,0.2636123,0.2504317,0,0,2.745676,8.154166,0.2308281,0,0.2308281,11.61423,82.95865,0,0.2754749,0.3955523,0,8.648606
1/1/2007 7:00:00 AM,0.1649904,33.57328,-100.6235,65.2262,0.1356067,0.6221072,20.5622,16.66123,0.7671126,0.7671126,0,0,0,0.7671126,81.09725,0,0,0.6221072,0.807487,0.7671126,0,0,2.514847,8.361912,0,0.1853797,-0.1853797,11.41883,81.56289,0,0.8438239,0.4976858,0,8.984018
1/1/2007 8:00:00 AM,0.1754341,40.99095,-115.2809,51.92427,0.1447184,0.6596786,21.86456,17.69688,0.7860993,0.7860993,0,0,0,0.7860993,83.91798,0,1.110223E-16,0.6596786,0.8274729,0.7860993,0,0,2.720825,8.176532,0,0.1677943,-0.1677943,11.24196,80.29952,0,0.8647092,0.5277429,0,8.83621
1/1/2007 9:00:00 AM,0.2518996,47.47544,-132.3365,39.4359,0.2096574,0.9343629,26.39848,20.33748,1.631923,1.631923,0,0,0,1.631923,57.25532,0,2.220446E-16,0.9343629,1.717814,1.631923,0,0,2.907263,8.008738,0,0.7834511,-0.7834511,10.41613,74.40075,0,1.795116,0.7474903,0,8.9431
1/1/2007 10:00:00 AM,0.0271396,52.2438,-152.504,28.91588,0.0220855,0.09977307,23.68171,23.0447,0.4912224,0.4912224,0,0,0,0.4912224,20.31118,0,5.551115E-17,0.09977307,0.5170763,0.4912224,0,0,3.777764,7.225286,0,0.4173032,-0.4173032,9.97625,71.25879,0,0.5403447,0.07981846,0,7.325059
1/1/2007 11:00:00 AM,0.01236893,54.40896,-175.4185,23.26789,0.01004075,0.04491954,25.63622,25.34614,1.976774,1.976774,0,0,0,1.976774,2.272366,0,4.440892E-16,0.04491954,2.080815,1.976774,0,0,4.241435,6.807983,0,2.035896,-2.035896,7.830227,55.93008,0,2.174452,0.03593563,0,6.852903
1/1/2007 12:00:00 PM,0.178318,53.43244,161.1098,25.92141,0.1472996,0.638751,31.75554,27.478,1.714993,1.714993,0,0,0,1.714993,37.24511,0,2.220446E-16,0.638751,1.805256,1.714993,0,0,6.503541,4.772088,0,1.166505,-1.166505,6.600623,47.14722,0,1.886492,0.5110008,0,5.410839
1/1/2007 1:00:00 PM,0.1554301,49.56982,139.74,35.03278,0.1281351,0.5513638,33.24467,29.51902,1.302067,1.302067,0,0,0,1.302067,42.34526,0,0,0.5513638,1.370597,1.302067,0,0,7.799657,3.605582,0,0.8192333,-0.8192333,5.737076,40.97903,0,1.432274,0.4410911,0,4.156947
1/1/2007 2:00:00 PM,0.06454479,43.6441,121.5346,46.96489,0.05276601,0.2281347,32.32997,30.79693,0.7909791,0.7909791,0,0,0,0.7909791,28.84206,0,0,0.2281347,0.8326095,0.7909791,0,0,8.709916,2.786349,0,0.6044749,-0.6044749,5.099903,36.42781,0,0.870077,0.1825077,0,3.014484
1/1/2007 3:00:00 PM,0.03261233,36.50797,106.0586,60.02935,0.02656367,0.1149774,32.11364,31.342,0,0,0,0,0,0,0,0,0,0.1149774,0,0,0,0,9.381556,2.181874,0.1149774,0,0.1149774,5.20898,37.20693,0,0,0.0919819,0,2.296852
1/1/2007 4:00:00 PM,0.1000275,28.81356,92.42928,73.58352,0.08173659,0.3498724,34.24748,31.86891,1.057531,1.057531,0,0,0,1.057531,33.0839,0,2.220446E-16,0.3498724,1.11319,1.057531,0,0,9.266578,2.285354,0,0.7633179,-0.7633179,4.404373,31.45974,0,1.163284,0.2798979,0,2.635226
1/1/2007 5:00:00 PM,0.08188617,21.03604,79.84824,87.33976,0.06630111,0.2853278,33.22128,31.29355,0,0,0,0,0,0,0,0,0,0.2853278,0,0,0,0,10.11471,1.522036,0.2853278,0,0.2853278,4.675058,33.39321,0,0,0.2282622,0,1.807364
1/1/2007 6:00:00 PM,0.03952774,13.55032,67.70203,101.1255,0.03199911,0.1397354,30.39875,29.47057,1.270298,1.270298,0,0,0,1.270298,11.00021,0,2.220446E-16,0.1397354,1.337156,1.270298,0,0,9.829381,1.778831,0,1.19742,-1.19742,3.412866,24.37757,0,1.397328,0.1117883,0,1.918567
1/1/2007 7:00:00 PM,0.03190922,6.689501,55.53901,114.7832,0.02570842,0.1133631,28.49506,27.75054,1.756764,1.756764,1.25,0,0.50625,1.756764,6.452949,0,0,0.1133631,0.5334361,0.5067643,0,0,11.15985,0.5814107,0,0.420073,-0.420073,2.97007,21.21475,0,1.932441,0.09069049,5,0.6947738
1/1/2007 8:00:00 PM,0.006506507,0.7765003,43.04588,128.0866,0.005220942,0.02325343,26.52063,26.36968,2.450536,2.450536,5,0,1.53,2.450536,0.9489123,0,0,0.02325343,0,0,2.549464,2.421991,11.6266,0.1613377,2.445245,0,2.445245,5.289834,37.78445,0.2535574,2.695589,0.01860275,5,0.1845911
1/1/2007 9:00:00 PM,0,0,30.05116,90,0,0,25.02515,25.02515,2.896399,2.896399,5,0,1.53,2.896399,0,0,0,0,0,0,2.103601,1.998421,9.181352,2.362058,1.998421,0,1.998421,7.185702,51.32634,0.2794457,3.186039,0,5,2.362058
1/1/2007 10:00:00 PM,0,0,16.54624,90,0,0,23.64429,23.64429,0.03551587,0.03551587,3.540779,0,1.131633,0.03551587,0,4.440892E-16,0,0,0,0,3.505263,3.33,7.18293,4.160637,3.33,0,3.33,10.34482,73.8914,0.251404,0.03906746,0,5,4.160637
1/1/2007 11:00:00 PM,0,0,2.692489,90,0,0,22.433,22.433,0.1473111,0.1473111,3.652574,0,1.162153,0.1473111,0,4.440892E-16,0,0,0,0,3.505263,3.33,3.852931,7.157637,3.33,0,3.33,13.50393,96.45647,0.242167,0.1620422,0,5,7.157637
1/2/2007 12:00:00 AM,0,0,-11.12728,90,0,0,21.51242,21.51242,0.4505289,0.4505289,0,0,0,0.4505289,0,0,5.551115E-17,0,0.474241,0.4505289,0,0,0.5229305,10.15464,0,0.474241,-0.474241,13.00404,92.8858,0.242167,0.4955819,0,0,10.15464
1/2/2007 1:00:00 AM,0,0,-24.80699,90,0,0,20.59185,20.59185,0.1857736,0.1857736,0,0,0,0.1857736,0,0,2.775558E-17,0,0.1955511,0.1857736,0,0,1.049865,9.680396,0,0.1955511,-0.1955511,12.79791,91.41346,0.242167,0.2043509,0,0,9.680396
1/2/2007 2:00:00 AM,0.002014032,0,-38.01942,90,0,0,19.82874,19.82874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.267144,9.484844,0,0,0,12.79791,91.41346,0.242167,0,0,0,9.484844
1/2/2007 3:00:00 AM,0.09946286,4.163553,-50.70483,120.0994,0.007543397,0.03480928,19.36114,19.14436,0.6550365,0.6550365,0,0,0,0.6550365,5.314097,0,1.110223E-16,0.03480928,0.6895121,0.6550365,0,0,1.267144,9.484844,0,0.6547028,-0.6547028,12.10779,86.48405,0.242167,0.7205402,0.02784742,0,9.519654
1/2/2007 4:00:00 AM,0.1536184,10.69225,-62.97343,106.5377,0.0492601,0.2267565,19.86409,18.44787,0,0,0,0,0,0,0,0,0,0.2267565,0,0,0,0,1.994592,8.830142,0.2267565,0,0.2267565,12.32291,88.02063,0.2375762,0,0.1814052,0,9.056898
1/2/2007 5:00:00 AM,0.2653549,17.97265,-75.08488,92.77404,0.07313031,0.3365145,19.93879,17.83617,0.1065932,0.1065932,0,0,0,0.1065932,315.6996,0,0,0.3365145,0.1122034,0.1065932,0,0,1.767835,9.034223,0.2243111,0,0.2243111,12.53571,89.54063,0.2332031,0.1172526,0.2692116,0,9.370737
1/2/2007 6:00:00 AM,0.2743202,25.67762,-87.43513,78.98042,0.2027881,0.9187828,23.09479,17.2487,0,0,0,0,0,0,0,0,0,0.9187828,0,0,0,0,1.543524,9.236103,0.9187828,0,0.9187828,13.40735,95.76657,0.2168529,0,0.7350262,0,10.15489
1/2/2007 7:00:00 AM,0.3225481,33.45384,-100.5696,65.31339,0.2710893,1.219852,24.47334,16.64911,0.5014437,0.5014437,0,0,0,0.5014437,243.2681,0.06727566,0,1.219852,0.5278355,0.5014437,0,0,0.6247412,10.06301,0.6247412,0,0.6247412,14.00003,100,0.2069853,0.5515881,0.9758819,0,11.28286
1/2/2007 8:00:00 AM,0.4434687,40.87403,-115.2132,51.99736,0.4054596,1.779395,29.43014,17.67871,0.332006,0.332006,0,0,0,0.332006,535.9526,1.429915,0,1.779395,0.34948,0.332006,0,0,0,10.62527,0,0,0,14.00003,100,0.2069853,0.3652066,1.423516,0,12.40467
1/2/2007 9:00:00 AM,0.6849208,47.36454,-132.2432,39.48629,0.7273843,2.993267,41.61715,20.31931,0.3914788,0.3914788,0,0,0,0.3914788,764.6052,2.581184,0,2.993267,0.4120829,0.3914788,0,0,0,10.62527,0,0,0,14.00003,100,0.2069853,0.4306267,2.394614,0,13.61854
1/2/2007 10:00:00 AM,1.086609,52.14495,-152.3724,28.92479,1.24817,4.618002,60.12394,23.01442,0,0,0,0,0,0,0,4.618002,0,4.618002,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.2069853,0,3.694402,0,15.24328
1/2/2007 11:00:00 AM,1.346382,54.32999,-175.2465,23.20781,0.9959272,3.803948,54.79039,25.3098,0,0,0,0,0,0,0,3.803948,0,3.803948,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0.2069853,0,3.043158,0,14.42922
1/2/2007 12:00:00 PM,1.368729,53.37833,161.3036,25.80655,0.9763385,3.694297,56.38023,27.44167,1.062825,1.062825,0,0,0,1.062825,347.592,2.575533,0,3.694297,1.118764,1.062825,0,0,0,10.62527,0,0,0,14.00003,100,0.2069853,1.169108,2.955437,0,14.31957
1/2/2007 1:00:00 PM,1.172691,49.53854,139.9307,34.90525,0.892859,3.387299,55.93729,29.48268,1.931226,1.931226,0,0,0,1.931226,175.3963,1.354429,0,3.387299,2.03287,1.931226,0,0,0,10.62527,0,0,0,14.00003,100,0.2069853,2.124349,2.709839,0,14.01257
1/2/2007 2:00:00 PM,1.247033,43.62902,121.7096,46.84013,0.7511669,2.899584,52.98103,30.77876,1.866332,1.866332,0,0,0,1.866332,155.3627,0.9350236,0,2.899584,1.96456,1.866332,0,0,0,10.62527,0,0,0,14.00003,100,0.2069853,2.052965,2.319667,0,13.52486
