Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,-11.22315,90,0,0,21.72535,21.72535,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-24.89048,90,0,0,21.72535,21.72535,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0.002727411,0,-38.09077,90,0,0,20.9394,20.9394,0.4377692,0.4377692,0,-1,0,0.4377692,0,0,5.551115E-17,0,0,0.4608097,0.4377692,0,0,0,10.62527,0,0.4608097,-0.4608097,13.51429,96.53046,0,0.4815461,0,0,10.62527
1/1/2007 3:00:00 AM,0.01772945,4.275784,-50.76572,119.9805,0.01431142,0.06563336,20.62907,20.21735,0.8052564,0.8052564,0,-1,0,0.8052564,8.150617,0,0,0,0.06563336,0.8476382,0.8052564,0,0,0.5120108,10.16446,0,0.7820049,-0.7820049,12.68999,90.64258,0,0.885782,0.05250669,0,10.2301
1/1/2007 4:00:00 AM,0.04479645,10.80872,-63.02651,106.4254,0.0361551,0.1658967,20.52255,19.48252,0.8133916,0.8133916,0,-1,0,0.8133916,20.39568,0,0,0,0.1658967,0.8562017,0.8133916,0,0,1.380905,9.38246,0,0.6903049,-0.6903049,11.96234,85.44512,0,0.8947308,0.1327174,0,9.548356
1/1/2007 5:00:00 AM,0.06516529,18.09158,-75.13351,92.66881,0.05266505,0.2418766,20.33269,18.81798,0.7430815,0.7430815,0,0,0,0.7430815,32.55048,0,0,0,0.2418766,0.7821911,0.7430815,0,0,2.147911,8.692155,0,0.5403145,-0.5403145,11.3928,81.37698,0,0.8173897,0.1935013,0,8.934031
1/1/2007 6:00:00 AM,0.1321697,25.79755,-87.48353,78.88321,0.1076702,0.4921387,21.31024,18.21095,0.2504317,0.2504317,0,0,0,0.2504317,196.5161,0,0,0,0.4921387,0.2636123,0.2504317,0,0,2.74826,8.15184,0.2285264,0,0.2285264,11.6096,82.92554,0,0.2754749,0.393711,0,8.643979
1/1/2007 7:00:00 AM,0.1649904,33.57328,-100.6235,65.2262,0.1356067,0.6193071,21.48238,17.57836,0.7671126,0.7671126,0,0,0,0.7671126,80.73223,0,0,0,0.6193071,0.807487,0.7671126,0,0,2.519734,8.357514,0,0.1881799,-0.1881799,11.41124,81.50869,0,0.8438239,0.4954457,0,8.976821
1/1/2007 8:00:00 AM,0.1754341,40.99095,-115.2809,51.92427,0.1447184,0.6565039,22.84215,18.67102,0.7860993,0.7860993,0,0,0,0.7860993,83.51412,0,0,0,0.6565039,0.8274729,0.7860993,0,0,2.728822,8.169334,0,0.170969,-0.170969,11.23102,80.22143,0,0.8647092,0.5252031,0,8.825838
1/1/2007 9:00:00 AM,0.2518996,47.47544,-132.3365,39.4359,0.2096574,0.929069,27.52373,21.45697,1.631923,1.631923,0,-1,0,1.631923,56.93092,0,2.220446E-16,0,0.929069,1.717814,1.631923,0,0,2.918788,7.998365,0,0.788745,-0.788745,10.39961,74.2828,0,1.795116,0.7432551,0,8.927434
1/1/2007 10:00:00 AM,0.0271396,52.2438,-152.504,28.91588,0.0220855,0.09914406,24.95091,24.31322,0.4912224,0.4912224,0,0,0,0.4912224,20.18313,0,5.551115E-17,0,0.09914406,0.5170763,0.4912224,0,0,3.795171,7.20962,0,0.4179322,-0.4179322,9.959073,71.13609,0,0.5403447,0.07931525,0,7.308764
1/1/2007 11:00:00 AM,0.01236893,54.40896,-175.4185,23.26789,0.01004075,0.04460511,27.03177,26.74134,1.976774,1.976774,0,0,0,1.976774,2.256459,0,0,0,0.04460511,2.080815,1.976774,0,0,4.259541,6.791688,0,2.03621,-2.03621,7.812719,55.80503,0,2.174452,0.03568409,0,6.836293
1/1/2007 12:00:00 PM,0.178318,53.43244,161.1098,25.92141,0.1472996,0.6337334,33.27354,28.99055,1.714993,1.714993,0,0,0,1.714993,36.95253,0,0,0,0.6337334,1.805256,1.714993,0,0,6.521996,4.755478,0,1.171522,-1.171522,6.577826,46.98438,0,1.886492,0.5069867,0,5.389211
1/1/2007 1:00:00 PM,0.1554301,49.56982,139.74,35.03278,0.1281351,0.5466771,34.87466,31.14392,1.302067,1.302067,0,0,0,1.302067,41.98531,0,0,0,0.5466771,1.370597,1.302067,0,0,7.823688,3.583955,0,0.8239201,-0.8239201,5.709338,40.7809,0,1.432274,0.4373416,0,4.130632
1/1/2007 2:00:00 PM,0.06454479,43.6441,121.5346,46.96489,0.05276601,0.2261248,34.0274,32.49217,0.7909791,0.7909791,0,-1,0,0.7909791,28.58796,0,1.110223E-16,0,0.2261248,0.8326095,0.7909791,0,0,8.739155,2.760035,0,0.6064848,-0.6064848,5.070047,36.21455,0,0.870077,0.1808998,0,2.98616
1/1/2007 3:00:00 PM,0.03261233,36.50797,106.0586,60.02935,0.02656367,0.1139483,33.84,33.06725,0,0,0,-1,0,0,0,0,0,0,0.1139483,0,0,0,0,9.413027,2.15355,0.1139483,0,0.1139483,5.178148,36.98669,0,0,0.09115865,0,2.267499
1/1/2007 4:00:00 PM,0.1000275,28.81356,92.42928,73.58352,0.08173659,0.3466483,36.00523,33.62317,1.057531,1.057531,0,-1,0,1.057531,32.77903,0,2.220446E-16,0,0.3466483,1.11319,1.057531,0,0,9.299078,2.256104,0,0.7665419,-0.7665419,4.370142,31.21523,0,1.163284,0.2773187,0,2.602752
1/1/2007 5:00:00 PM,0.08188617,21.03604,79.84824,87.33976,0.06630111,0.2827608,34.94665,33.01613,0,0,0,-1,0,0,0,0,0,0,0.2827608,0,0,0,0,10.15079,1.489562,0.2827608,0,0.2827608,4.638392,33.13131,0,0,0.2262086,0,1.772323
