Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,-11.22315,90,0,0,30.79331,30.79331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-24.89048,90,0,0,30.79331,30.79331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0.002727411,0,-38.09077,90,0,0,29.67932,29.67932,0.4377692,0.4377692,0,0,0,0.4377692,0,0,5.551115E-17,0,0.4608097,0.4377692,0,0,0,10.62527,0,0.4608097,-0.4608097,13.51429,96.53046,0,0.4815461,0,0,10.62527
1/1/2007 3:00:00 AM,0.01772945,4.275784,-50.76572,119.9805,0.01431142,0.06292239,29.07056,28.6559,0.8052564,0.8052564,0,0,0,0.8052564,7.813957,0,1.110223E-16,0.06292239,0.8476382,0.8052564,0,0,0.5120108,10.16446,0,0.7847159,-0.7847159,12.68713,90.62217,0,0.885782,0.05033791,0,10.22739
1/1/2007 4:00:00 AM,0.04479645,10.80872,-63.02651,106.4254,0.0361551,0.1592934,28.66156,27.61436,0.8133916,0.8133916,0,0,0,0.8133916,19.58385,0,1.110223E-16,0.1592934,0.8562017,0.8133916,0,0,1.383917,9.379748,0,0.6969083,-0.6969083,11.95252,85.37499,0,0.8947308,0.1274347,0,9.539042
1/1/2007 5:00:00 AM,0.06516529,18.09158,-75.13351,92.66881,0.05266505,0.2325822,28.19725,26.67244,0.7430815,0.7430815,0,0,0,0.7430815,31.29969,0,0,0.2325822,0.7821911,0.7430815,0,0,2.15826,8.68284,0,0.5496088,-0.5496088,11.37318,81.23687,0,0.8173897,0.1860658,0,8.915422
1/1/2007 6:00:00 AM,0.1321697,25.79755,-87.48353,78.88321,0.1076702,0.4737253,28.93134,25.81204,0.2504317,0.2504317,0,0,0,0.2504317,189.1635,0,0,0.4737253,0.2636123,0.2504317,0,0,2.768936,8.133231,0.2101129,0,0.2101129,11.57252,82.66066,0,0.2754749,0.3789802,0,8.606956
1/1/2007 7:00:00 AM,0.1649904,33.57328,-100.6235,65.2262,0.1356067,0.5969063,28.84376,24.91541,0.7671126,0.7671126,0,0,0,0.7671126,77.81208,0,0,0.5969063,0.807487,0.7671126,0,0,2.558823,8.322333,0,0.2105806,-0.2105806,11.35054,81.07515,0,0.8438239,0.4775251,0,8.919239
1/1/2007 8:00:00 AM,0.1754341,40.99095,-115.2809,51.92427,0.1447184,0.6311063,30.66286,26.46414,0.7860993,0.7860993,0,0,0,0.7860993,80.28328,0,1.110223E-16,0.6311063,0.8274729,0.7860993,0,0,2.792802,8.111753,0,0.1963666,-0.1963666,11.14355,79.59666,0,0.8647092,0.504885,0,8.742859
1/1/2007 9:00:00 AM,0.2518996,47.47544,-132.3365,39.4359,0.2096574,0.8867173,36.52568,30.41293,1.631923,1.631923,0,0,0,1.631923,54.33572,0,2.220446E-16,0.8867173,1.717814,1.631923,0,0,3.010987,7.915386,0,0.8310966,-0.8310966,10.2675,73.33916,0,1.795116,0.7093739,0,8.802103
1/1/2007 10:00:00 AM,0.0271396,52.2438,-152.504,28.91588,0.0220855,0.09411195,35.1045,34.46134,0.4912224,0.4912224,0,0,0,0.4912224,19.15872,0,5.551115E-17,0.09411195,0.5170763,0.4912224,0,0,3.934428,7.084289,0,0.4229643,-0.4229643,9.821658,70.15456,0,0.5403447,0.07528956,0,7.178401
1/1/2007 11:00:00 AM,0.01236893,54.40896,-175.4185,23.26789,0.01004075,0.04208962,38.1961,37.90295,1.976774,1.976774,0,0,0,1.976774,2.129207,0,4.440892E-16,0.04208962,2.080815,1.976774,0,0,4.404388,6.661325,0,2.038726,-2.038726,7.672653,54.80455,0,2.174452,0.0336717,0,6.703414
1/1/2007 12:00:00 PM,0.178318,53.43244,161.1098,25.92141,0.1472996,0.5935926,45.41755,41.09096,1.714993,1.714993,0,0,0,1.714993,34.61195,0,0,0.5935926,1.805256,1.714993,0,0,6.669639,4.622599,0,1.211663,-1.211663,6.395448,45.68168,0,1.886492,0.474874,0,5.216192
1/1/2007 1:00:00 PM,0.1554301,49.56982,139.74,35.03278,0.1281351,0.5091827,47.91459,44.14312,1.302067,1.302067,0,0,0,1.302067,39.10571,0,0,0.5091827,1.370597,1.302067,0,0,8.015931,3.410936,0,0.8614145,-0.8614145,5.487437,39.1959,0,1.432274,0.4073462,0,3.920119
1/1/2007 2:00:00 PM,0.06454479,43.6441,121.5346,46.96489,0.05276601,0.2100458,47.60681,46.05412,0.7909791,0.7909791,0,0,0,0.7909791,26.55517,0,1.110223E-16,0.2100458,0.8326095,0.7909791,0,0,8.973059,2.549521,0,0.6225637,-0.6225637,4.831197,34.50848,0,0.870077,0.1680367,0,2.759567
1/1/2007 3:00:00 PM,0.03261233,36.50797,106.0586,60.02935,0.02656367,0.1057158,47.65093,46.86924,0,0,0,0,0,0,0,0,0,0.1057158,0,0,0,0,9.664796,1.926958,0.1057158,0,0.1057158,4.931488,35.22485,0,0,0.08457262,0,2.032674
1/1/2007 4:00:00 PM,0.1000275,28.81356,92.42928,73.58352,0.08173659,0.3208562,50.06727,47.65718,1.057531,1.057531,0,0,0,1.057531,30.34013,0,0,0.3208562,1.11319,1.057531,0,0,9.55908,2.022102,0,0.792334,-0.792334,4.096295,29.25919,0,1.163284,0.256685,0,2.342958
1/1/2007 5:00:00 PM,0.08188617,21.03604,79.84824,87.33976,0.06630111,0.2622248,48.74961,46.79678,0,0,0,0,0,0,0,0,0,0.2622248,0,0,0,0,10.43945,1.229768,0.2622248,0,0.2622248,4.345063,31.0361,0,0,0.2097798,0,1.491993
1/1/2007 6:00:00 PM,0.03952774,13.55032,67.70203,101.1255,0.03199911,0.1292435,45.01025,44.07067,1.270298,1.270298,0,0,0,1.270298,10.17426,0,2.220446E-16,0.1292435,1.337156,1.270298,0,0,10.17723,1.46577,0,1.207912,-1.207912,3.071811,21.94147,0,1.397328,0.1033948,0,1.595014
