Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,33.06031,33.06031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,33.06031,33.06031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553689,0,0,0,6.000012,100,0,0,0,0,4.553689
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,31.8643,31.8643,0.1648472,0.1648472,0,0,0,0.1648472,0,0,2.775558E-17,0,0.1735233,0.1648472,0,0,0,4.553689,0,0.1735233,-0.1735233,5.817102,96.95152,0,0.1813319,0,0,4.553689
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,30.76553,30.76553,0.3032288,0.3032288,0,0,0,0.3032288,0,0,5.551115E-17,0,0.3191882,0.3032288,0,0,0.1928037,4.380166,0,0.3191882,-0.3191882,5.480649,91.34396,0,0.3335517,0,0,4.380166
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,29.64732,29.64732,0.3062922,0.3062922,0,0,0,0.3062922,0,0,5.551115E-17,0,0.3224129,0.3062922,0,0,0.5474573,4.060977,0,0.3224129,-0.3224129,5.140795,85.67975,0,0.3369215,0,0,4.060977
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,28.63606,28.63606,0.2798162,0.2798162,0,0,0,0.2798162,0,0,0,0,0.2945433,0.2798162,0,0,0.9056938,3.738564,0,0.2945433,-0.2945433,4.830319,80.50517,0,0.3077978,0,0,3.738564
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,27.71231,27.71231,0.09430302,0.09430302,0,0,0,0.09430302,0,0,1.387779E-17,0,0.09926634,0.09430302,0,0,1.232964,3.444021,0,0.09926634,-0.09926634,4.725684,78.76124,0,0.1037333,0,0,3.444021
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.1151192,28.65347,26.74968,0.3489159,0.3489159,0,0,0,0.3489159,32.99341,0,0,0.1151192,0.3672799,0.3489159,0,0,1.34326,3.344755,0,0.2521606,-0.2521606,4.459883,74.33124,0,0.3838075,0.0920954,0,3.459874
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,0.2530177,32.69929,28.41242,0.3575518,0.3575518,0,0,0,0.3575518,70.76392,0,0,0.2530177,0.3763703,0.3575518,0,0,1.623438,3.092594,0,0.1233526,-0.1233526,4.329858,72.16415,0,0.393307,0.2024142,0,3.345612
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,0.4719347,41.07051,32.65192,0.742269,0.742269,0,0,0,0.742269,63.58001,0,0,0.4719347,0.7813358,0.742269,0,0,1.760497,2.969242,0,0.3094011,-0.3094011,4.00372,66.72854,0,0.816496,0.3775478,0,3.441176
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.1162739,39.04649,36.99837,0.2234291,0.2234291,0,0,0,0.2234291,52.0406,0,0,0.1162739,0.2351886,0.2234291,0,0,2.104276,2.659841,0,0.1189147,-0.1189147,3.878373,64.63943,0,0.245772,0.09301909,0,2.776114
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.09240365,42.35506,40.69335,0.8991222,0.8991222,0,0,0,0.8991222,10.2771,0,1.110223E-16,0.09240365,0.9464445,0.8991222,0,0,2.236403,2.540926,0,0.8540408,-0.8540408,2.978135,49.63549,0,0.9890345,0.07392292,0,2.633329
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,0.47211,53.22498,44.11606,0.7800528,0.7800528,0,0,0,0.7800528,60.52283,0,0,0.47211,0.8211082,0.7800528,0,0,3.185338,1.686885,0,0.3489982,-0.3489982,2.610259,43.50423,0,0.858058,0.377688,0,2.158995
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,0.4117097,55.45579,47.39292,0.5922363,0.5922363,0,0,0,0.5922363,69.5178,0,0,0.4117097,0.6234066,0.5922363,0,0,3.573113,1.337887,0,0.211697,-0.211697,2.387111,39.7851,0,0.6514599,0.3293677,0,1.749596
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,0.1770678,52.85252,49.44461,0.3597714,0.3597714,0,0,0,0.3597714,49.21675,0,0,0.1770678,0.3787067,0.3597714,0,0,3.808332,1.12619,0,0.2016389,-0.2016389,2.174565,36.24267,0,0.3957485,0.1416542,0,1.303258
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.1006925,52.24998,50.31973,0,0,0,0,0,0,0,0,0,0.1006925,0,0,0,0,4.032375,0.924551,0.1006925,0,0.1006925,2.27009,37.83476,0,0,0.08055402,0,1.025244
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,0.1954177,54.98053,51.16569,0.4810105,0.4810105,0,0,0,0.4810105,40.6265,0,5.551115E-17,0.1954177,0.5063269,0.4810105,0,0,3.931683,1.015174,0,0.3109092,-0.3109092,1.942363,32.37265,0,0.5291116,0.1563342,0,1.210592
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.1044507,52.24416,50.24194,0,0,0,0,0,0,0,0,0,0.1044507,0,0,0,0,4.277138,0.7042651,0.1044507,0,0.1044507,2.041454,34.02416,0,0,0.08356055,0,0.8087158
