Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Medium Genset (size-your-own) Power Output,Generic Medium Genset (size-your-own) Operating Status,Generic Medium Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,6.329071,90,0,0,25.69258,25.69258,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 1:00:00 AM,0,0,-40.63449,90,0,0,25.69258,25.69258,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,29.59898,0,0,0,39.00008,100,0,0,0,0,29.59898
1/1/2007 2:00:00 AM,0,0,-59.18059,90,0,0,24.76311,24.76311,1.33589,1.33589,0,-1,0,1.33589,0,0,2.220446E-16,0,0,1.4062,1.33589,0,0,0,29.59898,0,1.4062,-1.4062,37.51781,96.19933,0,1.469479,0,0,29.59898
1/1/2007 3:00:00 AM,0,0,-65.89561,90,0,0,23.90921,23.90921,2.457308,2.457308,0,-1,0,2.457308,0,0,0,0,0,2.58664,2.457308,0,0,1.562444,28.19278,0,2.58664,-2.58664,34.79126,89.20817,0,2.703039,0,0,28.19278
1/1/2007 4:00:00 AM,0,0,-68.29882,90,0,0,23.0402,23.0402,2.482134,2.482134,0,-1,0,2.482134,0,0,0,0,0,2.612772,2.482134,0,0,4.436489,25.60614,0,2.612772,-2.612772,32.03715,82.14638,0,2.730347,0,0,25.60614
1/1/2007 5:00:00 AM,0,0,-68.56945,90,0,0,22.25431,22.25431,2.267576,2.267576,0,0,0,2.267576,0,0,0,0,0,2.386923,2.267576,0,0,7.339569,22.99337,0,2.386923,-2.386923,29.52111,75.69501,0,2.494334,0,0,22.99337
1/1/2007 6:00:00 AM,0.0008882491,0,-67.38521,90,0,0,21.53643,21.53643,0.7642136,0.7642136,0,0,0,0.7642136,0,0,1.110223E-16,0,0,0.8044354,0.7642136,0,0,9.991705,20.60644,0,0.8044354,-0.8044354,28.67316,73.52079,0,0.840635,0,0,20.60644
1/1/2007 7:00:00 AM,0.06397346,8.503396,-64.83955,77.75762,0.06572942,0.7553384,22.68254,20.78832,2.100509,2.100509,0,0,0,2.100509,35.95978,0,0,0,0.7553384,2.211062,2.100509,0,0,10.88552,19.80201,0,1.455724,-1.455724,27.1387,69.58627,0,2.31056,0.6042707,0,20.55735
1/1/2007 8:00:00 AM,0.1468058,21.68848,-60.63478,64.11838,0.1475045,1.664386,26.34453,22.08051,2.152498,2.152498,0,0,0,2.152498,77.32345,0,0,0,1.664386,2.265788,2.152498,0,0,12.50299,18.34628,0,0.6014017,-0.6014017,26.50476,67.9608,0,2.367748,1.331509,0,20.01067
1/1/2007 9:00:00 AM,0.2838784,34.18584,-54.00429,50.85844,0.2876509,3.124875,33.74242,25.3752,4.468535,4.468535,0,-1,0,4.468535,69.93065,0,0,0,3.124875,4.703721,4.468535,0,0,13.17122,17.74488,0,1.578846,-1.578846,24.84052,63.6935,0,4.915388,2.4999,0,20.86976
1/1/2007 10:00:00 AM,0.07039502,45.37495,-43.45202,38.46822,0.07009917,0.7732847,30.78702,28.75302,1.345066,1.345066,0,-1,0,1.345066,57.49047,0,2.220446E-16,0,0.7732847,1.415859,1.345066,0,0,14.92549,16.16604,0,0.6425742,-0.6425742,24.16318,61.95675,0,1.479573,0.6186278,0,16.93932
1/1/2007 11:00:00 AM,0.05697239,53.98555,-26.68318,28.19816,0.05671744,0.617656,33.2737,31.62454,5.412807,5.412807,0,-1,0,5.412807,11.41101,0,8.881784E-16,0,0.617656,5.697691,5.412807,0,0,15.63946,15.52346,0,5.080035,-5.080035,18.80836,48.22646,0,5.954088,0.4941248,0,16.14112
1/1/2007 12:00:00 PM,0.3085695,57.85535,-2.905519,23.12783,0.3081189,3.179627,43.319,34.28448,4.695997,4.695997,0,-1,0,4.695997,67.70931,0,0,0,3.179627,4.943154,4.695997,0,0,21.28395,10.44343,0,1.763527,-1.763527,16.94943,43.46,0,5.165596,2.543702,0,13.62305
1/1/2007 1:00:00 PM,0.2728486,55.35163,21.88712,26.4557,0.2722346,2.786057,44.82339,36.83107,3.565323,3.565323,0,-1,0,3.565323,78.1432,0,0,0,2.786057,3.752971,3.565323,0,0,23.24342,8.6799,0,0.9669141,-0.9669141,15.93022,40.84663,0,3.921855,2.228846,0,11.46596
1/1/2007 2:00:00 PM,0.1157476,47.5915,40.32253,35.91159,0.1153119,1.199892,41.80238,38.42552,2.16586,2.16586,0,-1,0,2.16586,55.40026,0,0,0,1.199892,2.279853,2.16586,0,0,24.31777,7.712986,0,1.079961,-1.079961,14.79184,37.92772,0,2.382446,0.9599136,0,8.912878
1/1/2007 3:00:00 PM,0.06560741,36.83756,52.05293,47.98082,0.06534529,0.68287,41.01798,39.10562,0,0,0,-1,0,0,0,0,0,0,0.68287,0,0,0,0,25.51772,6.633026,0.68287,0,0.68287,15.43967,39.58881,0,0,0.546296,0,7.315896
1/1/2007 4:00:00 PM,0.1289536,24.56311,59.3996,61.10369,0.1288548,1.328082,43.54197,39.76305,2.895732,2.895732,0,-1,0,2.895732,45.86344,0,0,0,1.328082,3.048139,2.895732,0,0,24.83486,7.247609,0,1.720057,-1.720057,13.62657,34.93985,0,3.185305,1.062466,0,8.575691
1/1/2007 5:00:00 PM,0.06745297,11.49752,64.06036,74.68362,0.0677819,0.7082911,41.02885,39.04517,0,0,0,-1,0,0,0,0,0,0,0.7082911,0,0,0,0,26.74603,5.527552,0.7082911,0,0.7082911,14.29851,36.66277,0,0,0.5666329,0,6.235843
1/1/2007 6:00:00 PM,0.009087816,0,66.93783,90,0,0,36.77062,36.77062,3.031366,3.031366,0,-1,0,3.031366,0,0,0,0,0,3.190912,3.031366,0,0,26.03774,6.165014,0,3.190912,-3.190912,10.93499,28.03839,0,3.334502,0,0,6.165014
1/1/2007 7:00:00 PM,0,0,68.42065,90,0,0,34.62453,34.62453,4.192241,2.825397,0,-1,0,2.825397,0,0,1.366844,1.786068,0,2.974102,2.825397,0,0,29.58319,2.974102,0,2.974102,-2.974102,7.800015,20,0,4.611465,0,0,2.974102
1/1/2007 8:00:00 PM,0,0,68.50754,90,0,0,32.90162,32.90162,5.847816,0,0,-1,0,0,0,0,5.847816,6.432598,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,6.432598,0,0,0
1/1/2007 9:00:00 PM,0,0,66.69133,90,0,0,31.22404,31.22404,6.911799,0,0,-1,0,0,0,0,6.911799,7.602979,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,7.602979,0,0,0
1/1/2007 10:00:00 PM,0,0,61.29293,90,0,0,29.50113,29.50113,0.1083797,0,0,-1,0,0,0,0,0.1083797,0.1192177,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0.1192177,0,0,0
1/1/2007 11:00:00 PM,0,0,46.66078,90,0,0,27.9898,27.9898,0.4495324,0,0,-1,0,0,0,0,0.4495324,0.4944856,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0.4944856,0,0,0
1/2/2007 12:00:00 AM,0,0,6.788207,90,0,0,26.84119,26.84119,1.374827,0,0,-1,0,0,0,0,1.374827,1.51231,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,1.51231,0,0,0
1/2/2007 1:00:00 AM,0,0,-40.56551,90,0,0,25.69258,25.69258,0.5669038,0,0,-1,0,0,0,0,0.5669038,0.6235942,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0.6235942,0,0,0
1/2/2007 2:00:00 AM,0,0,-59.2364,90,0,0,24.74044,24.74044,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0,0,0,0
1/2/2007 3:00:00 AM,0,0,-65.97112,90,0,0,23.88654,23.88654,1.9989,0,0,-1,0,0,0,0,1.9989,2.19879,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,2.19879,0,0,0
1/2/2007 4:00:00 AM,0,0,-68.37815,90,0,0,23.01753,23.01753,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,32.88775,0,0,0,0,7.800015,20,0,0,0,0,0
1/2/2007 5:00:00 AM,0,0,-68.6517,90,0,0,22.25431,22.25431,0.3252783,0.3252783,9.125278,0,2.644696,0.3252783,0,1.776357E-15,0,0,0,0,0,8.8,8.36,32.88775,0,8.36,0,8.36,15.73101,40.33584,0.1765824,0.3578062,0,12,0
1/2/2007 6:00:00 AM,0.00108274,0,-67.47298,90,0,0,21.52131,21.52131,0,0,8.8,0,2.5624,0,0,1.776357E-15,0,0,0,0,0,8.8,8.36,24.52775,7.524,8.36,0,8.36,23.662,60.67167,0.1850974,0,0,12,7.524
1/2/2007 7:00:00 AM,0.0894334,8.420039,-64.93723,77.85415,0.1004246,1.148411,23.66971,20.77321,1.373054,1.373054,10.17305,0,2.909783,1.373054,83.63918,0,0,0,1.148411,0,0,8.8,8.36,16.16775,15.048,9.508411,0,9.508411,32.68247,83.80104,0.1943822,1.510359,0.9187289,12,16.19641
1/2/2007 8:00:00 AM,0.2576896,21.61751,-60.74889,64.20465,0.2779514,3.076721,30.11836,22.05784,0.9090994,0.9090994,0,0,0,0.9090994,338.4362,0,0,0,3.076721,0.9569467,0.9090994,0,0,6.659342,23.60557,2.119774,0,2.119774,34.69347,88.95743,0.1805269,1.000009,2.461377,0,26.68229
