Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,-11.22315,90,0,0,35.3273,35.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-24.89048,90,0,0,35.3273,35.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0.002727411,0,-38.09077,90,0,0,34.04928,34.04928,0.4377692,0.4377692,0,0,0,0.4377692,0,0,5.551115E-17,0,0.4608097,0.4377692,0,0,0,10.62527,0,0.4608097,-0.4608097,13.51429,96.53046,0,0.4815461,0,0,10.62527
1/1/2007 3:00:00 AM,0.01772945,4.275784,-50.76572,119.9805,0.01431142,0.0615669,33.2913,32.87517,0.8052564,0.8052564,0,0,0,0.8052564,7.645628,0,2.220446E-16,0.0615669,0.8476382,0.8052564,0,0,0.5120108,10.16446,0,0.7860714,-0.7860714,12.6857,90.61196,0,0.885782,0.04925352,0,10.22603
1/1/2007 4:00:00 AM,0.04479645,10.80872,-63.02651,106.4254,0.0361551,0.1559917,32.73107,31.68027,0.8133916,0.8133916,0,0,0,0.8133916,19.17794,0,0,0.1559917,0.8562017,0.8133916,0,0,1.385423,9.378393,0,0.70021,-0.70021,11.94761,85.33993,0,0.8947308,0.1247934,0,9.534385
1/1/2007 5:00:00 AM,0.06516529,18.09158,-75.13351,92.66881,0.05266505,0.2279351,32.12953,30.59967,0.7430815,0.7430815,0,0,0,0.7430815,30.6743,1.110223E-16,0,0.2279351,0.7821911,0.7430815,0,0,2.163435,8.678184,0,0.554256,-0.554256,11.36338,81.16682,0,0.8173897,0.182348,0,8.906118
1/1/2007 6:00:00 AM,0.1321697,25.79755,-87.48353,78.88321,0.1076702,0.4645185,32.74188,29.61259,0.2504317,0.2504317,0,0,0,0.2504317,185.4871,0,0,0.4645185,0.2636123,0.2504317,0,0,2.779274,8.123927,0.2009062,0,0.2009062,11.55397,82.52821,0,0.2754749,0.3716148,0,8.588446
1/1/2007 7:00:00 AM,0.1649904,33.57328,-100.6235,65.2262,0.1356067,0.5857059,32.52446,28.58394,0.7671126,0.7671126,0,0,0,0.7671126,76.35201,0,0,0.5857059,0.807487,0.7671126,0,0,2.578368,8.304743,0,0.2217811,-0.2217811,11.3202,80.85838,0,0.8438239,0.4685647,0,8.890449
1/1/2007 8:00:00 AM,0.1754341,40.99095,-115.2809,51.92427,0.1447184,0.6184075,34.57321,30.3607,0.7860993,0.7860993,0,0,0,0.7860993,78.66786,0,0,0.6184075,0.8274729,0.7860993,0,0,2.824792,8.082962,0,0.2090654,-0.2090654,11.09982,79.28428,0,0.8647092,0.494726,0,8.701369
1/1/2007 9:00:00 AM,0.2518996,47.47544,-132.3365,39.4359,0.2096574,0.8655415,41.02666,34.8909,1.631923,1.631923,0,0,0,1.631923,53.03812,0,2.220446E-16,0.8655415,1.717814,1.631923,0,0,3.057086,7.873896,0,0.8522725,-0.8522725,10.20145,72.86733,0,1.795116,0.6924332,0,8.739438
1/1/2007 10:00:00 AM,0.0271396,52.2438,-152.504,28.91588,0.0220855,0.0915959,40.1813,39.5354,0.4912224,0.4912224,0,0,0,0.4912224,18.64652,0,5.551115E-17,0.0915959,0.5170763,0.4912224,0,0,4.004056,7.021624,0,0.4254804,-0.4254804,9.752952,69.6638,0,0.5403447,0.07327672,0,7.11322
1/1/2007 11:00:00 AM,0.01236893,54.40896,-175.4185,23.26789,0.01004075,0.04083188,43.77827,43.48375,1.976774,1.976774,0,0,0,1.976774,2.065581,0,4.440892E-16,0.04083188,2.080815,1.976774,0,0,4.476812,6.596143,0,2.039983,-2.039983,7.60262,54.30432,0,2.174452,0.0326655,0,6.636975
1/1/2007 12:00:00 PM,0.178318,53.43244,161.1098,25.92141,0.1472996,0.5735222,51.48955,47.14116,1.714993,1.714993,0,0,0,1.714993,33.44166,0,2.220446E-16,0.5735222,1.805256,1.714993,0,0,6.74346,4.55616,0,1.231734,-1.231734,6.304258,45.03033,0,1.886492,0.4588177,0,5.129682
1/1/2007 1:00:00 PM,0.1554301,49.56982,139.74,35.03278,0.1281351,0.4904355,54.43456,50.64272,1.302067,1.302067,0,0,0,1.302067,37.66591,0,0,0.4904355,1.370597,1.302067,0,0,8.112053,3.324426,0,0.8801617,-0.8801617,5.376487,38.4034,0,1.432274,0.3923484,0,3.814862
