Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Generic flat plate PV Cell Temperature,Ambient Temperature,AC Primary Load,AC Primary Load Served,Generic Small Genset (size-your-own) Power Output,Generic Small Genset (size-your-own) Operating Status,Generic Small Genset (size-your-own) Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Li-Ion Maximum Charge Power,Generic 1kWh Li-Ion Maximum Discharge Power,Generic 1kWh Li-Ion Charge Power,Generic 1kWh Li-Ion Discharge Power,Generic 1kWh Li-Ion Input Power,Generic 1kWh Li-Ion Energy Content,Generic 1kWh Li-Ion State of Charge,Generic 1kWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 12:00:00 AM,0,0,-11.22315,90,0,0,26.25933,26.25933,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 1:00:00 AM,0,0,-24.89048,90,0,0,26.25933,26.25933,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.62527,0,0,0,14.00003,100,0,0,0,0,10.62527
1/1/2007 2:00:00 AM,0.002727411,0,-38.09077,90,0,0,25.30936,25.30936,0.4377692,0.4377692,0,-1,0,0.4377692,0,0,5.551115E-17,0,0,0.4608097,0.4377692,0,0,0,10.62527,0,0.4608097,-0.4608097,13.51429,96.53046,0,0.4815461,0,0,10.62527
1/1/2007 3:00:00 AM,0.01772945,4.275784,-50.76572,119.9805,0.01431142,0.06427787,24.84981,24.43662,0.8052564,0.8052564,0,-1,0,0.8052564,7.982287,0,2.220446E-16,0,0.06427787,0.8476382,0.8052564,0,0,0.5120108,10.16446,0,0.7833604,-0.7833604,12.68856,90.63237,0,0.885782,0.0514223,0,10.22874
1/1/2007 4:00:00 AM,0.04479645,10.80872,-63.02651,106.4254,0.0361551,0.1625951,24.59206,23.54844,0.8133916,0.8133916,0,-1,0,0.8133916,19.98977,1.110223E-16,0,0,0.1625951,0.8562017,0.8133916,0,0,1.382411,9.381104,0,0.6936066,-0.6936066,11.95743,85.41006,0,0.8947308,0.1300761,0,9.543699
1/1/2007 5:00:00 AM,0.06516529,18.09158,-75.13351,92.66881,0.05266505,0.2372294,24.26497,22.74521,0.7430815,0.7430815,0,0,0,0.7430815,31.92509,1.110223E-16,0,0,0.2372294,0.7821911,0.7430815,0,0,2.153085,8.687497,0,0.5449616,-0.5449616,11.38299,81.30692,0,0.8173897,0.1897835,0,8.924726
1/1/2007 6:00:00 AM,0.1321697,25.79755,-87.48353,78.88321,0.1076702,0.482932,25.12079,22.0115,0.2504317,0.2504317,0,0,0,0.2504317,192.8398,0,0,0,0.482932,0.2636123,0.2504317,0,0,2.758598,8.142536,0.2193197,0,0.2193197,11.59106,82.7931,0,0.2754749,0.3863456,0,8.625468
1/1/2007 7:00:00 AM,0.1649904,33.57328,-100.6235,65.2262,0.1356067,0.6081067,25.16307,21.24689,0.7671126,0.7671126,0,0,0,0.7671126,79.27216,0,0,0,0.6081067,0.807487,0.7671126,0,0,2.539279,8.339924,0,0.1993802,-0.1993802,11.38089,81.29192,0,0.8438239,0.4864854,0,8.94803
1/1/2007 8:00:00 AM,0.1754341,40.99095,-115.2809,51.92427,0.1447184,0.6438051,26.7525,22.56758,0.7860993,0.7860993,0,0,0,0.7860993,81.8987,0,1.110223E-16,0,0.6438051,0.8274729,0.7860993,0,0,2.760812,8.140543,0,0.1836678,-0.1836678,11.18729,79.90904,0,0.8647092,0.5150441,0,8.784348
1/1/2007 9:00:00 AM,0.2518996,47.47544,-132.3365,39.4359,0.2096574,0.9078931,32.0247,25.93495,1.631923,1.631923,0,-1,0,1.631923,55.63332,0,2.220446E-16,0,0.9078931,1.717814,1.631923,0,0,2.964887,7.956875,0,0.8099208,-0.8099208,10.33356,73.81097,0,1.795116,0.7263145,0,8.864769
